panel	n_input_var_names	n_mapped_to_ensembl	n_unmapped
D_Gut-shared	8	8	0
F_Gut-specific	2192	2192	0
F_Colon-specific	1451	1451	0
F_SI-specific	1452	1452	0
P_Gut-specific	76	76	0
revCSC_primary27_full	27	27	0
revCSC_primary27_minus_CLU	26	26	0
revCSC_primary27_minus_ASS1	26	26	0
revCSC_primary27_minus_CLU_ASS1	25	25	0
revCSC_extended28_full	28	28	0
revCSC_extended28_minus_CLU	27	27	0
revCSC_extended28_minus_ASS1	27	27	0
revCSC_extended28_minus_CLU_ASS1	26	26	0
