left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	0.12275425344705582	0.08908112190931496	0.02087249606847763
146	23196	0.09063225239515305	0.05647201690565839	-0.01124950498342514
183	25326	0.10193483531475067	0.07223693409359769	5.307793617248535e-05
119	24695	0.10184349119663239	0.07190597436515758	-3.826618194580078e-05
74	25780	0.10370540618896484	0.07062886322744313	0.0018236488103866577
182	25582	0.10461664199829102	0.07837605019540389	0.0027348846197128296
181	25381	0.10839395225048065	0.07892157772695808	0.006512194871902466
156	26110	0.1015038713812828	0.07104985611056337	-0.00037788599729537964
11	25160	0.09876056015491486	0.06861069996385809	-0.00312119722366333
136	25763	0.10410553961992264	0.07433956658941386	0.002223782241344452
103	25883	0.10046737641096115	0.0697155435021348	-0.001414380967617035
82	24917	0.047839391976594925	0.03243052733812982	-0.05404236540198326
188	25967	0.10030008107423782	0.06969517852430719	-0.0015816763043403625
105	25315	0.09671351313591003	0.0674227443011316	-0.005168244242668152
79	26441	0.1011316105723381	0.07030909204657965	-0.0007501468062400818
194	25525	0.09876765310764313	0.07027657630812717	-0.0031141042709350586
283	25308	0.102486252784729	0.07457796837702292	0.0006044954061508179
150	23973	0.13513094186782837	0.09105973041716088	0.03324918448925018
70	26112	0.10381551831960678	0.07255354045434942	0.001933760941028595
66	26434	0.10262393951416016	0.07220231346712111	0.0007421821355819702
71	26282	0.10303433984518051	0.07191995179266743	0.0011525824666023254
151	25404	0.09892380982637405	0.06992339660569769	-0.002957947552204132
35	25396	0.1075197234749794	0.07264636623859126	0.005637966096401215
190	26423	0.10225662589073181	0.0714361836862401	0.0003748685121536255
60	26464	0.10094304382801056	0.07001553221293873	-0.000938713550567627
20	26487	0.10189703106880188	0.0710898476583717	1.5273690223693848e-05
184	26443	0.10242430865764618	0.07141414905894608	0.0005425512790679932
39	26548	0.10208489000797272	0.07145532941919601	0.00020313262939453125
203	26538	0.10172336548566818	0.0710648675079329	-0.00015839189291000366
