left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	signed_delta_pearson_r_at_this_exclusion
75	24575	0.06969688087701797	0.0726508614779193	0.0050224363803863525
146	23196	0.059075791388750076	0.06213674599302617	-0.005598653107881546
183	25326	0.06596434116363525	0.07161972052305764	0.0012898966670036316
119	24695	0.06717895716428757	0.07226493305354877	0.002504512667655945
74	25780	0.06673038005828857	0.07017539944121017	0.002055935561656952
182	25582	0.06122714653611183	0.06421787708991561	-0.0034472979605197906
181	25381	0.07089289277791977	0.07628629656297715	0.006218448281288147
156	26110	0.0652732402086258	0.06921478239695937	0.0005987957119941711
11	25160	0.06272540986537933	0.06745286090130012	-0.0019490346312522888
136	25763	0.06405601650476456	0.06788502646527655	-0.0006184279918670654
103	25883	0.06717922538518906	0.07067424499093622	0.002504780888557434
82	24917	0.04960169270634651	0.053777786890063815	-0.01507275179028511
188	25967	0.065492182970047	0.07026374816079287	0.0008177384734153748
105	25315	0.061722591519355774	0.06715763590996078	-0.0029518529772758484
79	26441	0.06405149400234222	0.0683200794882485	-0.0006229504942893982
194	25525	0.057363223284482956	0.06293738654901423	-0.007311221212148666
283	25308	0.06305726617574692	0.06785423267516544	-0.0016171783208847046
150	23973	0.0835404023528099	0.08463667849027953	0.018865957856178284
70	26112	0.06520150601863861	0.06882081433155471	0.0005270615220069885
66	26434	0.06428936868906021	0.06840920503396895	-0.00038507580757141113
71	26282	0.06366967409849167	0.06758422070976772	-0.0010047703981399536
151	25404	0.061551157385110855	0.06518319775099275	-0.003123287111520767
35	25396	0.0666939839720726	0.06968692788103814	0.002019539475440979
190	26423	0.0644950345158577	0.06821362309008708	-0.00017940998077392578
60	26464	0.06421461701393127	0.06854016951452711	-0.0004598274827003479
20	26487	0.0653676763176918	0.06947599187391557	0.0006932318210601807
184	26443	0.06525490432977676	0.06955151338760902	0.0005804598331451416
39	26548	0.06468731164932251	0.06882207978384162	1.2867152690887451e-05
203	26538	0.06468301266431808	0.06877076942503005	8.568167686462402e-06
