donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	0.06051931902766228	0.03335881225775032	True	
105	1236	0.035324983298778534	-0.011695239699462361	True	
11	1391	0.07143795490264893	0.1011635962926649	True	
119	1856	-0.11910248547792435	-0.09562287422730713	True	
136	788	-0.1076938658952713	-0.13339050674130334	True	
146	3355	0.06623996794223785	0.13147180227517824	True	
150	2578	-0.002838376211002469	0.015208200470535472	True	
151	1147	-0.12170746177434921	-0.13057590944736486	True	
156	441	-0.016725968569517136	-0.06548782957777416	True	
181	1170	0.042689453810453415	0.014444520724517296	True	
182	969	-0.15214169025421143	-0.38786027729890515	True	
183	1225	0.0716303139925003	0.0663156675875922	True	
184	108	-0.1166132390499115	-0.28428757256814513	True	
188	584	0.05134386196732521	0.05236932123477132	True	
190	128	-0.05035959184169769	-0.003266434801599196	True	
194	1026	0.014650562778115273	-0.034230893407814156	True	
20	64	0.0794747993350029	0.07641824348650618	True	
203	13	-0.397810161113739	-0.3681318681318681	True	
283	1243	-0.031291134655475616	-0.06438170012549911	True	
35	1155	-0.10509888082742691	-0.1794296134100559	True	
39	3			False	n_cells=3 < 10
60	87	0.2977709174156189	0.29575446341943534	True	
66	117	0.007396274246275425	-0.08474864459432706	True	
70	439	0.07547080516815186	0.0655298718300513	True	
71	269	0.007527130655944347	0.03972793371127144	True	
74	771	0.07641604542732239	0.055976573648672284	True	
75	1976	0.12015662342309952	0.19089966398030395	True	
79	110	0.36316561698913574	0.36642798287068756	True	
82	1634	-0.15465961396694183	-0.10075073078065624	True	
