donor_key	n_cells	pearson_r	spearman_rho	estimable	not_estimable_reason
103	668	-0.00020144310838077217	-0.0268805975639269	True	
105	1236	0.030950644984841347	-0.020403082752744935	True	
11	1391	0.14615653455257416	0.1641587146486843	True	
119	1856	-0.08657287061214447	-0.10902395558030184	True	
136	788	-0.05088125914335251	-0.09295949064933014	True	
146	3355	0.019808342680335045	0.0053653060086679295	True	
150	2578	-0.07364947348833084	-0.04207433854073338	True	
151	1147	-0.10257018357515335	-0.10506157172647874	True	
156	441	-0.06412188708782196	-0.12700239560722265	True	
181	1170	0.05481937900185585	0.03194414998694734	True	
182	969	-0.2795671224594116	-0.5090220963386539	True	
183	1225	-0.0151358088478446	0.02402613376941141	True	
184	108	-0.17442768812179565	-0.3605630339234724	True	
188	584	0.06583384424448013	0.04665732632472939	True	
190	128	-0.09915339946746826	-0.049588956207687496	True	
194	1026	0.017060421407222748	-0.06954217282378065	True	
20	64	0.133645161986351	0.10334478431629111	True	
203	13	-0.4985917806625366	-0.5667130533171513	True	
283	1243	-0.08226095139980316	-0.15416932819911597	True	
35	1155	-0.14598610997200012	-0.21143795877807653	True	
39	3			False	n_cells=3 < 10
60	87	0.18801160156726837	0.1192326229579213	True	
66	117	-0.07885316014289856	-0.20025827736272092	True	
70	439	-0.06282144039869308	-0.06818543874036238	True	
71	269	-0.02863534912467003	0.0063041345237694	True	
74	771	0.03586374595761299	0.024846624816438973	True	
75	1976	0.05236362665891647	0.13476348136581057	True	
79	110	0.2808725833892822	0.44638593646180913	True	
82	1634	-0.1614190936088562	-0.0972644905520398	True	
