panel	n_patients_total	n_patients_paired	wilcoxon_stat	wilcoxon_p	paired_t_stat	paired_t_p	median_malignant_minus_normal_delta	not_estimable_reason
D_Gut-shared	29	26	134.5	0.4511929750442505	0.8853070735931396	0.3844270408153534	0.6499996185302734	
F_Gut-specific	29	26	12.0	3.282824400230311e-05	7.588461399078369	6.069944902264979e-08	82.4000015258789	
F_Colon-specific	29	26	1.0	5.960464477539063e-08	9.480033874511719	9.314696791662413e-10	72.4000015258789	
F_SI-specific	29	26	12.0	3.285227285232395e-05	7.288341045379639	1.2297613238843041e-07	80.0	
P_Gut-specific	29	26	157.5	0.6475402116775513	-0.0015733727486804128	0.9987571239471436	-2.0	
revCSC_primary27_minus_CLU_ASS1	29	26	48.0	0.00066414475440979	3.4945502281188965	0.0017897875513881445	11.400005340576172	
