ensembl_id	biotype	description
ENSG00000205325	lncRNA	novel transcript
ENSG00000205414	lncRNA	NKD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58215]
ENSG00000205452	lncRNA	novel transcript
ENSG00000205537	lncRNA	novel transcript, antisense to VDR
ENSG00000205622	lncRNA	ETS2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56712]
ENSG00000205653	lncRNA	novel transcript
ENSG00000205682	lncRNA	novel transcript
ENSG00000205740	lncRNA	novel transcript, antisense to GTPBP4
ENSG00000205745	lncRNA	novel transcript
ENSG00000205830	lncRNA	novel transcript
ENSG00000205890	lncRNA	novel transcript, antisense to CCDC64B
ENSG00000205959	lncRNA	novel transcript
ENSG00000205971	lncRNA	lncRNA radiation induced regulator of PLK1 and RAD51 [Source:HGNC Symbol;Acc:HGNC:53790]
ENSG00000206028	lncRNA	novel transcript
ENSG00000206062	lncRNA	novel transcript
ENSG00000206129	NOT_FOUND_IN_ENSEMBL	
ENSG00000206249	lncRNA	novel transcript
ENSG00000206549	protein_coding	novel protein identical to PRSS50
ENSG00000207751	lncRNA	novel transcript
ENSG00000211683	NOT_FOUND_IN_ENSEMBL	
ENSG00000212663	lncRNA	novel transcript
ENSG00000212930	lncRNA	novel transcript
ENSG00000212939	lncRNA	novel transcript
ENSG00000213062	lncRNA	novel transcript
ENSG00000213121	lncRNA	novel transcript
ENSG00000213204	protein_coding	novel transcript, C6orf165-SLC35A1 readthrough
ENSG00000213981	lncRNA	novel transcript, antisense to MYO3B
ENSG00000213994	lncRNA	PFKFB3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58068]
ENSG00000214248	lncRNA	novel transcript, antisense to LRRC8E
ENSG00000214546	lncRNA	novel transcript
ENSG00000214558	protein_coding	zinc finger CCCH-type containing 11C [Source:HGNC Symbol;Acc:HGNC:56304]
ENSG00000214559	lncRNA	novel transcript
ENSG00000214614	lncRNA	novel transcript
ENSG00000214650	lncRNA	NCOR2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58613]
ENSG00000214708	lncRNA	novel transcript, antisense to RHOT1
ENSG00000214719	lncRNA	novel transcript
ENSG00000214770	lncRNA	novel transcript
ENSG00000214788	lncRNA	novel transcript
ENSG00000214797	lncRNA	novel transcript
ENSG00000214803	lncRNA	novel transcript
ENSG00000214915	lncRNA	novel transcript
ENSG00000214942	lncRNA	novel transcript
ENSG00000214999	lncRNA	novel transcript, antisense to ALOX12B
ENSG00000215014	lncRNA	SSU72 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:57014]
ENSG00000215022	lncRNA	novel transcript, antisense to PHACTR1
ENSG00000215023	lncRNA	GAL3ST2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41068]
ENSG00000215304	lncRNA	novel transcript
ENSG00000215692	lncRNA	novel transcript
ENSG00000215765	lncRNA	novel transcript
ENSG00000215841	lncRNA	novel transcript
ENSG00000217455	lncRNA	novel transcript
ENSG00000217576	lncRNA	novel transcript
ENSG00000217702	lncRNA	novel transcript, antisense to BOLA3
ENSG00000217825	lncRNA	novel transcript
ENSG00000219159	lncRNA	novel transcript
ENSG00000219410	lncRNA	novel transcript
ENSG00000219445	lncRNA	novel transcript
ENSG00000220256	lncRNA	novel transcript
ENSG00000220702	lncRNA	novel transcript
ENSG00000221857	lncRNA	novel transcript
ENSG00000222000	lncRNA	novel transcript, antisense to CNGA3
ENSG00000222001	lncRNA	novel transcript, antisense to NGEF
ENSG00000222007	lncRNA	novel transcript, antisense to AGAP1
ENSG00000222012	lncRNA	novel transcript, antisense to PTPRN2
ENSG00000222017	lncRNA	novel transcript, antisense to BOLL
ENSG00000222022	NOT_FOUND_IN_ENSEMBL	
ENSG00000222031	lncRNA	novel transcript
ENSG00000222032	lncRNA	novel protein (LOC728009)
ENSG00000222042	lncRNA	novel transcript
ENSG00000222043	lncRNA	novel transcript
ENSG00000222044	lncRNA	POLR2F antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40461]
ENSG00000223342	lncRNA	novel transcript
ENSG00000223343	lncRNA	novel transcript
ENSG00000223344	lncRNA	novel transcript
ENSG00000223356	lncRNA	novel transcript
ENSG00000223373	lncRNA	novel transcript
ENSG00000223374	lncRNA	novel transcript
ENSG00000223390	lncRNA	novel transcript
ENSG00000223393	lncRNA	novel transcript
ENSG00000223400	lncRNA	novel transcript
ENSG00000223410	lncRNA	novel transcript
ENSG00000223430	lncRNA	novel transcript
ENSG00000223432	lncRNA	novel transcript
ENSG00000223436	lncRNA	PLXNA4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40453]
ENSG00000223440	lncRNA	novel transcript
ENSG00000223446	lncRNA	novel transcript
ENSG00000223461	lncRNA	novel transcript
ENSG00000223462	lncRNA	novel transcript
ENSG00000223486	lncRNA	long intergenic non-protein coding RNA 3053 [Source:HGNC Symbol;Acc:HGNC:56342]
ENSG00000223492	lncRNA	novel transcript, antisense to TSHZ2
ENSG00000223502	lncRNA	novel transcript
ENSG00000223522	lncRNA	BABAM2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40101]
ENSG00000223523	lncRNA	novel transcript, overlapping DIRC1
ENSG00000223528	lncRNA	DOCK1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58348]
ENSG00000223530	lncRNA	novel transcript
ENSG00000223536	lncRNA	novel transcript
ENSG00000223542	lncRNA	novel transcript, antisense to EYA4
ENSG00000223554	lncRNA	novel transcript
ENSG00000223563	lncRNA	novel transcript
ENSG00000223576	lncRNA	novel transcript
ENSG00000223598	lncRNA	novel transcript, antisense to MTHFD1L
ENSG00000223623	lncRNA	novel transcript
ENSG00000223634	lncRNA	novel transcript
ENSG00000223642	lncRNA	novel transcript, antisense to BAZ2B
ENSG00000223646	lncRNA	long intergenic non-protein coding RNA 3076 [Source:HGNC Symbol;Acc:HGNC:56656]
ENSG00000223649	lncRNA	novel transcript
ENSG00000223660	lncRNA	novel transcript
ENSG00000223665	lncRNA	novel transcript
ENSG00000223669	lncRNA	NTSR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40418]
ENSG00000223675	NOT_FOUND_IN_ENSEMBL	
ENSG00000223697	lncRNA	novel transcript, antisense to PHF20L1
ENSG00000223711	lncRNA	novel transcript
ENSG00000223716	lncRNA	novel transcript
ENSG00000223720	lncRNA	novel transcript
ENSG00000223725	lncRNA	MYOSLID antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54063]
ENSG00000223726	lncRNA	novel transcript
ENSG00000223727	lncRNA	novel transcript
ENSG00000223732	lncRNA	novel transcript
ENSG00000223742	lncRNA	novel transcript
ENSG00000223751	lncRNA	novel transcript
ENSG00000223754	lncRNA	novel transcript
ENSG00000223761	lncRNA	novel transcript
ENSG00000223774	lncRNA	novel transcript
ENSG00000223786	lncRNA	novel transcript
ENSG00000223795	NOT_FOUND_IN_ENSEMBL	
ENSG00000223800	lncRNA	novel transcript
ENSG00000223808	NOT_FOUND_IN_ENSEMBL	
ENSG00000223829	lncRNA	novel transcript
ENSG00000223831	lncRNA	PES1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58216]
