ensembl_id	ensembl_display_name
ENSG00000284526	
ENSG00000284554	
ENSG00000284626	
ENSG00000284686	
ENSG00000284691	
ENSG00000284695	
ENSG00000284732	
ENSG00000284762	PDE8B
ENSG00000284772	
ENSG00000284773	
ENSG00000284776	
ENSG00000284800	
ENSG00000284820	
ENSG00000284906	
ENSG00000284931	
ENSG00000284946	
ENSG00000284952	
ENSG00000284969	
ENSG00000284987	
ENSG00000284989	
ENSG00000285000	
ENSG00000285043	
ENSG00000285064	
ENSG00000285082	
ENSG00000285117	
ENSG00000285130	
ENSG00000285171	
ENSG00000285188	PDE4C
ENSG00000285238	
ENSG00000285245	
ENSG00000285253	
ENSG00000285269	
ENSG00000285283	
ENSG00000285304	
ENSG00000285329	
ENSG00000285330	
ENSG00000285382	
ENSG00000285404	
ENSG00000285444	
ENSG00000285446	
ENSG00000285458	C4orf36
ENSG00000285471	
ENSG00000285505	
ENSG00000285526	
ENSG00000285528	
ENSG00000285542	
ENSG00000285547	
ENSG00000285558	
ENSG00000285585	
ENSG00000285589	
ENSG00000285602	
ENSG00000285629	
ENSG00000285635	
ENSG00000285641	
ENSG00000285645	
ENSG00000285655	
ENSG00000285708	
ENSG00000285733	
ENSG00000285749	
ENSG00000285777	
ENSG00000285779	
ENSG00000285791	
ENSG00000285816	
ENSG00000285827	
ENSG00000285837	
ENSG00000285854	
ENSG00000285868	
ENSG00000285880	
ENSG00000285897	
ENSG00000285901	
ENSG00000285920	
ENSG00000285932	
ENSG00000285942	
ENSG00000285947	
ENSG00000285978	
ENSG00000285982	
ENSG00000285991	
ENSG00000286001	
ENSG00000286015	
ENSG00000286022	
ENSG00000286070	
ENSG00000286088	
ENSG00000286098	
ENSG00000286112	KYAT1
ENSG00000286132	
ENSG00000286143	
ENSG00000286185	
ENSG00000286192	
ENSG00000286221	
ENSG00000286231	
ENSG00000286235	
ENSG00000286239	
ENSG00000286268	
ENSG00000286905	
ENSG00000287585	
ENSG00000287694	
ENSG00000287725	
ENSG00000287839	
ENSG00000287856	
ENSG00000287908	
ENSG00000288000	
ENSG00000288053	
ENSG00000288208	
ENSG00000288520	
ENSG00000288534	
ENSG00000288550	
ENSG00000288564	
ENSG00000288591	
ENSG00000288637	
ENSG00000288643	
ENSG00000288669	
ENSG00000288671	
ENSG00000288674	
ENSG00000288681	
ENSG00000288683	
ENSG00000288684	
ENSG00000288695	
ENSG00000288698	
ENSG00000288699	
ENSG00000288710	
ENSG00000288711	
ENSG00000288721	
ENSG00000288725	
ENSG00000288796	
ENSG00000288894	
ENSG00000289281	
ENSG00000289346	
ENSG00000289503	
ENSG00000289517	
ENSG00000289565	
ENSG00000289685	
ENSG00000289690	
ENSG00000289692	
ENSG00000289694	
ENSG00000289695	
ENSG00000289697	
ENSG00000289700	
ENSG00000289701	
ENSG00000289720	
ENSG00000289724	
ENSG00000289768	
ENSG00000289809	
ENSG00000290146	
ENSG00000290149	
