result	category	pooled_n	pooled_frac	n_donors	donor_unweighted_mean_frac	donor_unweighted_sd_frac	n_studies	study_unweighted_mean_frac	study_unweighted_sd_frac
sec4a_status_x_operational_revCSC_high_top5pct	P_only|revCSC_high_top5pct	1323	0.0019880596207509545	529	0.002044305143732733	0.01002336488649697	36	0.0028243050874142903	0.0060436438847141115
sec4a_status_x_operational_revCSC_high_top5pct	none|not_revCSC_high_top5pct	244270	0.367062224913708	529	0.3938699648838969	0.30250905970347347	36	0.3487319167595318	0.2473042520661251
sec4a_status_x_operational_revCSC_high_top5pct	none|revCSC_high_top5pct	13827	0.020777702476283785	529	0.02061330619361735	0.045066409993959514	36	0.021951772123493394	0.02956430181549754
sec4a_status_x_operational_revCSC_high_top10pct	D+F+P|not_revCSC_high_top10pct	2464	0.0037026295582240003	529	0.002668730496109681	0.010056598991565153	36	0.0030745276819057524	0.004477560411736011
sec4a_status_x_operational_revCSC_high_top10pct	D+F+P|revCSC_high_top10pct	394	0.0005920600835796493	529	0.0005955856450360214	0.0034117688003591096	36	0.000394862337171038	0.0007699444920611617
sec4a_status_x_operational_revCSC_high_top10pct	D+F|not_revCSC_high_top10pct	23415	0.03518549963710023	529	0.025205088708045102	0.04070049915354536	36	0.028217086277672394	0.03242741878262893
sec4a_status_x_operational_revCSC_high_top10pct	D+F|revCSC_high_top10pct	3601	0.005411188733427202	529	0.0064392037301093195	0.020964750596839235	36	0.008772921728535828	0.02161023773457157
sec4a_status_x_operational_revCSC_high_top10pct	D+P|not_revCSC_high_top10pct	670	0.0010068026801988961	529	0.00238029227399683	0.007841112733802783	36	0.0016577933703883852	0.004104956130612402
sec4a_status_x_operational_revCSC_high_top10pct	D+P|revCSC_high_top10pct	145	0.00021789013228185066	529	0.0002331271264297955	0.0013481488008335876	36	0.0002590732193518037	0.0006229325247955929
sec4a_status_x_operational_revCSC_high_top10pct	D_only|not_revCSC_high_top10pct	7297	0.010965133070763201	529	0.016153407356770465	0.048745430428486676	36	0.01334342247669289	0.019769099023963302
sec4a_status_x_operational_revCSC_high_top10pct	D_only|revCSC_high_top10pct	1489	0.002237506254949487	529	0.0024107830738199056	0.007462887309879745	36	0.0022627605452242134	0.003516248947870293
sec4a_status_x_operational_revCSC_high_top10pct	F+P|not_revCSC_high_top10pct	26466	0.03977020855842386	529	0.03584490496813819	0.07246685126578258	36	0.043116132650501335	0.0550273925539732
sec4a_status_x_operational_revCSC_high_top10pct	F+P|revCSC_high_top10pct	2895	0.004350289192799708	529	0.004823490223811081	0.012930510818492412	36	0.005048379351795299	0.0071986649299442445
sec4a_status_x_operational_revCSC_high_top10pct	F_only|not_revCSC_high_top10pct	289824	0.43551579102382815	529	0.39385618707060543	0.2983675750121538	36	0.4418685117907066	0.24570312012805687
sec4a_status_x_operational_revCSC_high_top10pct	F_only|revCSC_high_top10pct	28335	0.04257873722900854	529	0.04681402257991332	0.10134946386827709	36	0.04764448212109626	0.056842957591395696
sec4a_status_x_operational_revCSC_high_top10pct	P_only|not_revCSC_high_top10pct	18048	0.02712055936153683	529	0.04455198881800525	0.08826041814558463	36	0.02901229287024322	0.04024859842518671
sec4a_status_x_operational_revCSC_high_top10pct	P_only|revCSC_high_top10pct	2333	0.003505777093886604	529	0.003539916851695306	0.014469443105567354	36	0.004644064695689783	0.009665302921081968
sec4a_status_x_operational_revCSC_high_top10pct	none|not_revCSC_high_top10pct	230741	0.3467323242265276	529	0.3777186117216442	0.2972538597148655	36	0.3328563988800777	0.24233266574143345
sec4a_status_x_operational_revCSC_high_top10pct	none|revCSC_high_top10pct	27356	0.04110760316346418	529	0.03676465935587001	0.06131249815623491	36	0.03782729000294754	0.03962858059713013
sec4a_status_x_operational_revCSC_high_top20pct	D+F+P|not_revCSC_high_top20pct	2118	0.0031826986218824807	529	0.0021378807839422974	0.007879115488323273	36	0.002592469546908668	0.003859517657667582
sec4a_status_x_operational_revCSC_high_top20pct	D+F+P|revCSC_high_top20pct	740	0.0011119910199211688	529	0.001126435357203405	0.005883023060725784	36	0.0008769204721681231	0.0015302488686346693
sec4a_status_x_operational_revCSC_high_top20pct	D+F|not_revCSC_high_top20pct	20108	0.030216101930506573	529	0.02030927204318407	0.033681682377147255	36	0.02183376571498676	0.025226662638930464
sec4a_status_x_operational_revCSC_high_top20pct	D+F|revCSC_high_top20pct	6908	0.010380586440020857	529	0.01133502039497035	0.029608172122920648	36	0.015156242291221459	0.025838650724276695
sec4a_status_x_operational_revCSC_high_top20pct	D+P|not_revCSC_high_top20pct	591	0.000888090125369474	529	0.002195511276811322	0.007461310246986763	36	0.00139915568384265	0.0034661281411451045
sec4a_status_x_operational_revCSC_high_top20pct	D+P|revCSC_high_top20pct	224	0.00033660268711127275	529	0.0004179081236153039	0.002380813405270778	36	0.0005177109058975387	0.0013538533569060253
sec4a_status_x_operational_revCSC_high_top20pct	D_only|not_revCSC_high_top20pct	6361	0.00955861469961967	529	0.014769213225328056	0.047989899990035924	36	0.011759062176980684	0.017158125903994518
sec4a_status_x_operational_revCSC_high_top20pct	D_only|revCSC_high_top20pct	2425	0.0036440246260930195	529	0.003794977205262316	0.010154449995202236	36	0.00384712084493642	0.006339325792849194
sec4a_status_x_operational_revCSC_high_top20pct	F+P|not_revCSC_high_top20pct	23431	0.0352095426861796	529	0.031826709951226974	0.06902763566507672	36	0.0371730703697351	0.04606066780639769
sec4a_status_x_operational_revCSC_high_top20pct	F+P|revCSC_high_top20pct	5930	0.008910955065043961	529	0.008841685240722302	0.02015094095781106	36	0.010991441632561529	0.017076555360529853
sec4a_status_x_operational_revCSC_high_top20pct	F_only|not_revCSC_high_top20pct	260140	0.3909099242193147	529	0.3518225470565193	0.28744349604826386	36	0.39287413681876876	0.23353617427724815
sec4a_status_x_operational_revCSC_high_top20pct	F_only|revCSC_high_top20pct	58019	0.08718460403352202	529	0.08884766259399948	0.14565308713490333	36	0.09663885709303405	0.09250828290176265
sec4a_status_x_operational_revCSC_high_top20pct	P_only|not_revCSC_high_top20pct	16193	0.024333068358896603	529	0.04180211651941735	0.08601917383211441	36	0.025962257805228865	0.03737127811172751
sec4a_status_x_operational_revCSC_high_top20pct	P_only|revCSC_high_top20pct	4188	0.006293268096526831	529	0.0062897891502832	0.021125606993214478	36	0.007694099760704139	0.014087200512512867
sec4a_status_x_operational_revCSC_high_top20pct	none|not_revCSC_high_top20pct	203436	0.30570135828200395	529	0.3418576770121131	0.28668188117925125	36	0.2958665370049647	0.2342854648843583
sec4a_status_x_operational_revCSC_high_top20pct	none|revCSC_high_top20pct	54661	0.08213856910798785	529	0.07262559406540119	0.09350292734461418	36	0.0748171518780605	0.0662086265164841
sec4b_status_x_revCSC_matched_null_support	D+F+P|not_revCSC_supported	1347	0.0020241241943700196	529	0.0011723578842300247	0.004733650416765814	36	0.0014701045502052027	0.0024952676560006464
sec4b_status_x_revCSC_matched_null_support	D+F+P|revCSC_supported	1511	0.00227056544743363	529	0.002091958256915677	0.009596781264697466	36	0.001999285468871588	0.0029890528066417476
sec4b_status_x_revCSC_matched_null_support	D+F|not_revCSC_supported	11495	0.01727342807296464	529	0.010361931912656216	0.020890864416672456	36	0.010307499861153516	0.013206722495764342
sec4b_status_x_revCSC_matched_null_support	D+F|revCSC_supported	15521	0.023323260297562785	529	0.021282360525498204	0.04175994847541969	36	0.0266825081450547	0.03355349139659196
sec4b_status_x_revCSC_matched_null_support	D+P|not_revCSC_supported	374	0.0005620062722304286	529	0.0015837853137720035	0.005967298758018828	36	0.0007363191238432706	0.0018795310381147436
sec4b_status_x_revCSC_matched_null_support	D+P|revCSC_supported	441	0.0006626865402503182	529	0.0010296340866546223	0.0038942312480596095	36	0.001180547465896918	0.0026919027682434666
sec4b_status_x_revCSC_matched_null_support	D_only|not_revCSC_supported	3957	0.005946146575443331	529	0.008648744538761076	0.015972066676973002	36	0.006568869251286486	0.010421512280860735
sec4b_status_x_revCSC_matched_null_support	D_only|revCSC_supported	4829	0.007256492750269357	529	0.009915445891829295	0.04638812530719002	36	0.009037313770630617	0.01510193277301162
sec4b_status_x_revCSC_matched_null_support	F+P|not_revCSC_supported	14463	0.021733413677189006	529	0.018653006968732407	0.053591381022993996	36	0.020390269172877715	0.02657000921950517
sec4b_status_x_revCSC_matched_null_support	F+P|revCSC_supported	14898	0.022387084074034558	529	0.02201538822321687	0.044108398652163164	36	0.027774242829418913	0.03717020808905333
sec4b_status_x_revCSC_matched_null_support	F_only|not_revCSC_supported	160558	0.2412689921304095	529	0.21922365178885966	0.23220852924696028	36	0.23906706937384634	0.17768667376699598
sec4b_status_x_revCSC_matched_null_support	F_only|revCSC_supported	157601	0.2368255361224272	529	0.2214465578616591	0.22310770555126375	36	0.25044592453795644	0.16306475078805382
sec4b_status_x_revCSC_matched_null_support	P_only|not_revCSC_supported	10807	0.016239576962551447	529	0.030656481490666514	0.07258673359287356	36	0.015487457924727463	0.0271345286280696
sec4b_status_x_revCSC_matched_null_support	P_only|revCSC_supported	9574	0.014386759492871987	529	0.017435424179034032	0.03483363144262972	36	0.01816889964120554	0.024957721959583023
sec4b_status_x_revCSC_matched_null_support	none|not_revCSC_supported	124681	0.1873569626416098	529	0.2325629200247907	0.24014138121338602	36	0.17363292335330482	0.16085917790481188
sec4b_status_x_revCSC_matched_null_support	none|revCSC_supported	133416	0.20048296474838198	529	0.18192035105272356	0.1725389069297883	36	0.19705076552972037	0.18528103912122557
