donor_key	n_cells	a_m11hi_revcschi	b_m11hi_revcsclo	c_m11lo_revcschi	d_m11lo_revcsclo	estimable	odds_ratio	not_estimable_reason
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	5695	390	483	694	4128	True	4.802835305278608	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	1549	32	34	313	1170	True	3.5181356887803044	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	7553	168	1507	558	5320	True	1.0628536364349879	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	1594	74	130	298	1092	True	2.085906040268456	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	3682	48	85	255	3294	True	7.294671280276817	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	4141	205	411	669	2856	True	2.129335646405464	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	2055	68	236	342	1409	True	1.1870849439984141	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	539	11	35	60	433	True	2.268095238095238	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	4976	279	669	829	3199	True	1.6093029042500826	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	3191	265	372	625	1929	True	2.1986451612903224	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	1322	34	73	212	1003	True	2.203540966658051	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	1870	85	132	267	1386	True	3.342696629213483	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	4173	71	30	853	3219	True	8.93118405627198	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	4250	246	202	748	3054	True	4.9722295758987665	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	1454	46	99	308	1001	True	1.5101010101010102	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	1309	32	28	141	1108	True	8.980749746707193	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	1819	119	196	393	1111	True	1.7163758633224282	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	4690	174	286	1044	3186	True	1.8566433566433567	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	829	5	10	109	705	True	3.2339449541284404	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	1008	31	62	210	705	True	1.6785714285714286	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2783	447	191	249	1	6	True	4.602409638554217	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2787	411	201	209	1	0	False	0.0	at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2795	311	70	240	0	1	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2801	695	341	326	3	25	True	8.71676891615542	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2803	1036	315	652	1	68	True	32.852760736196316	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2811	837	495	217	70	55	True	1.7922975641869652	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2816	347	114	232	0	1	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2817	450	309	141	0	0	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2821	1059	130	929	0	0	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2841	1077	339	735	1	2	True	0.9224489795918367	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2899	1114	440	647	17	10	True	0.4000363669424493	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S02	581	487	94	0	0	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S05	2187	1515	463	111	98	True	2.8889148327593253	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S06	812	682	128	1	1	True	5.328125	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S07	765	621	140	1	3	True	13.307142857142857	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S10	1806	1602	199	2	3	True	12.075376884422111	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC035	815	181	572	1	61	True	19.302447552447553	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC040	381	289	91	1	0	False	0.0	at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC043	717	306	411	0	0	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC044	357	109	138	21	89	True	3.347481021394065	
Pelka_2021_Cell||Pelka_2021_Cell.C103	4339	33	297	21	3988	True	21.1005291005291	
Pelka_2021_Cell||Pelka_2021_Cell.C104	1496	54	162	116	1164	True	3.3448275862068964	
Pelka_2021_Cell||Pelka_2021_Cell.C105	1067	11	61	25	970	True	6.99672131147541	
Pelka_2021_Cell||Pelka_2021_Cell.C106	764	26	84	20	634	True	9.811904761904762	
Pelka_2021_Cell||Pelka_2021_Cell.C107	1928	74	159	297	1398	True	2.190712152976304	
Pelka_2021_Cell||Pelka_2021_Cell.C109	1383	6	113	5	1259	True	13.36991150442478	
Pelka_2021_Cell||Pelka_2021_Cell.C110	772	241	261	24	246	True	9.46455938697318	
Pelka_2021_Cell||Pelka_2021_Cell.C111	400	31	80	16	273	True	6.61171875	
Pelka_2021_Cell||Pelka_2021_Cell.C112	1467	8	40	34	1385	True	8.147058823529411	
Pelka_2021_Cell||Pelka_2021_Cell.C113	2511	88	167	323	1933	True	3.1535195862145677	
Pelka_2021_Cell||Pelka_2021_Cell.C114	1282	30	112	64	1076	True	4.503348214285714	
Pelka_2021_Cell||Pelka_2021_Cell.C115	505	17	25	31	432	True	9.476129032258065	
Pelka_2021_Cell||Pelka_2021_Cell.C116	368	2	23	7	336	True	4.173913043478261	
Pelka_2021_Cell||Pelka_2021_Cell.C118	1069	61	343	19	646	True	6.0466472303206995	
Pelka_2021_Cell||Pelka_2021_Cell.C119	1005	27	113	78	787	True	2.4108236895847517	
Pelka_2021_Cell||Pelka_2021_Cell.C122	1852	59	238	52	1503	True	7.165239172592114	
Pelka_2021_Cell||Pelka_2021_Cell.C123	3677	259	819	127	2472	True	6.1554613365636985	
Pelka_2021_Cell||Pelka_2021_Cell.C124	768	21	174	6	567	True	11.405172413793103	
Pelka_2021_Cell||Pelka_2021_Cell.C125	1962	19	161	17	1765	True	12.252466203872853	
Pelka_2021_Cell||Pelka_2021_Cell.C126	588	34	135	32	387	True	3.0458333333333334	
Pelka_2021_Cell||Pelka_2021_Cell.C129	2979	249	1109	48	1573	True	7.3579238052299365	
Pelka_2021_Cell||Pelka_2021_Cell.C130	2972	366	647	135	1824	True	7.643070582174137	
Pelka_2021_Cell||Pelka_2021_Cell.C132	1146	19	132	106	889	True	1.2071898227558604	
Pelka_2021_Cell||Pelka_2021_Cell.C133	946	215	162	116	453	True	5.18279054916986	
Pelka_2021_Cell||Pelka_2021_Cell.C134	1128	4	64	1	1059	True	66.1875	
Pelka_2021_Cell||Pelka_2021_Cell.C135	646	7	50	28	561	True	2.805	
Pelka_2021_Cell||Pelka_2021_Cell.C136	1131	2	93	6	1030	True	3.6917562724014337	
Pelka_2021_Cell||Pelka_2021_Cell.C137	510	16	70	22	402	True	4.176623376623376	
Pelka_2021_Cell||Pelka_2021_Cell.C138	383	2	15	17	349	True	2.7372549019607844	
Pelka_2021_Cell||Pelka_2021_Cell.C139	2467	78	176	207	2006	True	4.294795783926219	
Pelka_2021_Cell||Pelka_2021_Cell.C140	2305	5	57	22	2221	True	8.855661881977671	
Pelka_2021_Cell||Pelka_2021_Cell.C142	1100	28	167	116	789	True	1.140408837497419	
Pelka_2021_Cell||Pelka_2021_Cell.C143	988	24	72	73	819	True	3.73972602739726	
Pelka_2021_Cell||Pelka_2021_Cell.C144	720	29	238	14	439	True	3.820828331332533	
Pelka_2021_Cell||Pelka_2021_Cell.C145	2073	47	171	99	1756	True	4.87518459448284	
Pelka_2021_Cell||Pelka_2021_Cell.C146	1819	50	433	10	1326	True	15.311778290993072	
