left_out_group	n_donors_remaining	or_mh_excl	delta_or_vs_full
Pelka_2021_Cell||Pelka_2021_Cell.C137	123	6.088145020454261	-0.004753113651924323
Pelka_2021_Cell||Pelka_2021_Cell.C138	123	6.09162227676302	-0.0012758573431659315
Pelka_2021_Cell||Pelka_2021_Cell.C139	123	6.090757973216459	-0.002140160889726239
Pelka_2021_Cell||Pelka_2021_Cell.C140	123	6.091811829788042	-0.001086304318143938
Pelka_2021_Cell||Pelka_2021_Cell.C142	123	6.137698819197869	0.044800685091683334
Pelka_2021_Cell||Pelka_2021_Cell.C143	123	6.095162344189741	0.0022642100835552625
Pelka_2021_Cell||Pelka_2021_Cell.C144	123	6.089855066495992	-0.003043067610193795
Pelka_2021_Cell||Pelka_2021_Cell.C145	123	6.089109912689553	-0.003788221416632709
Pelka_2021_Cell||Pelka_2021_Cell.C146	123	6.08266252665567	-0.010235607450515438
Pelka_2021_Cell||Pelka_2021_Cell.C147	123	6.073224279637717	-0.019673854468468477
Pelka_2021_Cell||Pelka_2021_Cell.C149	123	6.090287711949416	-0.002610422156769765
Pelka_2021_Cell||Pelka_2021_Cell.C150	123	6.092926311115373	2.8177009187224655e-05
Pelka_2021_Cell||Pelka_2021_Cell.C151	123	6.077390434719021	-0.015507699387164564
Pelka_2021_Cell||Pelka_2021_Cell.C152	123	6.088730216472444	-0.004167917633741247
Pelka_2021_Cell||Pelka_2021_Cell.C153	123	6.089876052335985	-0.003022081770200913
Pelka_2021_Cell||Pelka_2021_Cell.C154	123	6.091065705948967	-0.001832428157218402
Pelka_2021_Cell||Pelka_2021_Cell.C155	123	6.094237376298634	0.0013392421924480757
Pelka_2021_Cell||Pelka_2021_Cell.C156	123	6.082624850352309	-0.010273283753877038
Pelka_2021_Cell||Pelka_2021_Cell.C157	123	6.105558183973576	0.012660049867390555
Pelka_2021_Cell||Pelka_2021_Cell.C158	123	6.080221827925736	-0.012676306180449792
Pelka_2021_Cell||Pelka_2021_Cell.C159	123	6.083761649052183	-0.009136485054002996
Pelka_2021_Cell||Pelka_2021_Cell.C160	123	6.091879288215535	-0.0010188458906510434
Pelka_2021_Cell||Pelka_2021_Cell.C161	123	6.082508532390487	-0.010389601715698582
Pelka_2021_Cell||Pelka_2021_Cell.C162	123	6.0944228671724225	0.0015247330662369052
Pelka_2021_Cell||Pelka_2021_Cell.C163	123	6.1200360641748865	0.02713793006870091
Pelka_2021_Cell||Pelka_2021_Cell.C164	123	6.093990732927514	0.0010925988213283944
Pelka_2021_Cell||Pelka_2021_Cell.C166	123	6.078529203422493	-0.014368930683692938
Pelka_2021_Cell||Pelka_2021_Cell.C168	123	6.077835719130828	-0.015062414975357541
Pelka_2021_Cell||Pelka_2021_Cell.C169	123	6.090988716280864	-0.0019094178253213911
Pelka_2021_Cell||Pelka_2021_Cell.C170	123	6.087967049317516	-0.0049310847886694376
Pelka_2021_Cell||Pelka_2021_Cell.C171	123	6.060168634801544	-0.03272949930464186
Pelka_2021_Cell||Pelka_2021_Cell.C172	123	6.093168747248205	0.00027061314201937137
Pelka_2021_Cell||Pelka_2021_Cell.C173	123	6.092959140230537	6.100612435133712e-05
Qi_2022_Nat_Commun||Qi_2022_Nat_Commun.P1	123	6.123682838541076	0.030784704434890564
Qi_2022_Nat_Commun||Qi_2022_Nat_Commun.P2	123	6.09375313706662	0.0008550029604341702
Qi_2022_Nat_Commun||Qi_2022_Nat_Commun.P3	123	6.081168686867088	-0.011729447239098079
Qi_2022_Nat_Commun||Qi_2022_Nat_Commun.P4	123	6.099045588689048	0.006147454582862366
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P31	123	6.060869804211311	-0.032028329894874474
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P32	123	6.0905707241711475	-0.002327409935038105
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P33	123	6.10844583284329	0.015547698737104376
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P35	123	6.078441617117864	-0.01445651698832151
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P38	123	6.0931203823842095	0.00022224827802386216
Sathe_2023_Clin_Cancer_Res||Sathe_2023_Clin_Cancer_Res.P6198	123	6.090632714260757	-0.002265419845429051
Terekhanova_2023_Nature||Terekhanova_2023_Nature.HTA12_101	123	6.0875935492665825	-0.005304584839603166
Terekhanova_2023_Nature||Terekhanova_2023_Nature.HTA12_102	123	6.090665741745165	-0.002232392361020352
Terekhanova_2023_Nature||Terekhanova_2023_Nature.HTA12_107	123	6.092917766367736	1.9632261550661667e-05
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P02	123	6.091275517808494	-0.0016226162976913372
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P10	123	6.051054523256575	-0.04184361084961097
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P11	123	5.900578164812218	-0.19231996929396722
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P12	123	5.956135340038879	-0.13676279406730707
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P13	123	5.9760802516739755	-0.11681788243221014
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P18	123	5.967883848572718	-0.12501428553346727
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P20	123	6.04785332211724	-0.04504481198894528
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P21	123	5.823560343499529	-0.26933779060665675
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P23	123	6.084396893650419	-0.008501240455766279
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P24	123	5.606882816844762	-0.48601531726142344
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P27	123	6.072782480900611	-0.020115653205574624
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P28	123	6.0584582385188055	-0.03443989558738014
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P29	123	6.1126161489757225	0.019718014869536837
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P34	123	6.0766072377272	-0.016290896378985842
Wang_2023_Sci_Adv||Wang_2023_Sci_Adv.P0107	123	5.986945930927117	-0.1059522031790685
Wang_2023_Sci_Adv||Wang_2023_Sci_Adv.P0813	123	6.040713176609921	-0.05218495749626495
Wang_2023_Sci_Adv||Wang_2023_Sci_Adv.P0920	123	6.077810834768447	-0.015087299337738891
Wang_2023_Sci_Adv||Wang_2023_Sci_Adv.P1231	123	6.08731816464248	-0.005579969463705758
