comparison	n_cells	n_donors	n_donors_estimable	pooled_pearson_r	pooled_spearman_rho	robust_pearson_sign_stable	robust_spearman_sign_stable	robust_to_no_single_donor_or_study
M11_top50_minus_revCSC_overlap_PRIMARY	297307	137	137	0.3180994987487793	0.4210435262611675	True	True	True
M11_top50_full_SENSITIVITY	297307	137	137	0.4397340714931488	0.5071125815235797	True	True	True
