study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho
Chen_2024_Cancer_Cell	20	20	0.2743383143097162	0.28692608406247866
Joanito_2022_Nat_Genet	20	20	0.18682675812160596	0.15069746018407398
Pelka_2021_Cell	61	61	0.3373013811766124	0.4091726075488889
Qi_2022_Nat_Commun	4	4	0.28369688987731934	0.33560562172969755
Qian_2020_Cell_Res	5	5	0.29034577012062074	0.3562105034525583
Sathe_2023_Clin_Cancer_Res	2	2	0.18312902748584747	0.31409225804778296
Terekhanova_2023_Nature	3	3	0.3721029758453369	0.37057835598037353
Tian_2023_Nat_Med	18	18	0.5032504896322886	0.5718808971151643
Wang_2023_Sci_Adv	4	4	0.3771941140294075	0.5395648410239744
