study_id	n_donors	n_donors_estimable	equal_donor_weighted_pearson_r	equal_donor_weighted_spearman_rho
Chen_2024_Cancer_Cell	20	20	0.17371195703744888	0.21244866902908704
Joanito_2022_Nat_Genet	20	20	0.19252963445032947	0.2176991336992366
Pelka_2021_Cell	61	61	0.21457309630073484	0.3154168580297189
Qi_2022_Nat_Commun	4	4	0.20613611117005348	0.23999934932555245
Qian_2020_Cell_Res	5	5	0.19304779917001724	0.2385879490054946
Sathe_2023_Clin_Cancer_Res	2	2	0.07228547357954085	0.21629330849409373
Terekhanova_2023_Nature	3	3	0.24733106791973114	0.219588718034206
Tian_2023_Nat_Med	18	18	0.39212790379921597	0.5302372370624336
Wang_2023_Sci_Adv	4	4	0.2974838763475418	0.47254783139442935
