left_out_group	n_donors_remaining	or_mh_excl	delta_or_vs_full
Chen_2024_Cancer_Cell	75	5.8232561911767275	0.27269392514359936
Joanito_2022_Nat_Genet	73	9.238031530982012	3.6874692649488834
Pelka_2021_Cell	53	5.310930384268714	-0.23963188176441452
Qi_2022_Nat_Commun	85	5.534843404939593	-0.01571886109353482
Qian_2020_Cell_Res	86	5.482257464967101	-0.06830480106602721
Terekhanova_2023_Nature	88	5.54758142262524	-0.0029808434078884005
Tian_2023_Nat_Med	76	4.293078666976252	-1.2574835990568758
Wang_2023_Sci_Adv	87	5.490246574972605	-0.06031569106052359
