donor_key	n_cells	a_m11hi_revcschi	b_m11hi_revcsclo	c_m11lo_revcschi	d_m11lo_revcsclo	estimable	odds_ratio	not_estimable_reason
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P01	5695	142	141	340	5072	True	15.023445974134335	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P02	1549	3	11	154	1381	True	2.4456906729634	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P03	7553	23	532	267	6731	True	1.0898946805215286	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P04	1594	21	54	152	1367	True	3.497441520467836	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P05	3682	10	26	102	3544	True	13.363499245852188	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P08	4141	40	150	329	3622	True	2.9357649442755824	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P09	2055	12	80	147	1816	True	1.853061224489796	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P12	539	1	10	22	506	True	2.3	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P14	4976	54	320	458	4144	True	1.5268558951965066	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P15	3191	51	188	353	2599	True	1.9973027545054547	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P16	1322	11	11	90	1210	True	13.444444444444445	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P17	1870	17	23	127	1703	True	9.91133173570695	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P18	4173	6	5	356	3806	True	12.829213483146068	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P19	4250	79	212	354	3605	True	3.7948379703656325	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	1454	4	68	129	1253	True	0.5713634290925672	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	1309	4	11	59	1235	True	7.61171032357473	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	1819	21	93	216	1489	True	1.5566009557945042	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	4690	24	116	551	3999	True	1.5015958445459665	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	829	1	2	47	779	True	8.287234042553191	
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	1008	2	9	111	886	True	1.7737737737737738	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2783	447	80	312	6	49	True	2.094017094017094	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2787	411	96	307	3	5	True	0.5211726384364821	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2795	311	28	256	0	27	False		at least one zero cell (a, b, c, or d == 0)
