left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Chen_2021_Cell||Chen_2021_Cell.HTA11_3997	665417	-0.02468515746295452	-0.014921372802683444	1.9233673810958862e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_11045	665449	-0.024701090529561043	-0.014940608561414687	3.300607204437256e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_10557	665005	-0.02473117597401142	-0.014948630220859288	-2.6784837245941162e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_10719	665440	-0.024717167019844055	-0.014958346185386719	-1.2775883078575134e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_9014	665234	-0.02469170093536377	-0.01491859932564882	1.269020140171051e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_10888	665457	-0.024693934246897697	-0.014938534500839384	1.0456889867782593e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_11092	665001	-0.024660948663949966	-0.01489691626081357	4.344247281551361e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_5679	665122	-0.024730993434786797	-0.014913340149354706	-2.660229802131653e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_9827	665467	-0.024711083620786667	-0.014951582294238541	-6.692484021186829e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_10034	665345	-0.024699129164218903	-0.014927944700246595	5.261972546577454e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_2334	665220	-0.024686992168426514	-0.014903717567252742	1.739896833896637e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_12542	664913	-0.024755774065852165	-0.01496443020993075	-5.138292908668518e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_12480	664769	-0.024041777476668358	-0.014298781285569228	0.0006626136600971222
Chen_2021_Cell||Chen_2021_Cell.HTA11_6436	665068	-0.024556251242756844	-0.01480084955921305	0.00014813989400863647
Chen_2021_Cell||Chen_2021_Cell.HTA11_12910	664714	-0.024137122556567192	-0.014358873587581696	0.000567268580198288
Chen_2021_Cell||Chen_2021_Cell.HTA11_12900	665095	-0.024616161361336708	-0.014816603138469924	8.822977542877197e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_6862	665407	-0.024609748274087906	-0.014843479140027377	9.464286267757416e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_10573	665459	-0.024701548740267754	-0.014938961502007778	2.8423964977264404e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_11543	665061	-0.024649471044540405	-0.014849164211664195	5.492009222507477e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_12090	665266	-0.0247284434735775	-0.014917202767551383	-2.4052336812019348e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_12399	665342	-0.024668250232934952	-0.014910243976979829	3.614090383052826e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_12167	665124	-0.024724265560507774	-0.014921331095199346	-1.987442374229431e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_12187	665302	-0.02464425377547741	-0.014887951996236583	6.013736128807068e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_13678	665437	-0.024706317111849785	-0.014938876128359533	-1.9259750843048096e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_3372	665452	-0.024677321314811707	-0.014918896228202779	2.70698219537735e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_11275	665415	-0.024657057598233223	-0.014893833098363144	4.733353853225708e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_14015	665351	-0.024645261466503143	-0.014871920663687652	5.912967026233673e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_9531	665086	-0.02445579692721367	-0.01467238367976998	0.0002485942095518112
Chen_2021_Cell||Chen_2021_Cell.HTA11_9700	664916	-0.02468220517039299	-0.014880994323932832	2.218596637248993e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_9998	665340	-0.02471083775162697	-0.014940728230670535	-6.446614861488342e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_13109	665150	-0.02464529499411583	-0.014858033202346972	5.9096142649650574e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_13708	664838	-0.024673063308000565	-0.01487831138981545	3.1327828764915466e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_13701	665348	-0.024698160588741302	-0.014919730357503241	6.230548024177551e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_13794	665449	-0.024666758254170418	-0.014912812546320202	3.7632882595062256e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_347	665426	-0.0247125755995512	-0.01494628520364583	-8.184462785720825e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_78	664995	-0.024604100733995438	-0.014826374800963018	0.00010029040277004242
Chen_2021_Cell||Chen_2021_Cell.HTA11_83	665434	-0.024689728394150734	-0.01492869669812291	1.4662742614746094e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_104	665460	-0.024685299023985863	-0.014929543245223666	1.909211277961731e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_411	665088	-0.024737277999520302	-0.014978680511818358	-3.288686275482178e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_392	665316	-0.02461555041372776	-0.014838061525491174	8.884072303771973e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_696	664979	-0.024412887170910835	-0.014643406580832205	0.0002915039658546448
Chen_2021_Cell||Chen_2021_Cell.HTA11_866	664624	-0.024525951594114304	-0.014689302854897435	0.00017843954265117645
Chen_2021_Cell||Chen_2021_Cell.HTA11_1391	664957	-0.02464521862566471	-0.014835277939566708	5.917251110076904e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_546	665319	-0.02463606931269169	-0.014904535054241752	6.83218240737915e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_2487	664451	-0.02473064698278904	-0.014939254237130271	-2.625584602355957e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_2992	665467	-0.024706048890948296	-0.014945931617746317	-1.6577541828155518e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_5212	665472	-0.02470414899289608	-0.014944773128277855	2.421438694000244e-07
Chen_2021_Cell||Chen_2021_Cell.HTA11_5216	665467	-0.024703606963157654	-0.01494106926045866	7.841736078262329e-07
Chen_2021_Cell||Chen_2021_Cell.HTA11_3361	665081	-0.024390779435634613	-0.014654256204408921	0.000313611701130867
Chen_2021_Cell||Chen_2021_Cell.HTA11_2112	665288	-0.02471288852393627	-0.01490860106667568	-8.497387170791626e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_1938	664987	-0.02468777634203434	-0.014859644925151174	1.6614794731140137e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_3331	665377	-0.024716222658753395	-0.014954868684801916	-1.1831521987915039e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_5363	665466	-0.024705924093723297	-0.01494280767692017	-1.5329569578170776e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_5994	665095	-0.024668050929903984	-0.014903538552465878	3.634020686149597e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_6134	665217	-0.024677524343132973	-0.014903410854281141	2.6866793632507324e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_6310	665412	-0.024671638384461403	-0.014905104030868251	3.275275230407715e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_6147	665449	-0.024699058383703232	-0.014939703850749362	5.33275306224823e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_2951	665301	-0.024574579671025276	-0.014811524598762164	0.00012981146574020386
Chen_2021_Cell||Chen_2021_Cell.HTA11_3410	665296	-0.02463550493121147	-0.014897411189440601	6.888620555400848e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_6025	665467	-0.024697840213775635	-0.014941406646403223	6.550922989845276e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_2235	665389	-0.024676060304045677	-0.014915689703080909	2.8330832719802856e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_7956	665451	-0.0247162077575922	-0.014952156683247767	-1.1816620826721191e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_8099	665231	-0.02471843548119068	-0.014942182563467174	-1.4044344425201416e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_9341	665415	-0.02469797432422638	-0.01494311316702566	6.416812539100647e-06
Chen_2021_Cell||Chen_2021_Cell.HTA11_8920	665405	-0.024691542610526085	-0.014932970441750635	1.2848526239395142e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_10167	665450	-0.024703582748770714	-0.014945306672955572	8.083879947662354e-07
Chen_2021_Cell||Chen_2021_Cell.HTA11_6298	665252	-0.024716634303331375	-0.014954990291067716	-1.224316656589508e-05
Chen_2021_Cell||Chen_2021_Cell.HTA11_7862	665440	-0.024721071124076843	-0.014955807917103485	-1.667998731136322e-05
