left_out_donor_key	n_cells_remaining	pooled_pearson_r_excl	pooled_spearman_rho_excl	delta_pearson_r_vs_full
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P20	664012	-0.029751325026154518	-0.02196705925282664	0.00029013678431510925
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P21	664103	-0.030079560354351997	-0.022417734371546608	-3.8098543882369995e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P22	663637	-0.029843559488654137	-0.02209857866677593	0.00019790232181549072
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P23	660783	-0.02951151132583618	-0.021628343610765367	0.0005299504846334457
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P25	664591	-0.029956750571727753	-0.02229754132187057	8.47112387418747e-05
Chen_2024_Cancer_Cell||Chen_2024_Cancer_Cell.P26	664464	-0.029917091131210327	-0.02224745250734401	0.00012437067925930023
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P1	664667	-0.030037816613912582	-0.022386692939449702	3.645196557044983e-06
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P2	664943	-0.029990507289767265	-0.02231745890956368	5.095452070236206e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P4	663954	-0.029984723776578903	-0.022326454316845906	5.673803389072418e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P5	665420	-0.030025802552700043	-0.022370833839154884	1.5659257769584656e-05
Giguelay_2022_Theranostics||Giguelay_2022_Theranostics.P3	664923	-0.03002753295004368	-0.022371787319570922	1.3928860425949097e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC1	664951	-0.030072925612330437	-0.022296975061923137	-3.1463801860809326e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC2	664559	-0.030633799731731415	-0.023130181742572677	-0.0005923379212617874
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Left_CRC3	665261	-0.03014984168112278	-0.022458898814387878	-0.00010837987065315247
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC1	665257	-0.03008234314620495	-0.022356869872497746	-4.0881335735321045e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC2	665193	-0.030058497563004494	-0.02239791305823322	-1.7035752534866333e-05
Guo_2022_JCI_Insight||Guo_2022_JCI_Insight.Right_CRC3	664442	-0.030076107010245323	-0.022355724051477715	-3.46451997756958e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_272	664722	-0.030011946335434914	-0.022341969598783477	2.9515475034713745e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_273	664852	-0.030081557109951973	-0.022298309621627634	-4.009529948234558e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_326	664018	-0.030226269736886024	-0.02249743832291915	-0.0001848079264163971
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_335	664454	-0.03062882274389267	-0.022687740202032795	-0.0005873609334230423
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_357	664471	-0.03008580021560192	-0.022502290479381692	-4.43384051322937e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_366	664796	-0.030039753764867783	-0.022315192769084117	1.7080456018447876e-06
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_381	664511	-0.030149729922413826	-0.022390495212755664	-0.00010826811194419861
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_416	664311	-0.030027685686945915	-0.022282132447651017	1.3776123523712158e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_435	664453	-0.03018750436604023	-0.022480933938367875	-0.00014604255557060242
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_446	665004	-0.030207326635718346	-0.022446424124691212	-0.00016586482524871826
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_482	665069	-0.030137458816170692	-0.022405405552729494	-9.599700570106506e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_489	664842	-0.0300578735768795	-0.022367790797172004	-1.6411766409873962e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_490	663863	-0.0301926638931036	-0.02231303708534814	-0.00015120208263397217
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_491	663576	-0.030212068930268288	-0.022417076174787217	-0.00017060711979866028
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_510	663924	-0.030220219865441322	-0.02238680652189226	-0.00017875805497169495
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_556	664253	-0.030955452471971512	-0.02288621320816402	-0.0009139906615018845
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_574	665260	-0.030102582648396492	-0.02248053374740347	-6.112083792686462e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_626	664706	-0.02999197691679001	-0.02229740045144007	4.9484893679618835e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_650	665027	-0.030017219483852386	-0.022308559350864725	2.4242326617240906e-05
HTAPP_HTAN||Pelka_2021_syn24181445.HTA1_710	663637	-0.03003447875380516	-0.02225555130038499	6.983056664466858e-06
Harmon_2023_Nat_Cancer||Harmon_2023_Nat_Cancer.P2	665375	-0.0300609041005373	-0.022402247349325416	-1.944229006767273e-05
Huang_2024_Nat_Cancer||Huang_2024_Nat_Cancer.CRC3	665472	-0.03004348836839199	-0.022378162050317903	-2.0265579223632812e-06
Huang_2024_Nat_Cancer||Huang_2024_Nat_Cancer.CRC2	665449	-0.03005489520728588	-0.02239458896853093	-1.3433396816253662e-05
Huang_2024_Nat_Cancer||Huang_2024_Nat_Cancer.CRC1	665396	-0.03004155121743679	-0.022373583856144397	-8.940696716308594e-08
Ji_2024_PLoS_Genet||Ji_2024_PLoS_Genet.WHU1	663886	-0.02967129833996296	-0.021974538787499248	0.0003701634705066681
Ji_2024_PLoS_Genet||Ji_2024_PLoS_Genet.WHU2	662487	-0.02952246181666851	-0.022016924332063106	0.0005189999938011169
Ji_2024_PLoS_Genet||Ji_2024_PLoS_Genet.WHU3	664253	-0.029619773849844933	-0.021741898847933133	0.0004216879606246948
Ji_2024_Cancer_Lett||Ji_2024_Cancer_Lett.sigmoid_03	662977	-0.03109726496040821	-0.023561581748004365	-0.0010558031499385834
Ji_2024_Cancer_Lett||Ji_2024_Cancer_Lett.rectum_03	657700	-0.031056193634867668	-0.023463844820039714	-0.0010147318243980408
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC035	664403	-0.03026425652205944	-0.02261461865195276	-0.00022279471158981323
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC040	664742	-0.030057337135076523	-0.022463330140123087	-1.5875324606895447e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC041	665254	-0.03006071224808693	-0.022419084101405407	-1.925043761730194e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC043	664756	-0.030368277803063393	-0.0227409623052316	-0.00032681599259376526
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC044	665091	-0.030022235587239265	-0.022348420983946567	1.922622323036194e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2794	665028	-0.030156919732689857	-0.022574505791459247	-0.0001154579222202301
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2795	664631	-0.030313188210129738	-0.022698975160799016	-0.0002717263996601105
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2801	664579	-0.029962869361042976	-0.02227167276912957	7.8592449426651e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2803	664166	-0.03050025925040245	-0.022960741121189145	-0.0004587974399328232
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2810	665255	-0.030062643811106682	-0.022426494378475	-2.1182000637054443e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2811	664205	-0.03033624030649662	-0.022894815565542972	-0.0002947784960269928
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2816	664405	-0.030125552788376808	-0.022543352159260382	-8.409097790718079e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2817	664054	-0.03086528182029724	-0.023592114455766082	-0.0008238200098276138
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2821	664414	-0.030213182792067528	-0.02256076656351912	-0.0001717209815979004
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2841	663740	-0.030361605808138847	-0.022933459408548854	-0.00032014399766921997
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2899	663975	-0.03055383451282978	-0.02311338395741763	-0.0005123727023601532
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2783	664692	-0.03009815514087677	-0.022492103452390767	-5.669333040714264e-05
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2787	664887	-0.03020070306956768	-0.02265150360727604	-0.00015924125909805298
