var_name	gene_id	base_symbol	is_suffixed	base_symbol_is_duplicated
TPRG1L	ENSG00000158109	TPRG1L	False	False
WRAP73	ENSG00000116213	WRAP73	False	False
TP73	ENSG00000078900	TP73	False	False
AL136528.1	ENSG00000227589	AL136528.1	False	False
AL136528.2	ENSG00000235131	AL136528.2	False	False
CCDC27	ENSG00000162592	CCDC27	False	False
SMIM1	ENSG00000235169	SMIM1	False	False
LRRC47	ENSG00000130764	LRRC47	False	False
AL365330.1	ENSG00000272153	AL365330.1	False	False
CEP104	ENSG00000116198	CEP104	False	False
DFFB	ENSG00000169598	DFFB	False	False
C1orf174	ENSG00000198912	C1orf174	False	False
LINC01134	ENSG00000236423	LINC01134	False	False
LINC01346	ENSG00000233304	LINC01346	False	False
LINC01345	ENSG00000226374	LINC01345	False	False
AL805961.1	ENSG00000284668	AL805961.1	False	False
AL805961.2	ENSG00000284703	AL805961.2	False	False
LINC01777	ENSG00000235054	LINC01777	False	False
AL355602.1	ENSG00000284694	AL355602.1	False	False
Z98747.1	ENSG00000227169	Z98747.1	False	False
LINC01646	ENSG00000232596	LINC01646	False	False
AJAP1	ENSG00000196581	AJAP1	False	False
BX005132.2	ENSG00000284739	BX005132.2	False	False
BX005132.1	ENSG00000284674	BX005132.1	False	False
AL691497.1	ENSG00000231510	AL691497.1	False	False
AL139823.1	ENSG00000284616	AL139823.1	False	False
Z98259.3	ENSG00000284692	Z98259.3	False	False
Z98259.2	ENSG00000284666	Z98259.2	False	False
Z98259.1	ENSG00000260972	Z98259.1	False	False
AL365255.1	ENSG00000236948	AL365255.1	False	False
NPHP4	ENSG00000131697	NPHP4	False	False
KCNAB2	ENSG00000069424	KCNAB2	False	False
CHD5	ENSG00000116254	CHD5	False	False
RPL22	ENSG00000116251	RPL22	False	False
AL031847.1	ENSG00000226944	AL031847.1	False	False
RNF207	ENSG00000158286	RNF207	False	False
ICMT	ENSG00000116237	ICMT	False	False
LINC00337	ENSG00000225077	LINC00337	False	False
HES3	ENSG00000173673	HES3	False	False
GPR153	ENSG00000158292	GPR153	False	False
ACOT7	ENSG00000097021	ACOT7	False	False
AL031848.2	ENSG00000271746	AL031848.2	False	False
HES2	ENSG00000069812	HES2	False	False
ESPN	ENSG00000187017	ESPN	False	False
AL031848.1	ENSG00000231868	AL031848.1	False	False
TNFRSF25	ENSG00000215788	TNFRSF25	False	False
PLEKHG5	ENSG00000171680	PLEKHG5	False	False
NOL9	ENSG00000162408	NOL9	False	False
TAS1R1	ENSG00000173662	TAS1R1	False	False
ZBTB48	ENSG00000204859	ZBTB48	False	False
KLHL21	ENSG00000162413	KLHL21	False	False
PHF13	ENSG00000116273	PHF13	False	False
THAP3	ENSG00000041988	THAP3	False	False
DNAJC11	ENSG00000007923	DNAJC11	False	False
LINC01672	ENSG00000228750	LINC01672	False	False
AL591163.1	ENSG00000284744	AL591163.1	False	False
CAMTA1-DT	ENSG00000237436	CAMTA1-DT	False	False
CAMTA1	ENSG00000171735	CAMTA1	False	False
AL512330.1	ENSG00000237365	AL512330.1	False	False
Z97987.1	ENSG00000237728	Z97987.1	False	False
AL365194.1	ENSG00000225126	AL365194.1	False	False
AL359881.3	ENSG00000270171	AL359881.3	False	False
AL359881.2	ENSG00000270035	AL359881.2	False	False
AL359881.1	ENSG00000269978	AL359881.1	False	False
VAMP3	ENSG00000049245	VAMP3	False	False
PER3	ENSG00000049246	PER3	False	False
Z98884.1	ENSG00000236266	Z98884.1	False	False
UTS2	ENSG00000049247	UTS2	False	False
TNFRSF9	ENSG00000049249	TNFRSF9	False	False
PARK7	ENSG00000116288	PARK7	False	False
AL034417.4	ENSG00000284747	AL034417.4	False	False
AL034417.3	ENSG00000284716	AL034417.3	False	False
ERRFI1	ENSG00000116285	ERRFI1	False	False
AL034417.2	ENSG00000238290	AL034417.2	False	False
LINC01714	ENSG00000227634	LINC01714	False	False
AL358876.2	ENSG00000233645	AL358876.2	False	False
SLC45A1	ENSG00000162426	SLC45A1	False	False
RERE	ENSG00000142599	RERE	False	False
AL096855.1	ENSG00000232912	AL096855.1	False	False
AL357552.2	ENSG00000228423	AL357552.2	False	False
ENO1	ENSG00000074800	ENO1	False	False
ENO1-AS1	ENSG00000230679	ENO1-AS1	False	False
CA6	ENSG00000131686	CA6	False	False
SLC2A7	ENSG00000197241	SLC2A7	False	False
SLC2A5	ENSG00000142583	SLC2A5	False	False
GPR157	ENSG00000180758	GPR157	False	False
MIR34AHG	ENSG00000228526	MIR34AHG	False	False
LINC01759	ENSG00000234546	LINC01759	False	False
H6PD	ENSG00000049239	H6PD	False	False
SPSB1	ENSG00000171621	SPSB1	False	False
BX323043.1	ENSG00000284652	BX323043.1	False	False
AL928921.2	ENSG00000284693	AL928921.2	False	False
AL928921.1	ENSG00000235263	AL928921.1	False	False
SLC25A33	ENSG00000171612	SLC25A33	False	False
TMEM201	ENSG00000188807	TMEM201	False	False
PIK3CD	ENSG00000171608	PIK3CD	False	False
PIK3CD-AS1	ENSG00000179840	PIK3CD-AS1	False	False
PIK3CD-AS2	ENSG00000231789	PIK3CD-AS2	False	False
CLSTN1	ENSG00000171603	CLSTN1	False	False
CTNNBIP1	ENSG00000178585	CTNNBIP1	False	False
AL357140.1	ENSG00000223989	AL357140.1	False	False
LZIC	ENSG00000162441	LZIC	False	False
NMNAT1	ENSG00000173614	NMNAT1	False	False
RBP7	ENSG00000162444	RBP7	False	False
UBE4B	ENSG00000130939	UBE4B	False	False
KIF1B	ENSG00000054523	KIF1B	False	False
AL139424.3	ENSG00000284735	AL139424.3	False	False
AL139424.2	ENSG00000284642	AL139424.2	False	False
PGD	ENSG00000142657	PGD	False	False
AL139424.1	ENSG00000271989	AL139424.1	False	False
CENPS-CORT	ENSG00000251503	CENPS-CORT	False	False
CENPS	ENSG00000175279	CENPS	False	False
CORT	ENSG00000241563	CORT	False	False
DFFA	ENSG00000160049	DFFA	False	False
AL354956.1	ENSG00000203469	AL354956.1	False	False
PEX14	ENSG00000142655	PEX14	False	False
CASZ1	ENSG00000130940	CASZ1	False	False
AL139423.1	ENSG00000272078	AL139423.1	False	False
C1orf127	ENSG00000175262	C1orf127	False	False
TARDBP	ENSG00000120948	TARDBP	False	False
AL109811.4	ENSG00000277726	AL109811.4	False	False
MASP2	ENSG00000009724	MASP2	False	False
AL109811.3	ENSG00000271895	AL109811.3	False	False
SRM	ENSG00000116649	SRM	False	False
EXOSC10	ENSG00000171824	EXOSC10	False	False
AL109811.1	ENSG00000226849	AL109811.1	False	False
AL109811.2	ENSG00000230337	AL109811.2	False	False
MTOR	ENSG00000198793	MTOR	False	False
MTOR-AS1	ENSG00000225602	MTOR-AS1	False	False
ANGPTL7	ENSG00000171819	ANGPTL7	False	False
UBIAD1	ENSG00000120942	UBIAD1	False	False
AL031291.1	ENSG00000284646	AL031291.1	False	False
DISP3	ENSG00000204624	DISP3	False	False
LINC01647	ENSG00000235643	LINC01647	False	False
AL031731.1	ENSG00000284708	AL031731.1	False	False
FBXO2	ENSG00000116661	FBXO2	False	False
FBXO44	ENSG00000132879	FBXO44	False	False
FBXO6	ENSG00000116663	FBXO6	False	False
MAD2L2	ENSG00000116670	MAD2L2	False	False
DRAXIN	ENSG00000162490	DRAXIN	False	False
AGTRAP	ENSG00000177674	AGTRAP	False	False
C1orf167	ENSG00000215910	C1orf167	False	False
AL953897.1	ENSG00000177553	AL953897.1	False	False
MTHFR	ENSG00000177000	MTHFR	False	False
CLCN6	ENSG00000011021	CLCN6	False	False
NPPA-AS1	ENSG00000242349	NPPA-AS1	False	False
NPPA	ENSG00000175206	NPPA	False	False
NPPB	ENSG00000120937	NPPB	False	False
KIAA2013	ENSG00000116685	KIAA2013	False	False
PLOD1	ENSG00000083444	PLOD1	False	False
MFN2	ENSG00000116688	MFN2	False	False
MIIP	ENSG00000116691	MIIP	False	False
TNFRSF8	ENSG00000120949	TNFRSF8	False	False
TNFRSF1B	ENSG00000028137	TNFRSF1B	False	False
VPS13D	ENSG00000048707	VPS13D	False	False
AC243836.1	ENSG00000229484	AC243836.1	False	False
DHRS3	ENSG00000162496	DHRS3	False	False
AC254633.1	ENSG00000272482	AC254633.1	False	False
AADACL4	ENSG00000204518	AADACL4	False	False
AADACL3	ENSG00000188984	AADACL3	False	False
C1orf158	ENSG00000157330	C1orf158	False	False
PRAMEF12	ENSG00000116726	PRAMEF12	False	False
PRAMEF1	ENSG00000116721	PRAMEF1	False	False
LINC01784	ENSG00000228338	LINC01784	False	False
PRAMEF11	ENSG00000239810	PRAMEF11	False	False
HNRNPCL1	ENSG00000179172	HNRNPCL1	False	False
PRAMEF2	ENSG00000120952	PRAMEF2	False	False
PRAMEF4	ENSG00000243073	PRAMEF4	False	False
PRAMEF10	ENSG00000187545	PRAMEF10	False	False
PRAMEF7	ENSG00000204510	PRAMEF7	False	False
PRAMEF6	ENSG00000232423	PRAMEF6	False	False
PRAMEF27	ENSG00000274764	PRAMEF27	False	False
HNRNPCL3	ENSG00000277058	HNRNPCL3	False	False
PRAMEF25	ENSG00000229571	PRAMEF25	False	False
HNRNPCL2	ENSG00000275774	HNRNPCL2	False	False
AC245056.1	ENSG00000233336	AC245056.1	False	False
PRAMEF26	ENSG00000280267	PRAMEF26	False	False
HNRNPCL4	ENSG00000179412	HNRNPCL4	False	False
PRAMEF9	ENSG00000204505	PRAMEF9	False	False
PRAMEF13	ENSG00000279169	PRAMEF13	False	False
PRAMEF18	ENSG00000279804	PRAMEF18	False	False
PRAMEF5	ENSG00000270601	PRAMEF5	False	False
PRAMEF8	ENSG00000182330	PRAMEF8	False	False
PRAMEF33	ENSG00000237700	PRAMEF33	False	False
PRAMEF15	ENSG00000204501	PRAMEF15	False	False
AC243961.1	ENSG00000228229	AC243961.1	False	False
PRAMEF14	ENSG00000204481	PRAMEF14	False	False
PRAMEF19	ENSG00000204480	PRAMEF19	False	False
PRAMEF17	ENSG00000204479	PRAMEF17	False	False
PRAMEF20	ENSG00000204478	PRAMEF20	False	False
LRRC38	ENSG00000162494	LRRC38	False	False
AL354712.1	ENSG00000259961	AL354712.1	False	False
PDPN	ENSG00000162493	PDPN	False	False
AL359771.1	ENSG00000237445	AL359771.1	False	False
PRDM2	ENSG00000116731	PRDM2	False	False
KAZN	ENSG00000189337	KAZN	False	False
AL357873.1	ENSG00000231606	AL357873.1	False	False
KAZN-AS1	ENSG00000234593	KAZN-AS1	False	False
TMEM51-AS1	ENSG00000175147	TMEM51-AS1	False	False
TMEM51	ENSG00000171729	TMEM51	False	False
C1orf195	ENSG00000204464	C1orf195	False	False
FHAD1	ENSG00000142621	FHAD1	False	False
AL031283.2	ENSG00000233485	AL031283.2	False	False
AL031283.3	ENSG00000236045	AL031283.3	False	False
AL031283.1	ENSG00000228140	AL031283.1	False	False
EFHD2	ENSG00000142634	EFHD2	False	False
CTRC	ENSG00000162438	CTRC	False	False
CELA2A	ENSG00000142615	CELA2A	False	False
CELA2B	ENSG00000215704	CELA2B	False	False
CASP9	ENSG00000132906	CASP9	False	False
DNAJC16	ENSG00000116138	DNAJC16	False	False
AL121992.3	ENSG00000272510	AL121992.3	False	False
AGMAT	ENSG00000116771	AGMAT	False	False
AL121992.1	ENSG00000237301	AL121992.1	False	False
DDI2	ENSG00000197312	DDI2	False	False
RSC1A1	ENSG00000215695	RSC1A1	False	False
AL121992.2	ENSG00000271742	AL121992.2	False	False
PLEKHM2	ENSG00000116786	PLEKHM2	False	False
AL450998.3	ENSG00000237938	AL450998.3	False	False
SLC25A34	ENSG00000162461	SLC25A34	False	False
SLC25A34-AS1	ENSG00000224459	SLC25A34-AS1	False	False
TMEM82	ENSG00000162460	TMEM82	False	False
FBLIM1	ENSG00000162458	FBLIM1	False	False
UQCRHL	ENSG00000233954	UQCRHL	False	False
AL450998.2	ENSG00000179743	AL450998.2	False	False
SPEN	ENSG00000065526	SPEN	False	False
ZBTB17	ENSG00000116809	ZBTB17	False	False
SRARP	ENSG00000183888	SRARP	False	False
AL355994.3	ENSG00000233078	AL355994.3	False	False
HSPB7	ENSG00000173641	HSPB7	False	False
CLCNKA	ENSG00000186510	CLCNKA	False	False
CLCNKB	ENSG00000184908	CLCNKB	False	False
FAM131C	ENSG00000185519	FAM131C	False	False
EPHA2	ENSG00000142627	EPHA2	False	False
AL451042.2	ENSG00000227959	AL451042.2	False	False
AL451042.1	ENSG00000224621	AL451042.1	False	False
ARHGEF19-AS1	ENSG00000234166	ARHGEF19-AS1	False	False
ARHGEF19	ENSG00000142632	ARHGEF19	False	False
CPLANE2	ENSG00000132881	CPLANE2	False	False
FBXO42	ENSG00000037637	FBXO42	False	False
SZRD1	ENSG00000055070	SZRD1	False	False
SPATA21	ENSG00000187144	SPATA21	False	False
NECAP2	ENSG00000157191	NECAP2	False	False
LINC01772	ENSG00000226029	LINC01772	False	False
AL137802.2	ENSG00000261135	AL137802.2	False	False
AL137802.1	ENSG00000224174	AL137802.1	False	False
LINC01783	ENSG00000233421	LINC01783	False	False
NBPF1	ENSG00000219481	NBPF1	False	False
AL137798.1	ENSG00000271732	AL137798.1	False	False
AL137798.2	ENSG00000282143	AL137798.2	False	False
AL021920.1	ENSG00000279151	AL021920.1	False	False
AL021920.3	ENSG00000282740	AL021920.3	False	False
CROCC	ENSG00000058453	CROCC	False	False
BX284668.1	ENSG00000223643	BX284668.1	False	False
BX284668.2	ENSG00000228549	BX284668.2	False	False
BX284668.5	ENSG00000238142	BX284668.5	False	False
BX284668.6	ENSG00000272426	BX284668.6	False	False
MFAP2	ENSG00000117122	MFAP2	False	False
AL049569.1	ENSG00000226526	AL049569.1	False	False
ATP13A2	ENSG00000159363	ATP13A2	False	False
SDHB	ENSG00000117118	SDHB	False	False
PADI2	ENSG00000117115	PADI2	False	False
AL590644.1	ENSG00000204362	AL590644.1	False	False
AL590644.3	ENSG00000282843	AL590644.3	False	False
PADI1	ENSG00000142623	PADI1	False	False
PADI3	ENSG00000142619	PADI3	False	False
PADI4	ENSG00000159339	PADI4	False	False
PADI6	ENSG00000276747	PADI6	False	False
AC004824.1	ENSG00000227751	AC004824.1	False	False
RCC2	ENSG00000179051	RCC2	False	False
ARHGEF10L	ENSG00000074964	ARHGEF10L	False	False
AL136529.1	ENSG00000236648	AL136529.1	False	False
ACTL8	ENSG00000117148	ACTL8	False	False
AL357509.1	ENSG00000284653	AL357509.1	False	False
LINC01654	ENSG00000261781	LINC01654	False	False
IGSF21	ENSG00000117154	IGSF21	False	False
IGSF21-AS1	ENSG00000230035	IGSF21-AS1	False	False
AL591896.1	ENSG00000225387	AL591896.1	False	False
KLHDC7A	ENSG00000179023	KLHDC7A	False	False
PAX7	ENSG00000009709	PAX7	False	False
TAS1R2	ENSG00000179002	TAS1R2	False	False
AL080251.1	ENSG00000255275	AL080251.1	False	False
ALDH4A1	ENSG00000159423	ALDH4A1	False	False
IFFO2	ENSG00000169991	IFFO2	False	False
UBR4	ENSG00000127481	UBR4	False	False
AL035413.1	ENSG00000230424	AL035413.1	False	False
EMC1	ENSG00000127463	EMC1	False	False
MRTO4	ENSG00000053372	MRTO4	False	False
AKR7A3	ENSG00000162482	AKR7A3	False	False
AKR7A2	ENSG00000053371	AKR7A2	False	False
PQLC2	ENSG00000040487	PQLC2	False	False
CAPZB	ENSG00000077549	CAPZB	False	False
AL031727.2	ENSG00000235185	AL031727.2	False	False
MINOS1	ENSG00000173436	MINOS1	False	False
NBL1	ENSG00000158747	NBL1	False	False
MINOS1-NBL1	ENSG00000270136	MINOS1-NBL1	False	False
HTR6	ENSG00000158748	HTR6	False	False
TMCO4	ENSG00000162542	TMCO4	False	False
RNF186	ENSG00000178828	RNF186	False	False
AL391883.1	ENSG00000235434	AL391883.1	False	False
OTUD3	ENSG00000169914	OTUD3	False	False
PLA2G2E	ENSG00000188784	PLA2G2E	False	False
PLA2G2A	ENSG00000188257	PLA2G2A	False	False
PLA2G5	ENSG00000127472	PLA2G5	False	False
PLA2G2D	ENSG00000117215	PLA2G2D	False	False
PLA2G2F	ENSG00000158786	PLA2G2F	False	False
Z98257.1	ENSG00000227066	Z98257.1	False	False
PLA2G2C	ENSG00000187980	PLA2G2C	False	False
UBXN10-AS1	ENSG00000225986	UBXN10-AS1	False	False
UBXN10	ENSG00000162543	UBXN10	False	False
LINC01757	ENSG00000228105	LINC01757	False	False
Z98257.2	ENSG00000284710	Z98257.2	False	False
VWA5B1	ENSG00000158816	VWA5B1	False	False
AL020998.1	ENSG00000226664	AL020998.1	False	False
LINC01141	ENSG00000236963	LINC01141	False	False
AL139254.1	ENSG00000226487	AL139254.1	False	False
AL139254.2	ENSG00000284641	AL139254.2	False	False
AL139254.3	ENSG00000284743	AL139254.3	False	False
CAMK2N1	ENSG00000162545	CAMK2N1	False	False
MUL1	ENSG00000090432	MUL1	False	False
FAM43B	ENSG00000183114	FAM43B	False	False
CDA	ENSG00000158825	CDA	False	False
PINK1	ENSG00000158828	PINK1	False	False
PINK1-AS	ENSG00000117242	PINK1-AS	False	False
DDOST	ENSG00000244038	DDOST	False	False
KIF17	ENSG00000117245	KIF17	False	False
SH2D5	ENSG00000189410	SH2D5	False	False
AL663074.1	ENSG00000233069	AL663074.1	False	False
HP1BP3	ENSG00000127483	HP1BP3	False	False
EIF4G3	ENSG00000075151	EIF4G3	False	False
ECE1	ENSG00000117298	ECE1	False	False
AL031005.1	ENSG00000236936	AL031005.1	False	False
AL031728.1	ENSG00000231105	AL031728.1	False	False
AL592309.2	ENSG00000236009	AL592309.2	False	False
NBPF3	ENSG00000142794	NBPF3	False	False
ALPL	ENSG00000162551	ALPL	False	False
AL359815.1	ENSG00000233431	AL359815.1	False	False
RAP1GAP	ENSG00000076864	RAP1GAP	False	False
USP48	ENSG00000090686	USP48	False	False
LDLRAD2	ENSG00000187942	LDLRAD2	False	False
HSPG2	ENSG00000142798	HSPG2	False	False
CELA3B	ENSG00000219073	CELA3B	False	False
CELA3A	ENSG00000142789	CELA3A	False	False
LINC01635	ENSG00000228397	LINC01635	False	False
CDC42	ENSG00000070831	CDC42	False	False
AL031281.2	ENSG00000271840	AL031281.2	False	False
WNT4	ENSG00000162552	WNT4	False	False
ZBTB40	ENSG00000184677	ZBTB40	False	False
EPHA8	ENSG00000070886	EPHA8	False	False
C1QA	ENSG00000173372	C1QA	False	False
C1QC	ENSG00000159189	C1QC	False	False
C1QB	ENSG00000173369	C1QB	False	False
EPHB2	ENSG00000133216	EPHB2	False	False
AL512444.1	ENSG00000225952	AL512444.1	False	False
LACTBL1	ENSG00000215906	LACTBL1	False	False
TEX46	ENSG00000227868	TEX46	False	False
KDM1A	ENSG00000004487	KDM1A	False	False
AL031428.1	ENSG00000240553	AL031428.1	False	False
LUZP1	ENSG00000169641	LUZP1	False	False
HTR1D	ENSG00000179546	HTR1D	False	False
LINC01355	ENSG00000261326	LINC01355	False	False
AL109936.6	ENSG00000284726	AL109936.6	False	False
HNRNPR	ENSG00000125944	HNRNPR	False	False
ZNF436	ENSG00000125945	ZNF436	False	False
ZNF436-AS1	ENSG00000249087	ZNF436-AS1	False	False
AL109936.2	ENSG00000271420	AL109936.2	False	False
TCEA3	ENSG00000204219	TCEA3	False	False
ASAP3	ENSG00000088280	ASAP3	False	False
E2F2	ENSG00000007968	E2F2	False	False
AL021154.1	ENSG00000235052	AL021154.1	False	False
ID3	ENSG00000117318	ID3	False	False
MDS2	ENSG00000197880	MDS2	False	False
RPL11	ENSG00000142676	RPL11	False	False
ELOA	ENSG00000011007	ELOA	False	False
ELOA-AS1	ENSG00000236810	ELOA-AS1	False	False
PITHD1	ENSG00000057757	PITHD1	False	False
LYPLA2	ENSG00000011009	LYPLA2	False	False
GALE	ENSG00000117308	GALE	False	False
HMGCL	ENSG00000117305	HMGCL	False	False
FUCA1	ENSG00000179163	FUCA1	False	False
CNR2	ENSG00000188822	CNR2	False	False
AL590609.3	ENSG00000232557	AL590609.3	False	False
PNRC2	ENSG00000189266	PNRC2	False	False
SRSF10	ENSG00000188529	SRSF10	False	False
AL591178.1	ENSG00000225315	AL591178.1	False	False
MYOM3	ENSG00000142661	MYOM3	False	False
AL591178.2	ENSG00000230703	AL591178.2	False	False
IL22RA1	ENSG00000142677	IL22RA1	False	False
IFNLR1	ENSG00000185436	IFNLR1	False	False
AL590683.1	ENSG00000230023	AL590683.1	False	False
AL138902.1	ENSG00000232298	AL138902.1	False	False
GRHL3	ENSG00000158055	GRHL3	False	False
STPG1	ENSG00000001460	STPG1	False	False
NIPAL3	ENSG00000001461	NIPAL3	False	False
RCAN3	ENSG00000117602	RCAN3	False	False
AL445686.2	ENSG00000264443	AL445686.2	False	False
NCMAP	ENSG00000184454	NCMAP	False	False
SRRM1	ENSG00000133226	SRRM1	False	False
AL445648.1	ENSG00000284699	AL445648.1	False	False
CLIC4	ENSG00000169504	CLIC4	False	False
RUNX3	ENSG00000020633	RUNX3	False	False
AL445471.1	ENSG00000229162	AL445471.1	False	False
AL445471.2	ENSG00000261025	AL445471.2	False	False
AL050344.1	ENSG00000233755	AL050344.1	False	False
AL031432.1	ENSG00000231953	AL031432.1	False	False
SYF2	ENSG00000117614	SYF2	False	False
AL031432.5	ENSG00000284657	AL031432.5	False	False
RSRP1	ENSG00000117616	RSRP1	False	False
AL031432.3	ENSG00000272432	AL031432.3	False	False
RHD	ENSG00000187010	RHD	False	False
TMEM50A	ENSG00000183726	TMEM50A	False	False
RHCE	ENSG00000188672	RHCE	False	False
