dataset	marker	ensembl_id	group	n_cells	mean_log1p_expr	status
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	endothelial cell	1025	0.08163540065288544	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	hepatocyte	209	1.0417591333389282	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	B cell	1440	0.07674109190702438	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	natural killer cell	12371	0.05766629800200462	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	neutrophil	16769	0.12288498133420944	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	plasmacytoid dendritic cell	146	0.05913117900490761	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	plasma cell	454	0.1232772022485733	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	conventional dendritic cell	1249	0.05754224956035614	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	malignant cell	4051	2.6993861198425293	ok
CRLM_NMP_ATLAS	EPCAM	ENSG00000119888	cholangiocyte	524	1.836575984954834	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	fibroblast	321	0.28092917799949646	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	T cell	25328	0.03855263069272041	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	mast cell	95	0.03689680993556976	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	mononuclear phagocyte	11122	0.037589021027088165	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	endothelial cell	1025	0.0732666477560997	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	hepatocyte	209	1.5637279748916626	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	B cell	1440	0.05706646665930748	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	natural killer cell	12371	0.024451259523630142	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	neutrophil	16769	0.06041283532977104	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	plasmacytoid dendritic cell	146	0.04791177809238434	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	plasma cell	454	0.14751508831977844	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	conventional dendritic cell	1249	0.04334374517202377	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	malignant cell	4051	1.756353735923767	ok
CRLM_NMP_ATLAS	KRT8	ENSG00000170421	cholangiocyte	524	1.3021878004074097	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	fibroblast	321	0.23401805758476257	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	T cell	25328	0.016443340107798576	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	mast cell	95	0.01982957124710083	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	mononuclear phagocyte	11122	0.012732252478599548	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	endothelial cell	1025	0.04843388497829437	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	hepatocyte	209	1.438529133796692	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	B cell	1440	0.021848708391189575	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	natural killer cell	12371	0.008948946371674538	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	neutrophil	16769	0.02223280444741249	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	plasmacytoid dendritic cell	146	0.031402867287397385	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	plasma cell	454	0.03745037317276001	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	conventional dendritic cell	1249	0.016478944569826126	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	malignant cell	4051	1.0921398401260376	ok
CRLM_NMP_ATLAS	KRT18	ENSG00000111057	cholangiocyte	524	0.8252636790275574	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	fibroblast	321	0.15530963242053986	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	T cell	25328	0.01904461719095707	ok
