sample	organ	n_cells
T238_b10_Stomach_PCW21	Stomach	4130
T269_b10_Stomach_PCW18	Stomach	16310
T322_b10_Stomach_PCW21	Stomach	8950
T35_b10_Stomach_PCW17	Stomach	18106
T399_b10_Stomach_PCW17	Stomach	16464
T53_b10_Stomach_PCW20	Stomach	2222
