gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
ADAP2	75	96	26	111
ADAR	472	698	55	396
ADARB1	263	1358	68	651
ADARB2	234	340	39	193
ADARB2-AS1	6	9	0	2
ADAT1	20	24	6	37
ADAT2	161	272	27	166
ADCK1	180	252	10	125
ADCK2	20	32	2	33
ADCK5	142	1083	12	175
ADCY1	61	59	54	80
ADCY10	47	103	9	82
ADCY2	237	396	57	292
ADCY2-AS1	13	43	4	14
ADCY3	111	205	19	125
ADCY4	31	42	10	42
ADCY5	40	79	13	42
ADCY6	472	1457	52	480
ADCY7	181	483	13	255
ADCY8	68	100	6	65
ADCY9	307	593	71	412
ADCYAP1R1	8	14	12	28
ADD1	839	1274	104	956
ADD2	44	79	35	84
ADD2-AS1	3	11	0	1
ADD3	625	705	219	816
ADD3-AS1	37	41	17	63
ADGB	49	56	2	21
ADGRA1	5	13	14	22
ADGRA2	75	101	23	117
ADGRA3	604	704	97	770
ADGRB1	4	16	6	24
ADGRB2	15	11	1	32
ADGRB3	2511	6276	1368	6227
ADGRB3-DT	43	40	12	88
ADGRD1	33	67	9	28
ADGRD2	12	32	0	18
ADGRE1	19	30	2	24
ADGRE2	61	70	3	43
ADGRE3	51	96	7	36
ADGRE5	98	85	10	71
ADGRF1	7	10	0	5
ADGRF3	39	58	7	62
ADGRF4	22	19	1	3
ADGRF5	236	209	48	267
ADGRF5-AS1	0	1	0	2
ADGRG1	25	64	6	20
ADGRG2	85	142	10	58
ADGRG3	5	12	1	8
ADGRG4	23	30	5	17
ADGRG5	31	31	11	35
ADGRG6	67	59	28	92
ADGRG7	16	18	2	12
ADGRL1	85	132	48	135
ADGRL1-AS1	58	100	22	84
ADGRL2	3576	10454	652	10909
ADGRL3	42271	55054	1626	23860
ADGRL3-AS1	32	49	2	30
ADGRL3-AS2	16	12	2	6
ADGRL3-AS3	18	32	0	23
ADGRL4	426	451	213	364
