sample	organ	n_cells
T238_b10_Stomach_PCW21	StomachEsophagus	4130
T269_b10_Stomach_PCW18	StomachEsophagus	16310
T303_b10_Esophagus_PCW21	StomachEsophagus	17481
T322_b10_Stomach_PCW21	StomachEsophagus	8950
T35_b10_Stomach_PCW17	StomachEsophagus	18106
T399_b10_Stomach_PCW17	StomachEsophagus	16464
T53_b10_Stomach_PCW20	StomachEsophagus	2222
