sample	organ	n_cells
T273_b16_Adr_PCW18	Adrenal	612
T318_b16_Adr_PCW21	Adrenal	1381
T390_b16_Adr_PCW13	Adrenal	112
T40_b16_Adr_PCW17	Adrenal	778
