raw_mouse_symbol	canonical_mouse_symbol	resolution_method	mouse_ensembl_ids
Glt8D1	Glt8d1	case_insensitive	ENSMUSG00000021916
Gm10393		not_found	
Gm10691		not_found	
Gm10800		not_found	
Gm10972	Gm10972	exact	ENSMUSG00000118474
Gm14446		not_found	
Gm16721		not_found	
Gm17237		not_found	
Gm17244	Gm17244	exact	ENSMUSG00000102997
Gm17622		not_found	
Gm21887		not_found	
Gm22362	Gm22362	exact	ENSMUSG00000065036
Gm23119	Gm23119	exact	ENSMUSG00000089235
Gm23130	Gm23130	exact	ENSMUSG00000077440
Gm24339	Gm24339	exact	ENSMUSG00000077394
Gm24494	Gm24494	exact	ENSMUSG00000065738
Gm24616	Gm24616	exact	ENSMUSG00000065208
Gm2A	Gm2a	case_insensitive	ENSMUSG00000000594
Gm6096	Gm6096	exact	ENSMUSG00000078380
Gm7008	Gm7008	exact	ENSMUSG00000035983
Gm7665	Gm7665	exact	ENSMUSG00000063628
Gmds	Gmds	exact	ENSMUSG00000038372
Gml	Gml	exact	ENSMUSG00000068349
Gna14	Gna14	exact	ENSMUSG00000024697
Gnai1	Gnai1	exact	ENSMUSG00000057614
Gnai2	Gnai2	exact	ENSMUSG00000032562
Gnaz	Gnaz	exact	ENSMUSG00000040009
Gnb5	Gnb5	exact	ENSMUSG00000032192
Gng7	Gng7	exact	ENSMUSG00000048240
Gngt2	Gngt2	exact	ENSMUSG00000038811
Gnl1	Gnl1	exact	ENSMUSG00000024429
Gnpat	Gnpat	exact	ENSMUSG00000031985
Gnptg	Gnptg	exact	ENSMUSG00000035521
Golga2	Golga2	exact	ENSMUSG00000002546
Golm1	Golm1	exact	ENSMUSG00000021556
Gpc1	Gpc1	exact	ENSMUSG00000034220
Gpr126		not_found	
Gpr137B	Gpr137b	case_insensitive	ENSMUSG00000021306
Gprc5A	Gprc5a	case_insensitive	ENSMUSG00000046733
Gpsm1	Gpsm1	exact	ENSMUSG00000026930
Gpx2	Gpx2	exact	ENSMUSG00000042808
Gramd1B	Gramd1b	case_insensitive	ENSMUSG00000040111
Grasp		not_found	
Grb10	Grb10	exact	ENSMUSG00000020176
Grem1	Grem1	exact	ENSMUSG00000074934
Grhl1	Grhl1	exact	ENSMUSG00000020656
Gsdmd	Gsdmd	exact	ENSMUSG00000022575
Gsn	Gsn	exact	ENSMUSG00000026879
Gspt2	Gspt2	exact	ENSMUSG00000071723
Gsta4	Gsta4	exact	ENSMUSG00000032348
Gsto1	Gsto1	exact	ENSMUSG00000025068
Gtf3C5	Gtf3c5	case_insensitive	ENSMUSG00000026816
Gtse1	Gtse1	exact	ENSMUSG00000022385
Gucy1A3		not_found	
Gzmm	Gzmm	exact	ENSMUSG00000054206
H2-Ab1	H2-Ab1	exact	ENSMUSG00000073421
H2-T24	H2-T24	exact	ENSMUSG00000053835
H6Pd	H6pd	case_insensitive	ENSMUSG00000028980
Haghl	Haghl	exact	ENSMUSG00000061046
Hap1	Hap1	exact	ENSMUSG00000006930
Hbegf	Hbegf	exact	ENSMUSG00000024486
Hdac2	Hdac2	exact	ENSMUSG00000019777
Hdac7	Hdac7	exact	ENSMUSG00000022475
Hebp2	Hebp2	exact	ENSMUSG00000019853
Heg1	Heg1	exact	ENSMUSG00000075254
Herc6	Herc6	exact	ENSMUSG00000029798
Hgfac	Hgfac	exact	ENSMUSG00000029102
Hhex	Hhex	exact	ENSMUSG00000024986
Hid1	Hid1	exact	ENSMUSG00000034586
Hif3A	Hif3a	case_insensitive	ENSMUSG00000004328
Hilpda	Hilpda	exact	ENSMUSG00000043421
Hist1H1C		not_found	
Hist1H1E		not_found	
Hist1H2Ai		not_found	
Hist1H2Bh		not_found	
Hist1H2Bj		not_found	
Hist1H2Bk		not_found	
Hist1H2Bm		not_found	
Hist1H3C		not_found	
Hist1H3E		not_found	
Hist2H2Ac		not_found	
Hist4H4		not_found	
Hk1	Hk1	exact	ENSMUSG00000037012
Hk2	Hk2	exact	ENSMUSG00000000628
Hlcs	Hlcs	exact	ENSMUSG00000040820
Hmgb3	Hmgb3	exact	ENSMUSG00000015217
Hmgcll1	Hmgcll1	exact	ENSMUSG00000007908
Hmgcr	Hmgcr	exact	ENSMUSG00000021670
Hmox1	Hmox1	exact	ENSMUSG00000005413
Hnf1B	Hnf1b	case_insensitive	ENSMUSG00000020679
Hnrnpk	Hnrnpk	exact	ENSMUSG00000021546
Homer3	Homer3	exact	ENSMUSG00000003573
Hoxb6	Hoxb6	exact	ENSMUSG00000000690
Hpcal1	Hpcal1	exact	ENSMUSG00000071379
Hpcal4	Hpcal4	exact	ENSMUSG00000046093
Hpn	Hpn	exact	ENSMUSG00000001249
Hpse	Hpse	exact	ENSMUSG00000035273
Hpx	Hpx	exact	ENSMUSG00000030895
Hr	Hr	exact	ENSMUSG00000022096
Hs3St1	Hs3st1	case_insensitive	ENSMUSG00000051022
Hs6St2	Hs6st2	case_insensitive	ENSMUSG00000062184
Hsbp1	Hsbp1	exact	ENSMUSG00000031839
Hsd17B2	Hsd17b2	case_insensitive	ENSMUSG00000031844
Hsp90Aa1	Hsp90aa1	case_insensitive	ENSMUSG00000021270
Hsp90Ab1	Hsp90ab1	case_insensitive	ENSMUSG00000023944
Hspa1A	Hspa1a	case_insensitive	ENSMUSG00000091971
Hspa1B	Hspa1b	case_insensitive	ENSMUSG00000090877
Hspa2	Hspa2	exact	ENSMUSG00000059970
Hspb1	Hspb1	exact	ENSMUSG00000004951
Hspg2	Hspg2	exact	ENSMUSG00000028763
Hsph1	Hsph1	exact	ENSMUSG00000029657
Htr1D	Htr1d	case_insensitive	ENSMUSG00000070687
Htra3	Htra3	exact	ENSMUSG00000029096
Hyal1	Hyal1	exact	ENSMUSG00000010051
I830012O16Rik		not_found	
Icam1	Icam1	exact	ENSMUSG00000037405
Id1	Id1	exact	ENSMUSG00000042745
Id2	Id2	exact	ENSMUSG00000020644
Id3	Id3	exact	ENSMUSG00000007872
Ier3	Ier3	exact	ENSMUSG00000003541
Ier5L	Ier5l	case_insensitive	ENSMUSG00000089762
Iffo2	Iffo2	exact	ENSMUSG00000041025
Ifi202B	Ifi202b	case_insensitive	ENSMUSG00000026535
Ifi27L1		not_found	
Ifi27L2A	Ifi27l2a	case_insensitive	ENSMUSG00000079017
Ifit1	Ifit1	exact	ENSMUSG00000034459
Ifit3	Ifit3	exact	ENSMUSG00000074896
Ifitm3	Ifitm3	exact	ENSMUSG00000025492
Ifrd1	Ifrd1	exact	ENSMUSG00000001627
Ift122	Ift122	exact	ENSMUSG00000030323
Ift27	Ift27	exact	ENSMUSG00000016637
Ift43	Ift43	exact	ENSMUSG00000007867
Ift57	Ift57	exact	ENSMUSG00000032965
Ift74	Ift74	exact	ENSMUSG00000028576
Ift81	Ift81	exact	ENSMUSG00000029469
