raw_mouse_symbol	canonical_mouse_symbol	resolution_method	mouse_ensembl_ids
Mmp7	Mmp7	exact	ENSMUSG00000018623
Mndal	Mndal	exact	ENSMUSG00000090272
Mob1A	Mob1a	case_insensitive	ENSMUSG00000043131
Morf4L1	Morf4l1	case_insensitive	ENSMUSG00000062270
Morn2	Morn2	exact	ENSMUSG00000045257
Mpv17	Mpv17	exact	ENSMUSG00000107283
Mras	Mras	exact	ENSMUSG00000032470
Mrc1	Mrc1	exact	ENSMUSG00000026712
Mrpl18	Mrpl18	exact	ENSMUSG00000057388
Mrpl43	Mrpl43	exact	ENSMUSG00000025208
Mrpl9	Mrpl9	exact	ENSMUSG00000028140
Msantd3	Msantd3	exact	ENSMUSG00000039693
Msantd4	Msantd4	exact	ENSMUSG00000041124
Msln	Msln	exact	ENSMUSG00000063011
Msn	Msn	exact	ENSMUSG00000031207
Msrb2	Msrb2	exact	ENSMUSG00000023094
Mt-Tc	mt-Tc	case_insensitive	ENSMUSG00000064349
Mt-Tp	mt-Tp	case_insensitive	ENSMUSG00000064372
Mtap	Mtap	exact	ENSMUSG00000062937
Mtap6		not_found	
Mtmr10	Mtmr10	exact	ENSMUSG00000030522
Mtmr11	Mtmr11	exact	ENSMUSG00000045934
Muc1	Muc1	exact	ENSMUSG00000042784
Muc20	Muc20	exact	ENSMUSG00000035638
Muc4	Muc4	exact	ENSMUSG00000118672
Mvp	Mvp	exact	ENSMUSG00000030681
Mx2	Mx2	exact	ENSMUSG00000023341
Mxd4	Mxd4	exact	ENSMUSG00000037235
Mycbp2	Mycbp2	exact	ENSMUSG00000033004
Mycbpap	Mycbpap	exact	ENSMUSG00000039110
Myl12A	Myl12a	case_insensitive	ENSMUSG00000024048
Myl7	Myl7	exact	ENSMUSG00000020469
Myl9	Myl9	exact	ENSMUSG00000067818
Myo1C	Myo1c	case_insensitive	ENSMUSG00000017774
Myo1E	Myo1e	case_insensitive	ENSMUSG00000032220
Myo1H	Myo1h	case_insensitive	ENSMUSG00000066952
Myo5C	Myo5c	case_insensitive	ENSMUSG00000033590
Myo7A	Myo7a	case_insensitive	ENSMUSG00000030761
Myo9B	Myo9b	case_insensitive	ENSMUSG00000004677
Myof	Myof	exact	ENSMUSG00000048612
Naglu	Naglu	exact	ENSMUSG00000001751
Nap1L1	Nap1l1	case_insensitive	ENSMUSG00000058799
Napa	Napa	exact	ENSMUSG00000006024
Napg	Napg	exact	ENSMUSG00000024581
Napsa	Napsa	exact	ENSMUSG00000002204
Nbea	Nbea	exact	ENSMUSG00000027799
Nbl1	Nbl1	exact	ENSMUSG00000041120
Nceh1	Nceh1	exact	ENSMUSG00000027698
Nckap1	Nckap1	exact	ENSMUSG00000027002
Ncmap	Ncmap	exact	ENSMUSG00000043924
Ncrna00085		not_found	
Ndn	Ndn	exact	ENSMUSG00000033585
Nefh	Nefh	exact	ENSMUSG00000020396
Nenf	Nenf	exact	ENSMUSG00000037499
Nes	Nes	exact	ENSMUSG00000004891
Neu1	Neu1	exact	ENSMUSG00000007038
Nfe2L3	Nfe2l3	case_insensitive	ENSMUSG00000029832
Ngfrap1		not_found	
Nicn1	Nicn1	exact	ENSMUSG00000032606
Nid1	Nid1	exact	ENSMUSG00000005397
Nipa1	Nipa1	exact	ENSMUSG00000047037
Nipal2	Nipal2	exact	ENSMUSG00000038879
Nkx2-6	Nkx2-6	exact	ENSMUSG00000044186
Nme1	Nme1	exact	ENSMUSG00000037601
Nme5	Nme5	exact	ENSMUSG00000035984
Nono	Nono	exact	ENSMUSG00000031311
Nop58	Nop58	exact	ENSMUSG00000026020
Nos2	Nos2	exact	ENSMUSG00000020826
Nos3	Nos3	exact	ENSMUSG00000028978
Notch3	Notch3	exact	ENSMUSG00000038146
Noxo1	Noxo1	exact	ENSMUSG00000019320
Nphp1	Nphp1	exact	ENSMUSG00000027378
Nphp4	Nphp4	exact	ENSMUSG00000039577
Npnt	Npnt	exact	ENSMUSG00000040998
Nr2F2	Nr2f2	case_insensitive	ENSMUSG00000030551
Nr4A1	Nr4a1	case_insensitive	ENSMUSG00000023034
Nrep	Nrep	exact	ENSMUSG00000042834
Nrip3	Nrip3	exact	ENSMUSG00000034825
Nrp1	Nrp1	exact	ENSMUSG00000025810
Nt5C2	Nt5c2	case_insensitive	ENSMUSG00000025041
Nt5E	Nt5e	case_insensitive	ENSMUSG00000032420
Ntrk2	Ntrk2	exact	ENSMUSG00000055254
Nudt18	Nudt18	exact	ENSMUSG00000045211
Nutf2	Nutf2	exact	ENSMUSG00000008450
Nxn	Nxn	exact	ENSMUSG00000020844
Nxnl2	Nxnl2	exact	ENSMUSG00000021396
Oas1F	Oas1f	case_insensitive	ENSMUSG00000053765
Oas2	Oas2	exact	ENSMUSG00000032690
Oas3	Oas3	exact	ENSMUSG00000032661
Oasl1	Oasl1	exact	ENSMUSG00000041827
Oasl2	Oasl2	exact	ENSMUSG00000029561
Oaz2	Oaz2	exact	ENSMUSG00000040652
Ogn	Ogn	exact	ENSMUSG00000021390
Olfr1318		not_found	
Omp	Omp	exact	ENSMUSG00000074006
Onecut2	Onecut2	exact	ENSMUSG00000045991
Ophn1	Ophn1	exact	ENSMUSG00000031214
Orai1	Orai1	exact	ENSMUSG00000049686
Orai3	Orai3	exact	ENSMUSG00000043964
Osbpl3	Osbpl3	exact	ENSMUSG00000029822
Osbpl5	Osbpl5	exact	ENSMUSG00000037606
Osgin1	Osgin1	exact	ENSMUSG00000074063
Osmr	Osmr	exact	ENSMUSG00000022146
Osr1	Osr1	exact	ENSMUSG00000048387
Otop3	Otop3	exact	ENSMUSG00000018862
Otub2	Otub2	exact	ENSMUSG00000021203
Otud1	Otud1	exact	ENSMUSG00000043415
Otud7B	Otud7b	case_insensitive	ENSMUSG00000038495
Oxct2B	Oxct2b	case_insensitive	ENSMUSG00000076438
Oxr1	Oxr1	exact	ENSMUSG00000022307
P2Rx2	P2rx2	case_insensitive	ENSMUSG00000029503
P2Ry2	P2ry2	case_insensitive	ENSMUSG00000032860
P2Ry6	P2ry6	case_insensitive	ENSMUSG00000048779
Pabpc1	Pabpc1	exact	ENSMUSG00000022283
Pabpn1	Pabpn1	exact	ENSMUSG00000022194
Pacrg	Pacrg	exact	ENSMUSG00000037196
Pacsin3	Pacsin3	exact	ENSMUSG00000027257
Padi2	Padi2	exact	ENSMUSG00000028927
Pak1	Pak1	exact	ENSMUSG00000030774
Pak3	Pak3	exact	ENSMUSG00000031284
Pak6	Pak6	exact	ENSMUSG00000074923
Pald1	Pald1	exact	ENSMUSG00000020092
Palld	Palld	exact	ENSMUSG00000058056
Palm	Palm	exact	ENSMUSG00000035863
Palmd	Palmd	exact	ENSMUSG00000033377
Pam	Pam	exact	ENSMUSG00000026335
Pamr1	Pamr1	exact	ENSMUSG00000027188
Paqr5	Paqr5	exact	ENSMUSG00000032278
Paqr7	Paqr7	exact	ENSMUSG00000037348
Paqr8	Paqr8	exact	ENSMUSG00000025931
Pard6B	Pard6b	case_insensitive	ENSMUSG00000044641
Parm1	Parm1	exact	ENSMUSG00000034981
Parp12	Parp12	exact	ENSMUSG00000038507
Parp14	Parp14	exact	ENSMUSG00000034422
Parp8	Parp8	exact	ENSMUSG00000021725
Parva	Parva	exact	ENSMUSG00000030770
Pax8	Pax8	exact	ENSMUSG00000026976
Pbdc1	Pbdc1	exact	ENSMUSG00000031226
Pbx1	Pbx1	exact	ENSMUSG00000052534
Pbxip1	Pbxip1	exact	ENSMUSG00000042613
Pcbp3	Pcbp3	exact	ENSMUSG00000001120
Pcgf6	Pcgf6	exact	ENSMUSG00000025050
Pcnxl4		not_found	
Pcolce	Pcolce	exact	ENSMUSG00000029718
Pcsk6	Pcsk6	exact	ENSMUSG00000030513
Pcyt1A	Pcyt1a	case_insensitive	ENSMUSG00000005615
Pcyt1B	Pcyt1b	case_insensitive	ENSMUSG00000035246
Pdgfb	Pdgfb	exact	ENSMUSG00000000489
Pdgfc	Pdgfc	exact	ENSMUSG00000028019
Pdgfra	Pdgfra	exact	ENSMUSG00000029231
Pdlim2	Pdlim2	exact	ENSMUSG00000022090
Pdlim4	Pdlim4	exact	ENSMUSG00000020388
Pdlim7	Pdlim7	exact	ENSMUSG00000021493
Pdpn	Pdpn	exact	ENSMUSG00000028583
Pdrg1	Pdrg1	exact	ENSMUSG00000027472
Pdxk	Pdxk	exact	ENSMUSG00000032788
Pdzk1Ip1	Pdzk1ip1	case_insensitive	ENSMUSG00000028716
Pdzrn3	Pdzrn3	exact	ENSMUSG00000035357
Pear1	Pear1	exact	ENSMUSG00000028073
Perp	Perp	exact	ENSMUSG00000019851
Pes1	Pes1	exact	ENSMUSG00000020430
Pex19	Pex19	exact	ENSMUSG00000003464
Pfdn2	Pfdn2	exact	ENSMUSG00000006412
Pfn2	Pfn2	exact	ENSMUSG00000027805
Pgap1	Pgap1	exact	ENSMUSG00000073678
Pglyrp1	Pglyrp1	exact	ENSMUSG00000030413
Phlda1	Phlda1	exact	ENSMUSG00000020205
Phlda2	Phlda2	exact	ENSMUSG00000010760
Phlda3	Phlda3	exact	ENSMUSG00000041801
Phldb2	Phldb2	exact	ENSMUSG00000033149
Pias3	Pias3	exact	ENSMUSG00000028101
Picalm	Picalm	exact	ENSMUSG00000039361
Piezo1	Piezo1	exact	ENSMUSG00000014444
Pifo		not_found	
Pik3C2G	Pik3c2g	case_insensitive	ENSMUSG00000030228
Pik3Ip1	Pik3ip1	case_insensitive	ENSMUSG00000034614
Pik3R3	Pik3r3	case_insensitive	ENSMUSG00000028698
Pilra	Pilra	exact	ENSMUSG00000046245
Pim1	Pim1	exact	ENSMUSG00000024014
Pip4K2A	Pip4k2a	case_insensitive	ENSMUSG00000026737
Pip4K2B	Pip4k2b	case_insensitive	ENSMUSG00000018547
Pip4K2C	Pip4k2c	case_insensitive	ENSMUSG00000025417
Pip5K1A	Pip5k1a	case_insensitive	ENSMUSG00000028126
Pir	Pir	exact	ENSMUSG00000031379
Pitpna	Pitpna	exact	ENSMUSG00000017781
Pitpnm3	Pitpnm3	exact	ENSMUSG00000040543
Pkd2	Pkd2	exact	ENSMUSG00000034462
Pkia	Pkia	exact	ENSMUSG00000027499
Pkp4	Pkp4	exact	ENSMUSG00000026991
Pla1A	Pla1a	case_insensitive	ENSMUSG00000002847
Pla2G15	Pla2g15	case_insensitive	ENSMUSG00000031903
Pla2G2A	Pla2g2a	case_insensitive	ENSMUSG00000058908
Plat	Plat	exact	ENSMUSG00000031538
Plau	Plau	exact	ENSMUSG00000021822
Plaur	Plaur	exact	ENSMUSG00000046223
Plcd3	Plcd3	exact	ENSMUSG00000020937
Pld3	Pld3	exact	ENSMUSG00000003363
Plec	Plec	exact	ENSMUSG00000022565
Plekhg3	Plekhg3	exact	ENSMUSG00000052609
Plekhh1	Plekhh1	exact	ENSMUSG00000060716
Plekhm3	Plekhm3	exact	ENSMUSG00000051344
Plekhs1	Plekhs1	exact	ENSMUSG00000035818
Plet1	Plet1	exact	ENSMUSG00000032068
Plin4	Plin4	exact	ENSMUSG00000002831
Plk2	Plk2	exact	ENSMUSG00000021701
Pllp	Pllp	exact	ENSMUSG00000031775
Plod2	Plod2	exact	ENSMUSG00000032374
Pls3	Pls3	exact	ENSMUSG00000016382
Plscr1	Plscr1	exact	ENSMUSG00000032369
Plscr2	Plscr2	exact	ENSMUSG00000032372
Plscr4	Plscr4	exact	ENSMUSG00000032377
Pltp	Pltp	exact	ENSMUSG00000017754
Plxnb2	Plxnb2	exact	ENSMUSG00000036606
Pmaip1	Pmaip1	exact	ENSMUSG00000024521
Pmepa1	Pmepa1	exact	ENSMUSG00000038400
Pmm1	Pmm1	exact	ENSMUSG00000022474
Pmp22	Pmp22	exact	ENSMUSG00000018217
Pnpt1	Pnpt1	exact	ENSMUSG00000020464
Podxl	Podxl	exact	ENSMUSG00000025608
Polr2L	Polr2l	case_insensitive	ENSMUSG00000038489
Porcn	Porcn	exact	ENSMUSG00000031169
Postn	Postn	exact	ENSMUSG00000027750
Pou6F1	Pou6f1	case_insensitive	ENSMUSG00000009739
Pparg	Pparg	exact	ENSMUSG00000000440
Ppbp	Ppbp	exact	ENSMUSG00000029372
Ppfibp1	Ppfibp1	exact	ENSMUSG00000016487
Ppfibp2	Ppfibp2	exact	ENSMUSG00000036528
Ppic	Ppic	exact	ENSMUSG00000024538
Ppl	Ppl	exact	ENSMUSG00000039457
Ppm1K	Ppm1k	case_insensitive	ENSMUSG00000037826
Ppm1M	Ppm1m	case_insensitive	ENSMUSG00000020253
Ppp1R11	Ppp1r11	case_insensitive	ENSMUSG00000036398
Ppp1R15A	Ppp1r15a	case_insensitive	ENSMUSG00000040435
Ppp1R18	Ppp1r18	case_insensitive	ENSMUSG00000034595
Ppp1R2	Ppp1r2	case_insensitive	ENSMUSG00000047714
Ppp1R3C	Ppp1r3c	case_insensitive	ENSMUSG00000067279
Ppp1R3D	Ppp1r3d	case_insensitive	ENSMUSG00000049999
Ppp1R7	Ppp1r7	case_insensitive	ENSMUSG00000026275
Ppp1R9A	Ppp1r9a	case_insensitive	ENSMUSG00000032827
Ppp2R2B	Ppp2r2b	case_insensitive	ENSMUSG00000024500
Pramef8		not_found	
Prc1	Prc1	exact	ENSMUSG00000038943
Prkaa1	Prkaa1	exact	ENSMUSG00000050697
Prkacb	Prkacb	exact	ENSMUSG00000005034
Prkar1A	Prkar1a	case_insensitive	ENSMUSG00000020612
Prkar2B	Prkar2b	case_insensitive	ENSMUSG00000002997
Prkca	Prkca	exact	ENSMUSG00000050965
Prkcdbp		not_found	
Prkch	Prkch	exact	ENSMUSG00000021108
Prkcz	Prkcz	exact	ENSMUSG00000029053
Prkd3	Prkd3	exact	ENSMUSG00000024070
Prl2C3	Prl2c3	case_insensitive	ENSMUSG00000056457
Prmt2	Prmt2	exact	ENSMUSG00000020230
Prnd	Prnd	exact	ENSMUSG00000027338
Prnp	Prnp	exact	ENSMUSG00000079037
Proc	Proc	exact	ENSMUSG00000024386
Prom1	Prom1	exact	ENSMUSG00000029086
Prps2	Prps2	exact	ENSMUSG00000025742
Prr13	Prr13	exact	ENSMUSG00000023048
Prr18	Prr18	exact	ENSMUSG00000055945
Prrg4	Prrg4	exact	ENSMUSG00000027171
Prss22	Prss22	exact	ENSMUSG00000045027
Prss23	Prss23	exact	ENSMUSG00000039405
Psapl1	Psapl1	exact	ENSMUSG00000043430
Psca	Psca	exact	ENSMUSG00000022598
Psma3	Psma3	exact	ENSMUSG00000060073
Psrc1	Psrc1	exact	ENSMUSG00000068744
Ptgs1	Ptgs1	exact	ENSMUSG00000047250
Ptgs2	Ptgs2	exact	ENSMUSG00000032487
Ptk7	Ptk7	exact	ENSMUSG00000023972
Ptp4A3	Ptp4a3	case_insensitive	ENSMUSG00000059895
Ptpdc1	Ptpdc1	exact	ENSMUSG00000038042
Ptpn14	Ptpn14	exact	ENSMUSG00000026604
Ptpn21	Ptpn21	exact	ENSMUSG00000021009
Ptprb	Ptprb	exact	ENSMUSG00000020154
Ptpre	Ptpre	exact	ENSMUSG00000041836
Ptprk	Ptprk	exact	ENSMUSG00000019889
Ptprr	Ptprr	exact	ENSMUSG00000020151
Ptprs	Ptprs	exact	ENSMUSG00000013236
Ptprt	Ptprt	exact	ENSMUSG00000053141
Ptrf		not_found	
Ptrh1	Ptrh1	exact	ENSMUSG00000053746
Pum2	Pum2	exact	ENSMUSG00000020594
Pvr	Pvr	exact	ENSMUSG00000040511
Pwwp2B	Pwwp2b	case_insensitive	ENSMUSG00000060260
Pycr2	Pycr2	exact	ENSMUSG00000026520
Pygb	Pygb	exact	ENSMUSG00000033059
Qsox1	Qsox1	exact	ENSMUSG00000033684
R3Hdm4	R3hdm4	case_insensitive	ENSMUSG00000035781
Rab11A	Rab11a	case_insensitive	ENSMUSG00000004771
Rab11Fip5	Rab11fip5	case_insensitive	ENSMUSG00000051343
Rab12	Rab12	exact	ENSMUSG00000023460
Rab15	Rab15	exact	ENSMUSG00000021062
Rab27A	Rab27a	case_insensitive	ENSMUSG00000032202
Rab27B	Rab27b	case_insensitive	ENSMUSG00000024511
Rab31	Rab31	exact	ENSMUSG00000056515
Rab32	Rab32	exact	ENSMUSG00000019832
Rab34	Rab34	exact	ENSMUSG00000002059
Rab38	Rab38	exact	ENSMUSG00000030559
Rabac1	Rabac1	exact	ENSMUSG00000003380
Rac3	Rac3	exact	ENSMUSG00000018012
Ranbp1	Ranbp1	exact	ENSMUSG00000005732
Rap1Gap	Rap1gap	case_insensitive	ENSMUSG00000041351
Rapgef2	Rapgef2	exact	ENSMUSG00000062232
Rapgef6	Rapgef6	exact	ENSMUSG00000037533
Raph1	Raph1	exact	ENSMUSG00000026014
Rarres2	Rarres2	exact	ENSMUSG00000009281
Rasgef1B	Rasgef1b	case_insensitive	ENSMUSG00000089809
Rasgrf1	Rasgrf1	exact	ENSMUSG00000032356
Rasgrp3	Rasgrp3	exact	ENSMUSG00000071042
Rasl10A	Rasl10a	case_insensitive	ENSMUSG00000034209
Rassf1	Rassf1	exact	ENSMUSG00000010067
Rassf5	Rassf5	exact	ENSMUSG00000026430
Rassf7	Rassf7	exact	ENSMUSG00000038618
Rassf8	Rassf8	exact	ENSMUSG00000030259
Rassf9	Rassf9	exact	ENSMUSG00000044921
Rbbp4	Rbbp4	exact	ENSMUSG00000057236
Rbbp9	Rbbp9	exact	ENSMUSG00000027428
Rbm25	Rbm25	exact	ENSMUSG00000010608
Rbm43	Rbm43	exact	ENSMUSG00000036249
Rbm4B	Rbm4b	case_insensitive	ENSMUSG00000033760
Rbms1	Rbms1	exact	ENSMUSG00000026970
Rbms3	Rbms3	exact	ENSMUSG00000039607
Rbmx2	Rbmx2	exact	ENSMUSG00000031107
Rbp1	Rbp1	exact	ENSMUSG00000046402
Rbpj	Rbpj	exact	ENSMUSG00000039191
Rbpms	Rbpms	exact	ENSMUSG00000031586
Rbx1	Rbx1	exact	ENSMUSG00000022400
Rcan3	Rcan3	exact	ENSMUSG00000059713
Rdh10	Rdh10	exact	ENSMUSG00000025921
Reep5	Reep5	exact	ENSMUSG00000005873
Reg3B	Reg3b	case_insensitive	ENSMUSG00000071356
Reg3G	Reg3g	case_insensitive	ENSMUSG00000030017
Reln	Reln	exact	ENSMUSG00000042453
Rem2	Rem2	exact	ENSMUSG00000022176
Retnlb	Retnlb	exact	ENSMUSG00000022650
Rfc3	Rfc3	exact	ENSMUSG00000033970
Rfx2	Rfx2	exact	ENSMUSG00000024206
Rgl1	Rgl1	exact	ENSMUSG00000026482
Rgl3	Rgl3	exact	ENSMUSG00000040146
Rgs10	Rgs10	exact	ENSMUSG00000030844
Rgs19	Rgs19	exact	ENSMUSG00000002458
Rhbdf1	Rhbdf1	exact	ENSMUSG00000020282
Rhob	Rhob	exact	ENSMUSG00000054364
Rhoc	Rhoc	exact	ENSMUSG00000002233
Rhod	Rhod	exact	ENSMUSG00000041845
Rhof	Rhof	exact	ENSMUSG00000029449
Rhoj	Rhoj	exact	ENSMUSG00000046768
Rilpl1	Rilpl1	exact	ENSMUSG00000029392
Rin1	Rin1	exact	ENSMUSG00000024883
Rin3	Rin3	exact	ENSMUSG00000044456
Ripk3	Ripk3	exact	ENSMUSG00000022221
Ripk4	Ripk4	exact	ENSMUSG00000005251
Ripply3	Ripply3	exact	ENSMUSG00000022941
Rmdn2	Rmdn2	exact	ENSMUSG00000036368
Rnd1	Rnd1	exact	ENSMUSG00000054855
Rnf11	Rnf11	exact	ENSMUSG00000028557
Rnf135	Rnf135	exact	ENSMUSG00000020707
Rnf208	Rnf208	exact	ENSMUSG00000044628
Rnf39	Rnf39	exact	ENSMUSG00000036492
Rnu3A		not_found	
Robo1	Robo1	exact	ENSMUSG00000022883
Rogdi	Rogdi	exact	ENSMUSG00000022540
Romo1	Romo1	exact	ENSMUSG00000067847
Rora	Rora	exact	ENSMUSG00000032238
Rpgrip1L	Rpgrip1l	case_insensitive	ENSMUSG00000033282
Rpl12	Rpl12	exact	ENSMUSG00000038900
Rpl13A	Rpl13a	case_insensitive	ENSMUSG00000074129
Rpl18A	Rpl18a	case_insensitive	ENSMUSG00000045128
Rpl23	Rpl23	exact	ENSMUSG00000071415
Rpl30	Rpl30	exact	ENSMUSG00000058600
Rpl31	Rpl31	exact	ENSMUSG00000073702
Rpl32	Rpl32	exact	ENSMUSG00000057841
Rpl36A	Rpl36a	case_insensitive	ENSMUSG00000079435
Rpph1	Rpph1	exact	ENSMUSG00000092837
Rps11	Rps11	exact	ENSMUSG00000003429
Rps17	Rps17	exact	ENSMUSG00000061787
Rps19	Rps19	exact	ENSMUSG00000040952
Rps24	Rps24	exact	ENSMUSG00000025290
Rps25	Rps25	exact	ENSMUSG00000009927
Rps26	Rps26	exact	ENSMUSG00000025362
Rps27L	Rps27l	case_insensitive	ENSMUSG00000036781
Rps28	Rps28	exact	ENSMUSG00000067288
Rps29	Rps29	exact	ENSMUSG00000034892
Rps4X	Rps4x	case_insensitive	ENSMUSG00000031320
Rrad	Rrad	exact	ENSMUSG00000031880
Rras	Rras	exact	ENSMUSG00000038387
Rras2	Rras2	exact	ENSMUSG00000055723
Rrm2B	Rrm2b	case_insensitive	ENSMUSG00000022292
Rsad1	Rsad1	exact	ENSMUSG00000039096
Rsad2	Rsad2	exact	ENSMUSG00000020641
Rsph1	Rsph1	exact	ENSMUSG00000024033
Rsph9	Rsph9	exact	ENSMUSG00000023966
Rtn4	Rtn4	exact	ENSMUSG00000020458
Rtp4	Rtp4	exact	ENSMUSG00000033355
Runx1	Runx1	exact	ENSMUSG00000022952
Runx2	Runx2	exact	ENSMUSG00000039153
Rusc2	Rusc2	exact	ENSMUSG00000035969
Rwdd1	Rwdd1	exact	ENSMUSG00000019782
S100A1	S100a1	case_insensitive	ENSMUSG00000044080
S100A11	S100a11	case_insensitive	ENSMUSG00000027907
S100A13	S100a13	case_insensitive	ENSMUSG00000042312
S100A14	S100a14	case_insensitive	ENSMUSG00000042306
S100A16	S100a16	case_insensitive	ENSMUSG00000074457
S100A4	S100a4	case_insensitive	ENSMUSG00000001020
S100A6	S100a6	case_insensitive	ENSMUSG00000001025
S100A7A	S100a7a	case_insensitive	ENSMUSG00000063767
S100A8	S100a8	case_insensitive	ENSMUSG00000056054
S100A9	S100a9	case_insensitive	ENSMUSG00000056071
S1Pr2	S1pr2	case_insensitive	ENSMUSG00000043895
Saa3	Saa3	exact	ENSMUSG00000040026
Sall2	Sall2	exact	ENSMUSG00000049532
Samd14	Samd14	exact	ENSMUSG00000047181
Samd5	Samd5	exact	ENSMUSG00000060487
Samd9L	Samd9l	case_insensitive	ENSMUSG00000047735
Sat2	Sat2	exact	ENSMUSG00000069835
Sbsn	Sbsn	exact	ENSMUSG00000046056
Scap	Scap	exact	ENSMUSG00000032485
Scara3	Scara3	exact	ENSMUSG00000034463
Scarna17	Scarna17	exact	ENSMUSG00000088689
Scel	Scel	exact	ENSMUSG00000022123
Scmh1	Scmh1	exact	ENSMUSG00000000085
Scx	Scx	exact	ENSMUSG00000034161
Sdc1	Sdc1	exact	ENSMUSG00000020592
Sdf2	Sdf2	exact	ENSMUSG00000002064
Sdf4	Sdf4	exact	ENSMUSG00000029076
Sdpr		not_found	
Selenbp1	Selenbp1	exact	ENSMUSG00000068874
Sema3B	Sema3b	case_insensitive	ENSMUSG00000057969
Sema3C	Sema3c	case_insensitive	ENSMUSG00000028780
Sema3F	Sema3f	case_insensitive	ENSMUSG00000034684
Sema4B	Sema4b	case_insensitive	ENSMUSG00000030539
Sema7A	Sema7a	case_insensitive	ENSMUSG00000038264
Senp2	Senp2	exact	ENSMUSG00000022855
Senp6	Senp6	exact	ENSMUSG00000034252
Sepn1		not_found	
Serinc1	Serinc1	exact	ENSMUSG00000019877
Serinc2	Serinc2	exact	ENSMUSG00000023232
Serp2	Serp2	exact	ENSMUSG00000052584
Serpina3N	Serpina3n	case_insensitive	ENSMUSG00000021091
Serpinb11	Serpinb11	exact	ENSMUSG00000026327
Serpinb5	Serpinb5	exact	ENSMUSG00000067006
Serpinb6B	Serpinb6b	case_insensitive	ENSMUSG00000042842
Serpinb9	Serpinb9	exact	ENSMUSG00000045827
Serpinb9B	Serpinb9b	case_insensitive	ENSMUSG00000021403
Serping1	Serping1	exact	ENSMUSG00000023224
Sertad4	Sertad4	exact	ENSMUSG00000016262
Sestd1	Sestd1	exact	ENSMUSG00000042272
Setbp1	Setbp1	exact	ENSMUSG00000024548
Setd6	Setd6	exact	ENSMUSG00000031671
Sez6L2	Sez6l2	case_insensitive	ENSMUSG00000030683
Sftpd	Sftpd	exact	ENSMUSG00000021795
Sfxn3	Sfxn3	exact	ENSMUSG00000025212
Sgcb	Sgcb	exact	ENSMUSG00000029156
Sgk1	Sgk1	exact	ENSMUSG00000019970
Sgk2	Sgk2	exact	ENSMUSG00000017868
Sgms1	Sgms1	exact	ENSMUSG00000040451
Sgsm1	Sgsm1	exact	ENSMUSG00000042216
Sgsm3	Sgsm3	exact	ENSMUSG00000042303
Sh3Bgrl2	Sh3bgrl2	case_insensitive	ENSMUSG00000032261
Sh3Bgrl3	Sh3bgrl3	case_insensitive	ENSMUSG00000028843
Sh3Bp5	Sh3bp5	case_insensitive	ENSMUSG00000021892
Sh3Glb1	Sh3glb1	case_insensitive	ENSMUSG00000037062
Sh3Glb2	Sh3glb2	case_insensitive	ENSMUSG00000026860
Sh3Kbp1	Sh3kbp1	case_insensitive	ENSMUSG00000040990
Sh3Pxd2A	Sh3pxd2a	case_insensitive	ENSMUSG00000053617
Sh3Pxd2B	Sh3pxd2b	case_insensitive	ENSMUSG00000040711
Sh3Tc1	Sh3tc1	case_insensitive	ENSMUSG00000036553
Sh3Tc2	Sh3tc2	case_insensitive	ENSMUSG00000045629
Shf	Shf	exact	ENSMUSG00000033256
Shisa5	Shisa5	exact	ENSMUSG00000025647
Shroom1	Shroom1	exact	ENSMUSG00000018387
Siva1	Siva1	exact	ENSMUSG00000064326
Skil	Skil	exact	ENSMUSG00000027660
Slamf9	Slamf9	exact	ENSMUSG00000026548
Slc12A4	Slc12a4	case_insensitive	ENSMUSG00000017765
Slc19A2	Slc19a2	case_insensitive	ENSMUSG00000040918
Slc22A23	Slc22a23	case_insensitive	ENSMUSG00000038267
Slc22A4	Slc22a4	case_insensitive	ENSMUSG00000020334
Slc23A3	Slc23a3	case_insensitive	ENSMUSG00000026205
Slc25A43	Slc25a43	case_insensitive	ENSMUSG00000037636
Slc25A48	Slc25a48	case_insensitive	ENSMUSG00000021509
Slc26A9	Slc26a9	case_insensitive	ENSMUSG00000042268
Slc28A2	Slc28a2	case_insensitive	ENSMUSG00000027219
Slc2A1	Slc2a1	case_insensitive	ENSMUSG00000028645
Slc35E4	Slc35e4	case_insensitive	ENSMUSG00000048807
Slc35G1	Slc35g1	case_insensitive	ENSMUSG00000044026
Slc37A3	Slc37a3	case_insensitive	ENSMUSG00000029924
Slc39A10	Slc39a10	case_insensitive	ENSMUSG00000025986
Slc39A13	Slc39a13	case_insensitive	ENSMUSG00000002105
Slc39A4	Slc39a4	case_insensitive	ENSMUSG00000063354
Slc39A6	Slc39a6	case_insensitive	ENSMUSG00000024270
Slc44A1	Slc44a1	case_insensitive	ENSMUSG00000028412
Slc44A2	Slc44a2	case_insensitive	ENSMUSG00000057193
Slc44A4	Slc44a4	case_insensitive	ENSMUSG00000007034
Slc45A3	Slc45a3	case_insensitive	ENSMUSG00000026435
Slc45A4	Slc45a4	case_insensitive	ENSMUSG00000079020
Slc48A1	Slc48a1	case_insensitive	ENSMUSG00000081534
Slc4A11	Slc4a11	case_insensitive	ENSMUSG00000074796
Slc4A3	Slc4a3	case_insensitive	ENSMUSG00000006576
Slc4A4	Slc4a4	case_insensitive	ENSMUSG00000060961
