signature	target	n_overlap	overlap_genes
REGENERATIVE_EPITHELIUM	F-lineage-Liver	0	
REGENERATIVE_EPITHELIUM	F-lineage-Skin	2	BMP5;RUNX2
REGENERATIVE_EPITHELIUM	F-lineage-Spleen	3	EYA2;LAMA4;POSTN
REGENERATIVE_EPITHELIUM	F-lineage-Stomach	1	BMP5
REGENERATIVE_EPITHELIUM	F-lineage-Thymus	5	CDH11;DDAH1;FBN1;RUNX2;SVEP1
REGENERATIVE_EPITHELIUM	F-lineage-Thyroid	0	
FETAL_INTESTINE_GENES	F-lineage-Adrenal	23	ACSM3;AGPAT4;ARHGAP29;BCL2;CDH13;EBF1;EFNA5;FRY;IL7;IRAK1BP1;LAMA3;MCC;RASGRF1;RFX2;RUNX1;SETBP1;SGSM1;SLC22A23;STXBP4;TENM4;TMTC2;WDPCP;ZFPM2
FETAL_INTESTINE_GENES	F-lineage-Liver	19	ACSBG1;CDH13;CNNM2;DLGAP1;GCNT1;IGSF1;ITGA2B;NBEA;OPHN1;PACRG;PAK3;PPP2R2B;SLC22A4;SRGAP3;STXBP4;SULT1C2;TEC;TENM4;WDPCP
FETAL_INTESTINE_GENES	F-lineage-Skin	31	ADAM32;AGPAT4;ARSB;CDH6;DLGAP1;FGGY;GCNT1;GNA14;GRAMD1B;IRAK1BP1;LRRC49;NBEA;NPHP1;PAK3;PCBP3;PPM1K;PPP2R2B;RASGRP3;RBMS3;RELN;RMDN2;RPGRIP1L;SLC25A48;SMAD6;SPSB4;STXBP4;TBC1D19;TMEM108;UNC5C;WDPCP;ZFPM2
FETAL_INTESTINE_GENES	F-lineage-Spleen	44	ACSM3;AHI1;ANKRD1;ANKRD50;ARHGAP44;BICC1;CDH13;CMTM8;CNNM2;DLGAP1;DYNC2H1;EML1;EVC;EVC2;FGGY;FLNC;FLRT2;GARNL3;GNAI1;GRAMD1B;KCTD1;LAMA3;MAP1B;NBEA;OPHN1;PACRG;PAK3;PDZRN3;PIK3C2G;PKIA;PPP2R2B;RELN;RFX2;SMAD6;SRGAP3;STXBP4;TBC1D19;TENM4;THSD4;TMEM108;TMTC2;WDPCP;WWC1;ZFPM2
FETAL_INTESTINE_GENES	F-lineage-Stomach	22	CDH13;CDH6;CNNM2;DLGAP1;FLRT2;IRAK1BP1;OPHN1;PACRG;PPP2R2B;PTPRR;RELN;RPGRIP1L;SCEL;SGSM1;SRGAP3;STXBP4;TENM4;TMEM108;TSHZ2;UNC5C;WDPCP;ZFP30
FETAL_INTESTINE_GENES	F-lineage-Thymus	96	ABCC4;ACACB;ACSM3;AGPAT4;AHI1;ANKRD1;ANKRD50;ARHGAP22;ARHGAP29;ARHGEF28;ARSB;BACE2;BAIAP2L1;BICC1;CCDC92;CDH13;CELSR1;CGNL1;CHIC1;CNNM2;COL4A5;CPNE8;CTTNBP2NL;DDAH1;DISP1;DLG5;DLGAP1;DYNC2H1;EBF1;EFNA5;ERMP1;EVA1C;EVC;EVC2;FAM20C;FARP1;FGGY;FLNC;FLRT2;FRY;GARNL3;GCNT1;GNA14;GNAI1;HIF3A;HLCS;IRAK1BP1;LRP6;MANBA;MAP1B;MBOAT2;MYO5C;NTRK2;OPHN1;PACRG;PAK3;PALD1;PARVA;PDGFC;PDZRN3;PLEKHM3;PPP2R2B;PRKCA;PTPN14;PTPRB;PTPRS;RASGRP3;RELN;RFX2;RHOJ;RILPL1;RORA;SESTD1;SETBP1;SH3PXD2B;SLC45A4;SLCO3A1;SPATA6;SPIRE1;SRGAP3;STXBP4;SUSD4;TEC;TENM4;THSD4;TMEM108;TMTC2;TPST1;TSHZ2;UGGT2;UNC5C;WDPCP;WWC2;ZBTB7C;ZC2HC1A;ZFPM2
FETAL_INTESTINE_GENES	F-lineage-Thyroid	11	ACSM3;DLGAP1;GRAMD1B;IRAK1BP1;PACRG;PPP2R2B;RPGRIP1L;STXBP4;TMEM108;TNNI2;WDPCP
