cohort	n_cells_in_cohort	result	category	pooled_n	pooled_frac	n_donors	donor_unweighted_mean_frac	donor_unweighted_sd_frac	n_studies	study_unweighted_mean_frac	study_unweighted_sd_frac
primary27_minus_CLU_ASS1_top5pct	33274	step0_axis_supported_status	D+F	1757	0.052803991104165414	391	0.03805493097769771	0.07521189074932723	36	0.04007522748381912	0.05069535196244584
primary27_minus_CLU_ASS1_top5pct	33274	step0_axis_supported_status	D+F+P	208	0.006251127006070806	391	0.003960830780044196	0.018043379010552953	36	0.003551114040916877	0.006636333958961461
primary27_minus_CLU_ASS1_top5pct	33274	step0_axis_supported_status	D+P	92	0.002764921560377472	391	0.003243711466113126	0.029355496244415226	36	0.003603786427408967	0.00852777991296911
primary27_minus_CLU_ASS1_top5pct	33274	step0_axis_supported_status	D_only	914	0.027468894632445753	391	0.023789744962998575	0.08356529418514062	36	0.021779431179475086	0.03644273817050494
primary27_minus_CLU_ASS1_top5pct	33274	step0_axis_supported_status	F+P	1421	0.04270601670974334	391	0.03503494617789697	0.0882222047903525	36	0.031209210331215757	0.038083448829751926
primary27_minus_CLU_ASS1_top5pct	33274	step0_axis_supported_status	F_only	13732	0.4126945963815592	391	0.343794205559832	0.3017168820465197	36	0.36932036345463076	0.28315617812048377
primary27_minus_CLU_ASS1_top5pct	33274	step0_axis_supported_status	P_only	1323	0.0397607741780369	391	0.042669427147921164	0.10045798405005137	36	0.05425384825458278	0.08457373090154312
primary27_minus_CLU_ASS1_top5pct	33274	step0_axis_supported_status	none	13827	0.41554967842760115	391	0.5094522029274964	0.33629074292841277	36	0.39287368549461726	0.2947544263790546
primary27_minus_CLU_ASS1_top5pct	33274	stepA_coarse_argmax_DESCRIPTIVE_ONLY	D	5953	0.17890845705355532	391	0.1901427751340927	0.21927892911063995	36	0.16415920903871561	0.16053772635272925
primary27_minus_CLU_ASS1_top5pct	33274	stepA_coarse_argmax_DESCRIPTIVE_ONLY	F	23270	0.6993448338041715	391	0.663527025852112	0.2873251106710534	36	0.6303920517481422	0.3042029317869729
primary27_minus_CLU_ASS1_top5pct	33274	stepA_coarse_argmax_DESCRIPTIVE_ONLY	P	4051	0.12174670914227324	391	0.14633019901379526	0.20502166920382375	36	0.12211540587980882	0.14278308247560106
primary27_minus_CLU_ASS1_top5pct	33274	stepA_prime_predominant_among_supported	D	989	0.02972290677405782	391	0.0251684317338651	0.08435089378540246	36	0.02393127935884557	0.03877082614695068
primary27_minus_CLU_ASS1_top5pct	33274	stepA_prime_predominant_among_supported	F	14703	0.4418765402416301	391	0.3641342156376778	0.3149320400783347	36	0.3894857608752385	0.29425251461793084
primary27_minus_CLU_ASS1_top5pct	33274	stepA_prime_predominant_among_supported	P	1377	0.041383662919997594	391	0.04534369356403552	0.10644759841554684	36	0.05559106136205602	0.08606803914340978
primary27_minus_CLU_ASS1_top5pct	33274	stepA_prime_predominant_among_supported	no_clear_predominance	2378	0.07146721163671335	391	0.05590145613692525	0.10378928629699934	36	0.05478487957590928	0.05265233958393246
primary27_minus_CLU_ASS1_top5pct	33274	stepA_prime_predominant_among_supported	not_applicable_none_supported	13827	0.41554967842760115	391	0.5094522029274964	0.33629074292841277	36	0.39287368549461726	0.2947544263790546
primary27_minus_CLU_ASS1_top5pct	33274	stepB_regional_refinement_within_F_assigned	Colon_biased	1654	0.04970848109635151	391	0.04568044108769501	0.08327888451656676	36	0.04272120276376152	0.050721920276510866
primary27_minus_CLU_ASS1_top5pct	33274	stepB_regional_refinement_within_F_assigned	SI_biased	4270	0.12832842459578048	391	0.1027487245180075	0.15560767255316377	36	0.10049408632065782	0.1094733737169386
primary27_minus_CLU_ASS1_top5pct	33274	stepB_regional_refinement_within_F_assigned	no_clear_regional_skew	11194	0.33641882550940677	391	0.27241574788976836	0.29118264880077277	36	0.3009406262261632	0.27262914151911233
primary27_minus_CLU_ASS1_top5pct	33274	stepB_regional_refinement_within_F_assigned	not_applicable_not_F_assigned	16156	0.48554426879846124	391	0.5791550865045292	0.3427933095717808	36	0.47251075135608417	0.3250235123346102
