cohort	n_cells_in_cohort	result	category	pooled_n	pooled_frac	n_donors	donor_unweighted_mean_frac	donor_unweighted_sd_frac	n_studies	study_unweighted_mean_frac	study_unweighted_sd_frac
primary27_minus_CLU_ASS1_top20pct	133095	step0_axis_supported_status	D+F	6908	0.05190277621247981	465	0.03964223435128227	0.06530899194638476	36	0.052737075090720155	0.06868986879704071
primary27_minus_CLU_ASS1_top20pct	133095	step0_axis_supported_status	D+F+P	740	0.005559938389871896	465	0.0037845118747307453	0.015320814280315594	36	0.0033507101576165945	0.005335811360613112
primary27_minus_CLU_ASS1_top20pct	133095	step0_axis_supported_status	D+P	224	0.001683008377474736	465	0.003218196344097053	0.019018862165423516	36	0.0018775868825132752	0.0036521393670531093
primary27_minus_CLU_ASS1_top20pct	133095	step0_axis_supported_status	D_only	2425	0.018220068372215334	465	0.019086636506802958	0.04303614870937687	36	0.015952087932608446	0.017493352010246162
primary27_minus_CLU_ASS1_top20pct	133095	step0_axis_supported_status	F+P	5930	0.044554641421541	465	0.03714636300912042	0.06263538999201292	36	0.04355328630364471	0.056710341490072466
primary27_minus_CLU_ASS1_top20pct	133095	step0_axis_supported_status	F_only	58019	0.4359217100567264	465	0.37917235766638957	0.28598163060651455	36	0.43476680633216397	0.2576823821245765
primary27_minus_CLU_ASS1_top20pct	133095	step0_axis_supported_status	P_only	4188	0.0314662459145723	465	0.0469960886259952	0.10403442065323447	36	0.03745337486984988	0.0594963360455131
primary27_minus_CLU_ASS1_top20pct	133095	step0_axis_supported_status	none	54661	0.41069161125511855	465	0.4709536116215817	0.31273388723205336	36	0.38253129465310526	0.2659812781749222
primary27_minus_CLU_ASS1_top20pct	133095	stepA_coarse_argmax_DESCRIPTIVE_ONLY	D	21181	0.15914196626469815	465	0.16789438847198457	0.17182142292570615	36	0.14204853253738192	0.11840369441000989
primary27_minus_CLU_ASS1_top20pct	133095	stepA_coarse_argmax_DESCRIPTIVE_ONLY	F	97539	0.732852473796912	465	0.6858609531012504	0.267451647220168	36	0.7232603793990621	0.24700837109075646
primary27_minus_CLU_ASS1_top20pct	133095	stepA_coarse_argmax_DESCRIPTIVE_ONLY	P	14375	0.10800555993838987	465	0.1462446584267651	0.18890353788240843	36	0.10691331028577825	0.12976302302876774
primary27_minus_CLU_ASS1_top20pct	133095	stepA_prime_predominant_among_supported	D	2605	0.01957248581840039	465	0.020322156770390735	0.04405394751263629	36	0.01685672104102225	0.01838323420452408
primary27_minus_CLU_ASS1_top20pct	133095	stepA_prime_predominant_among_supported	F	62116	0.46670423381794957	465	0.40315112429871613	0.30440090267637954	36	0.47111090066641764	0.2739735186400342
primary27_minus_CLU_ASS1_top20pct	133095	stepA_prime_predominant_among_supported	P	4352	0.032698448476652014	465	0.04911461385346902	0.10794483003105189	36	0.03907552442870994	0.06154256602089331
primary27_minus_CLU_ASS1_top20pct	133095	stepA_prime_predominant_among_supported	no_clear_predominance	9361	0.07033322063187948	465	0.056458493455842425	0.07322578154778468	36	0.06264778143296718	0.058183888035764256
primary27_minus_CLU_ASS1_top20pct	133095	stepA_prime_predominant_among_supported	not_applicable_none_supported	54661	0.41069161125511855	465	0.4709536116215817	0.31273388723205336	36	0.38253129465310526	0.2659812781749222
primary27_minus_CLU_ASS1_top20pct	133095	stepB_regional_refinement_within_F_assigned	Colon_biased	6057	0.045508847064127125	465	0.04914617255203449	0.08331088505146846	36	0.058080903602024364	0.0608314533008731
primary27_minus_CLU_ASS1_top20pct	133095	stepB_regional_refinement_within_F_assigned	SI_biased	21570	0.16206469063450918	465	0.12303771387276943	0.13984941165611	36	0.12410115820144542	0.1193723064229087
primary27_minus_CLU_ASS1_top20pct	133095	stepB_regional_refinement_within_F_assigned	no_clear_regional_skew	43970	0.3303655283819828	465	0.2875615804767191	0.28264037238071565	36	0.35222581608067566	0.2656862077225687
primary27_minus_CLU_ASS1_top20pct	133095	stepB_regional_refinement_within_F_assigned	not_applicable_not_F_assigned	61498	0.4620609339193809	465	0.5402545330984769	0.3355967083347749	36	0.43781434433807687	0.29066242034211376
