	A26 (386C)	A30 (398B)	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
BRINP1	6.0	1.0	1.0	6.0	3.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0
AC006288.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL441989.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDK5RAP2	361.0	209.0	467.0	967.0	458.0	566.0	120.0	79.0	50.0	65.0	327.0	114.0
MEGF9	201.0	54.0	206.0	400.0	242.0	282.0	72.0	44.0	8.0	34.0	118.0	77.0
FBXW2	475.0	333.0	648.0	722.0	893.0	872.0	151.0	118.0	74.0	76.0	396.0	180.0
B3GNT10	36.0	3.0	28.0	61.0	31.0	49.0	5.0	2.0	0.0	1.0	19.0	11.0
PSMD5	308.0	126.0	371.0	798.0	558.0	536.0	99.0	101.0	50.0	35.0	421.0	94.0
PHF19	111.0	78.0	207.0	309.0	237.0	304.0	32.0	80.0	57.0	53.0	361.0	110.0
TRAF1	21.0	9.0	22.0	38.0	42.0	21.0	13.0	3.0	3.0	4.0	18.0	15.0
C5	9.0	8.0	17.0	41.0	9.0	10.0	1.0	4.0	6.0	3.0	27.0	86.0
CNTRL	178.0	71.0	270.0	363.0	146.0	189.0	44.0	32.0	32.0	33.0	146.0	85.0
RAB14	2409.0	1017.0	2041.0	2826.0	2797.0	3821.0	950.0	414.0	303.0	273.0	1892.0	497.0
GSN	25140.0	8959.0	1234.0	2835.0	4172.0	8396.0	2476.0	248.0	98.0	215.0	2301.0	195.0
AL513122.2	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
GSN-AS1	47.0	4.0	11.0	21.0	45.0	22.0	13.0	5.0	0.0	3.0	0.0	0.0
STOM	750.0	78.0	14.0	820.0	240.0	375.0	416.0	266.0	135.0	224.0	521.0	169.0
AL359644.1	0.0	0.0	0.0	25.0	2.0	0.0	1.0	1.0	0.0	3.0	4.0	7.0
DAB2IP	1012.0	434.0	677.0	479.0	1198.0	1187.0	209.0	116.0	24.0	43.0	128.0	67.0
AL357936.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL11	60.0	27.0	51.0	60.0	56.0	58.0	11.0	9.0	1.0	5.0	54.0	2.0
TTLL11-IT1	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
NDUFA8	1894.0	2443.0	2723.0	4307.0	2722.0	5202.0	963.0	810.0	563.0	340.0	3700.0	525.0
MORN5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	5.0	0.0
LHX6	5.0	0.0	2.0	24.0	0.0	2.0	1.0	5.0	2.0	0.0	7.0	0.0
RBM18	427.0	231.0	373.0	678.0	488.0	671.0	189.0	128.0	102.0	66.0	538.0	87.0
MRRF	855.0	577.0	1018.0	1235.0	1171.0	1752.0	371.0	181.0	138.0	110.0	982.0	311.0
PTGS1	576.0	62.0	132.0	28.0	75.0	95.0	75.0	2.0	1.0	1.0	7.0	4.0
AL359636.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL359636.1	16.0	0.0	0.0	22.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL359636.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
