	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
MIR1302-2HG	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
FAM138A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.1	2.0	0.0	6.0	2.0	3.0	3.0	0.0	7.0	1.0	2.0
AL627309.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AL627309.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL732372.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114498.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL669831.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL669831.5	188.0	1.0	142.0	20.0	73.0	90.0	18.0	108.0	70.0	48.0
FAM87B	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
LINC00115	190.0	0.0	142.0	21.0	61.0	215.0	64.0	740.0	312.0	154.0
FAM41C	2.0	0.0	22.0	4.0	1.0	129.0	10.0	19.0	23.0	1.0
AL645608.7	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0
AL645608.3	0.0	0.0	0.0	0.0	0.0	19.0	1.0	8.0	4.0	5.0
AL645608.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AL645608.1	1.0	0.0	1.0	0.0	1.0	4.0	1.0	6.0	10.0	7.0
SAMD11	4.0	0.0	1.0	0.0	6.0	118.0	7.0	52.0	92.0	33.0
NOC2L	1313.0	6.0	1375.0	103.0	262.0	1557.0	235.0	2936.0	1704.0	844.0
KLHL17	51.0	0.0	135.0	6.0	29.0	15.0	1.0	76.0	29.0	7.0
PLEKHN1	14.0	0.0	29.0	0.0	6.0	9.0	0.0	32.0	6.0	3.0
PERM1	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
AL645608.8	15.0	0.0	32.0	1.0	29.0	4.0	0.0	18.0	1.0	2.0
HES4	312.0	3.0	1256.0	100.0	193.0	12.0	4.0	1301.0	366.0	65.0
ISG15	413.0	8.0	1020.0	169.0	1278.0	1324.0	159.0	2361.0	1190.0	233.0
AL645608.2	1.0	0.0	1.0	0.0	3.0	3.0	0.0	6.0	1.0	5.0
AGRN	439.0	0.0	575.0	34.0	211.0	863.0	155.0	2546.0	1016.0	667.0
AL645608.9	2.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0
RNF223	25.0	0.0	18.0	1.0	139.0	17.0	0.0	166.0	9.0	29.0
C1orf159	174.0	0.0	270.0	27.0	65.0	152.0	27.0	314.0	214.0	94.0
LINC01342	15.0	0.0	22.0	0.0	4.0	4.0	2.0	10.0	1.0	1.0
AL390719.2	337.0	5.0	974.0	59.0	68.0	97.0	29.0	229.0	97.0	126.0
TTLL10-AS1	2.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0
TTLL10	86.0	0.0	13.0	0.0	25.0	24.0	1.0	37.0	5.0	9.0
TNFRSF18	5.0	0.0	16.0	0.0	4.0	2.0	0.0	0.0	5.0	1.0
TNFRSF4	14.0	2.0	6.0	0.0	0.0	15.0	8.0	9.0	6.0	1.0
SDF4	4470.0	35.0	5527.0	647.0	2030.0	927.0	124.0	10966.0	6126.0	2922.0
B3GALT6	225.0	2.0	311.0	13.0	20.0	138.0	19.0	894.0	533.0	80.0
C1QTNF12	315.0	2.0	1050.0	221.0	883.0	2388.0	359.0	5631.0	2800.0	1045.0
AL162741.1	6.0	0.0	2.0	0.0	2.0	1.0	0.0	11.0	0.0	2.0
UBE2J2	1214.0	6.0	1361.0	163.0	452.0	1035.0	131.0	2583.0	1171.0	627.0
LINC01786	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	2.0
SCNN1D	98.0	0.0	122.0	17.0	130.0	75.0	4.0	208.0	87.0	58.0
ACAP3	628.0	6.0	1076.0	87.0	273.0	281.0	44.0	904.0	616.0	239.0
PUSL1	423.0	2.0	515.0	41.0	91.0	738.0	109.0	1447.0	814.0	238.0
INTS11	1725.0	10.0	2270.0	314.0	785.0	1737.0	215.0	4207.0	2320.0	1124.0
CPTP	631.0	10.0	1055.0	200.0	543.0	564.0	44.0	950.0	508.0	220.0
TAS1R3	4.0	0.0	7.0	1.0	9.0	6.0	1.0	7.0	10.0	7.0
DVL1	553.0	3.0	1763.0	123.0	286.0	275.0	38.0	1373.0	439.0	187.0
MXRA8	17.0	0.0	0.0	1.0	1.0	2796.0	403.0	13941.0	6387.0	1991.0
AURKAIP1	7004.0	27.0	8867.0	925.0	2771.0	8478.0	1223.0	15374.0	10813.0	2683.0
CCNL2	2355.0	14.0	3583.0	452.0	796.0	1239.0	337.0	3955.0	2005.0	798.0
MRPL20	6619.0	28.0	5461.0	649.0	728.0	5749.0	839.0	10322.0	7357.0	2180.0
AL391244.3	50.0	1.0	44.0	10.0	17.0	26.0	8.0	42.0	12.0	22.0
ANKRD65	1.0	0.0	0.0	0.0	1.0	25.0	3.0	38.0	33.0	5.0
AL391244.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0
TMEM88B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01770	2.0	0.0	2.0	0.0	0.0	54.0	4.0	75.0	103.0	24.0
VWA1	39.0	2.0	94.0	0.0	9.0	465.0	114.0	3910.0	2966.0	213.0
ATAD3C	8.0	0.0	5.0	1.0	8.0	40.0	6.0	83.0	28.0	7.0
ATAD3B	608.0	4.0	1187.0	70.0	148.0	216.0	9.0	563.0	238.0	157.0
ATAD3A	696.0	5.0	680.0	68.0	126.0	252.0	28.0	679.0	549.0	157.0
TMEM240	10.0	0.0	16.0	1.0	5.0	6.0	0.0	4.0	3.0	1.0
SSU72	4766.0	28.0	5376.0	602.0	828.0	1728.0	270.0	6040.0	4662.0	1315.0
AL645728.1	160.0	1.0	64.0	20.0	116.0	118.0	6.0	261.0	23.0	63.0
FNDC10	50.0	0.0	46.0	4.0	18.0	5.0	2.0	12.0	12.0	2.0
AL691432.2	271.0	3.0	173.0	15.0	31.0	228.0	36.0	706.0	306.0	192.0
MIB2	893.0	3.0	1577.0	138.0	622.0	175.0	39.0	998.0	465.0	252.0
MMP23B	109.0	0.0	26.0	9.0	20.0	84.0	9.0	226.0	193.0	20.0
CDK11B	2235.0	37.0	1456.0	204.0	549.0	831.0	167.0	844.0	563.0	423.0
FO704657.1	13.0	0.0	12.0	1.0	4.0	21.0	1.0	17.0	14.0	5.0
SLC35E2B	1160.0	1.0	529.0	133.0	345.0	204.0	61.0	673.0	273.0	134.0
CDK11A	1770.0	25.0	1515.0	251.0	789.0	537.0	50.0	888.0	384.0	223.0
SLC35E2A	383.0	4.0	204.0	28.0	129.0	93.0	11.0	210.0	124.0	221.0
NADK	1152.0	13.0	1662.0	157.0	359.0	571.0	64.0	1267.0	716.0	294.0
GNB1	4525.0	31.0	4524.0	510.0	1089.0	2038.0	372.0	6719.0	3682.0	992.0
AL109917.1	12.0	0.0	46.0	1.0	12.0	63.0	6.0	237.0	30.0	39.0
CALML6	3.0	0.0	4.0	0.0	1.0	5.0	3.0	24.0	6.0	7.0
TMEM52	149.0	2.0	239.0	26.0	159.0	969.0	105.0	2024.0	1281.0	508.0
CFAP74	8.0	0.0	28.0	4.0	9.0	32.0	3.0	118.0	69.0	33.0
AL391845.2	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0
GABRD	4.0	1.0	4.0	1.0	0.0	13.0	1.0	7.0	3.0	0.0
AL391845.1	9.0	0.0	9.0	3.0	7.0	13.0	0.0	63.0	10.0	16.0
PRKCZ	1523.0	11.0	1999.0	285.0	1159.0	1051.0	205.0	3878.0	2686.0	859.0
AL590822.2	15.0	0.0	14.0	0.0	0.0	57.0	8.0	21.0	15.0	5.0
PRKCZ-AS1	7.0	0.0	4.0	0.0	4.0	12.0	0.0	14.0	7.0	0.0
FAAP20	1558.0	6.0	1533.0	86.0	492.0	2839.0	611.0	5589.0	3621.0	1386.0
AL590822.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
SKI	526.0	2.0	495.0	38.0	116.0	385.0	81.0	1280.0	615.0	292.0
MORN1	120.0	0.0	87.0	13.0	38.0	137.0	21.0	227.0	177.0	84.0
RER1	5503.0	23.0	4653.0	556.0	1121.0	4891.0	572.0	6988.0	5567.0	2301.0
PEX10	736.0	3.0	309.0	39.0	122.0	709.0	64.0	1348.0	776.0	476.0
PLCH2	32.0	3.0	31.0	1.0	87.0	40.0	10.0	159.0	75.0	36.0
AL139246.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL139246.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANK4	126.0	6.0	362.0	44.0	96.0	233.0	46.0	966.0	423.0	144.0
HES5	10.0	0.0	45.0	0.0	46.0	3.0	1.0	54.0	25.0	4.0
AL139246.5	110.0	2.0	159.0	7.0	184.0	92.0	9.0	438.0	84.0	50.0
TNFRSF14-AS1	1307.0	7.0	1289.0	179.0	733.0	1017.0	229.0	5400.0	772.0	726.0
TNFRSF14	4096.0	26.0	4885.0	672.0	2033.0	4666.0	586.0	18223.0	6846.0	2829.0
AL139246.3	10.0	0.0	16.0	3.0	5.0	37.0	4.0	108.0	21.0	16.0
FAM213B	1639.0	5.0	1306.0	135.0	335.0	1907.0	205.0	7396.0	2120.0	1068.0
MMEL1	313.0	3.0	416.0	53.0	155.0	188.0	18.0	811.0	385.0	144.0
AL831784.1	2.0	0.0	2.0	2.0	2.0	1442.0	662.0	9485.0	6327.0	1531.0
TTC34	76.0	0.0	19.0	8.0	1.0	63.0	5.0	130.0	29.0	67.0
AC242022.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL592464.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL592464.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL589702.1	1.0	0.0	0.0	0.0	1.0	9.0	1.0	1.0	3.0	1.0
ACTRT2	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0
LINC00982	40.0	1.0	540.0	72.0	164.0	202.0	40.0	216.0	182.0	104.0
PRDM16	82.0	0.0	614.0	93.0	243.0	581.0	60.0	1114.0	406.0	279.0
AL008733.1	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	1.0
AL590438.1	17.0	0.0	14.0	0.0	3.0	11.0	1.0	13.0	14.0	2.0
ARHGEF16	977.0	7.0	2214.0	300.0	740.0	546.0	77.0	2070.0	839.0	383.0
AL512413.1	25.0	0.0	13.0	3.0	3.0	13.0	1.0	27.0	13.0	3.0
MEGF6	52.0	0.0	23.0	2.0	18.0	16.0	6.0	87.0	28.0	14.0
AL513320.1	23.0	0.0	8.0	3.0	7.0	21.0	5.0	10.0	10.0	10.0
TPRG1L	1168.0	13.0	1022.0	164.0	339.0	622.0	105.0	2169.0	1129.0	383.0
WRAP73	574.0	3.0	874.0	93.0	186.0	433.0	75.0	789.0	680.0	252.0
TP73	5.0	0.0	3.0	0.0	0.0	5.0	2.0	10.0	8.0	3.0
AL136528.1	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
AL136528.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC27	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0
SMIM1	43.0	0.0	100.0	4.0	27.0	3125.0	889.0	9588.0	5084.0	1378.0
LRRC47	1150.0	2.0	788.0	94.0	234.0	381.0	93.0	2019.0	1204.0	542.0
AL365330.1	1.0	0.0	0.0	0.0	0.0	8.0	0.0	13.0	9.0	0.0
CEP104	580.0	4.0	660.0	114.0	253.0	314.0	62.0	1339.0	409.0	239.0
DFFB	166.0	3.0	195.0	40.0	66.0	150.0	19.0	234.0	169.0	69.0
C1orf174	726.0	4.0	525.0	88.0	146.0	946.0	162.0	1607.0	961.0	386.0
LINC01134	33.0	0.0	53.0	17.0	33.0	87.0	1.0	57.0	57.0	32.0
LINC01346	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL805961.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL805961.2	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0
LINC01777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL355602.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z98747.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJAP1	2.0	0.0	0.0	0.0	0.0	2.0	1.0	10.0	0.0	0.0
BX005132.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BX005132.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL691497.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL139823.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z98259.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z98259.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z98259.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL365255.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPHP4	123.0	1.0	104.0	10.0	31.0	67.0	9.0	309.0	160.0	47.0
KCNAB2	17.0	0.0	8.0	0.0	2.0	210.0	29.0	1380.0	310.0	147.0
CHD5	0.0	0.0	2.0	0.0	0.0	5.0	0.0	3.0	4.0	3.0
RPL22	63203.0	234.0	60666.0	4545.0	10301.0	69730.0	16910.0	175576.0	128131.0	29002.0
AL031847.1	14.0	0.0	8.0	0.0	3.0	35.0	4.0	16.0	7.0	4.0
RNF207	388.0	2.0	327.0	37.0	125.0	257.0	47.0	444.0	265.0	112.0
ICMT	1306.0	5.0	1172.0	163.0	249.0	377.0	47.0	1031.0	799.0	371.0
LINC00337	15.0	0.0	4.0	0.0	6.0	21.0	1.0	19.0	9.0	2.0
HES3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR153	321.0	2.0	200.0	63.0	27.0	99.0	10.0	300.0	88.0	76.0
ACOT7	1115.0	9.0	1390.0	211.0	811.0	642.0	102.0	1027.0	1001.0	316.0
AL031848.2	80.0	0.0	16.0	0.0	60.0	24.0	3.0	129.0	10.0	18.0
HES2	156.0	1.0	96.0	7.0	73.0	20.0	1.0	45.0	29.0	16.0
ESPN	1769.0	12.0	2673.0	567.0	2162.0	3909.0	514.0	15097.0	9601.0	3301.0
AL031848.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
TNFRSF25	573.0	3.0	592.0	79.0	283.0	319.0	65.0	1118.0	579.0	406.0
PLEKHG5	99.0	1.0	98.0	21.0	42.0	105.0	11.0	208.0	147.0	61.0
NOL9	836.0	4.0	400.0	70.0	105.0	282.0	25.0	695.0	357.0	249.0
TAS1R1	1.0	0.0	1.0	1.0	4.0	0.0	0.0	1.0	1.0	0.0
ZBTB48	488.0	0.0	504.0	69.0	320.0	338.0	55.0	1347.0	699.0	327.0
KLHL21	136.0	0.0	104.0	20.0	160.0	72.0	10.0	351.0	84.0	47.0
PHF13	170.0	0.0	232.0	19.0	82.0	167.0	31.0	714.0	213.0	96.0
THAP3	255.0	3.0	312.0	50.0	167.0	468.0	116.0	1364.0	977.0	216.0
DNAJC11	1248.0	6.0	1024.0	152.0	291.0	519.0	82.0	1356.0	904.0	380.0
LINC01672	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AL591163.1	1.0	0.0	0.0	0.0	2.0	5.0	0.0	1.0	0.0	1.0
CAMTA1-DT	35.0	0.0	24.0	1.0	20.0	9.0	3.0	126.0	20.0	11.0
CAMTA1	5170.0	17.0	5860.0	550.0	1071.0	4136.0	925.0	10497.0	7466.0	1776.0
AL512330.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z97987.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL365194.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL359881.3	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0
AL359881.2	4.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	0.0
AL359881.1	3.0	0.0	2.0	0.0	1.0	4.0	0.0	0.0	1.0	1.0
VAMP3	1644.0	4.0	1781.0	195.0	454.0	2043.0	336.0	3406.0	2347.0	891.0
PER3	306.0	1.0	698.0	5.0	484.0	97.0	8.0	127.0	46.0	49.0
Z98884.1	14.0	0.0	3.0	0.0	2.0	13.0	0.0	5.0	8.0	14.0
UTS2	121.0	0.0	3.0	0.0	1.0	2.0	0.0	2.0	6.0	1.0
TNFRSF9	3.0	0.0	1.0	0.0	2.0	4.0	1.0	2.0	2.0	0.0
PARK7	8628.0	25.0	5347.0	745.0	1252.0	9096.0	1345.0	16332.0	12197.0	3822.0
AL034417.4	7.0	0.0	13.0	3.0	5.0	16.0	1.0	13.0	10.0	2.0
AL034417.3	26.0	0.0	14.0	1.0	6.0	22.0	1.0	14.0	2.0	2.0
ERRFI1	495.0	33.0	2968.0	144.0	615.0	842.0	71.0	2145.0	342.0	193.0
AL034417.2	18.0	0.0	27.0	3.0	72.0	24.0	0.0	29.0	10.0	9.0
LINC01714	0.0	0.0	1.0	0.0	1.0	2.0	0.0	12.0	1.0	1.0
AL358876.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC45A1	4.0	0.0	6.0	0.0	3.0	9.0	2.0	21.0	15.0	2.0
RERE	1836.0	13.0	1260.0	249.0	591.0	784.0	180.0	4120.0	1706.0	823.0
AL096855.1	11.0	0.0	1.0	2.0	5.0	3.0	2.0	3.0	1.0	1.0
AL357552.2	7.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0
ENO1	14154.0	68.0	12435.0	1920.0	3372.0	31315.0	3917.0	54335.0	20665.0	8893.0
ENO1-AS1	77.0	0.0	32.0	0.0	30.0	51.0	4.0	70.0	19.0	67.0
CA6	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A7	8.0	0.0	14.0	17.0	44.0	37.0	2.0	131.0	111.0	43.0
SLC2A5	1518.0	23.0	6410.0	1278.0	877.0	1081.0	124.0	2484.0	1863.0	639.0
GPR157	197.0	5.0	242.0	19.0	139.0	318.0	75.0	2471.0	813.0	202.0
MIR34AHG	73.0	0.0	95.0	2.0	15.0	2.0	1.0	30.0	11.0	15.0
LINC01759	42.0	0.0	14.0	2.0	1.0	7.0	0.0	8.0	11.0	7.0
H6PD	1165.0	1.0	556.0	86.0	93.0	285.0	48.0	1007.0	443.0	288.0
SPSB1	708.0	5.0	793.0	240.0	365.0	211.0	36.0	1637.0	583.0	136.0
BX323043.1	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0
AL928921.2	2.0	0.0	4.0	3.0	3.0	3.0	1.0	2.0	2.0	3.0
AL928921.1	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SLC25A33	730.0	3.0	618.0	43.0	342.0	182.0	34.0	3135.0	897.0	240.0
TMEM201	154.0	1.0	97.0	7.0	19.0	120.0	5.0	249.0	139.0	43.0
PIK3CD	11.0	0.0	18.0	0.0	5.0	111.0	33.0	903.0	352.0	87.0
PIK3CD-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
PIK3CD-AS2	16.0	0.0	10.0	0.0	2.0	522.0	178.0	1944.0	1481.0	195.0
CLSTN1	1688.0	5.0	1814.0	179.0	330.0	472.0	111.0	1788.0	981.0	400.0
CTNNBIP1	1363.0	11.0	1395.0	135.0	287.0	106.0	32.0	1212.0	994.0	297.0
AL357140.1	3.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0
LZIC	1676.0	16.0	1118.0	244.0	376.0	1168.0	223.0	2853.0	1723.0	817.0
NMNAT1	388.0	4.0	404.0	57.0	115.0	461.0	46.0	590.0	336.0	157.0
RBP7	28.0	0.0	28.0	0.0	10.0	20.0	9.0	55.0	42.0	6.0
UBE4B	963.0	6.0	592.0	104.0	281.0	465.0	90.0	1431.0	702.0	433.0
KIF1B	1633.0	10.0	1181.0	184.0	547.0	244.0	48.0	726.0	376.0	259.0
AL139424.3	3.0	0.0	1.0	1.0	1.0	13.0	0.0	0.0	0.0	1.0
AL139424.2	37.0	2.0	22.0	3.0	6.0	4.0	1.0	8.0	1.0	0.0
PGD	3067.0	6.0	2418.0	692.0	1402.0	2085.0	352.0	5586.0	3031.0	1542.0
AL139424.1	9.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	3.0	2.0
CENPS-CORT	175.0	0.0	10.0	1.0	2.0	34.0	8.0	10.0	17.0	60.0
CENPS	328.0	5.0	128.0	13.0	37.0	451.0	82.0	80.0	93.0	61.0
CORT	3.0	0.0	2.0	2.0	0.0	7.0	1.0	6.0	12.0	0.0
DFFA	1251.0	6.0	974.0	145.0	236.0	1185.0	179.0	3102.0	1416.0	625.0
AL354956.1	1.0	0.0	0.0	1.0	0.0	2.0	0.0	4.0	0.0	1.0
PEX14	456.0	4.0	434.0	87.0	213.0	890.0	190.0	2253.0	1092.0	421.0
CASZ1	1900.0	15.0	1837.0	298.0	747.0	288.0	35.0	830.0	328.0	185.0
AL139423.1	21.0	0.0	14.0	10.0	21.0	0.0	1.0	5.0	8.0	1.0
C1orf127	1.0	0.0	1.0	0.0	3.0	17.0	0.0	6.0	4.0	2.0
TARDBP	2131.0	18.0	1486.0	96.0	201.0	1976.0	437.0	1995.0	1516.0	778.0
AL109811.4	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
MASP2	10.0	0.0	1.0	2.0	3.0	3.0	0.0	7.0	0.0	1.0
AL109811.3	167.0	2.0	78.0	2.0	3.0	30.0	4.0	43.0	27.0	33.0
SRM	953.0	1.0	1139.0	26.0	91.0	291.0	30.0	1733.0	1515.0	238.0
EXOSC10	970.0	6.0	875.0	129.0	278.0	541.0	124.0	1729.0	990.0	370.0
AL109811.1	9.0	0.0	5.0	2.0	0.0	6.0	2.0	10.0	4.0	3.0
AL109811.2	8.0	0.0	5.0	1.0	9.0	34.0	3.0	13.0	7.0	7.0
MTOR	636.0	2.0	574.0	104.0	138.0	169.0	25.0	338.0	302.0	170.0
MTOR-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANGPTL7	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
UBIAD1	589.0	2.0	243.0	32.0	63.0	437.0	63.0	1021.0	652.0	238.0
AL031291.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DISP3	1.0	0.0	2.0	0.0	3.0	2.0	0.0	7.0	8.0	2.0
LINC01647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL031731.1	0.0	0.0	0.0	0.0	1.0	32.0	1.0	6.0	0.0	2.0
FBXO2	20.0	3.0	1476.0	275.0	155.0	5265.0	503.0	9368.0	5744.0	2552.0
FBXO44	69.0	0.0	502.0	86.0	147.0	698.0	121.0	1702.0	817.0	329.0
FBXO6	85.0	0.0	359.0	99.0	232.0	835.0	97.0	998.0	922.0	272.0
MAD2L2	147.0	1.0	310.0	67.0	131.0	892.0	170.0	1963.0	1333.0	306.0
DRAXIN	3.0	0.0	4.0	2.0	0.0	10.0	0.0	6.0	5.0	0.0
AGTRAP	327.0	1.0	245.0	22.0	85.0	876.0	212.0	1599.0	1330.0	600.0
C1orf167	5.0	0.0	24.0	0.0	9.0	37.0	0.0	4.0	1.0	0.0
AL953897.1	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
MTHFR	1050.0	7.0	1028.0	177.0	434.0	441.0	42.0	1422.0	154.0	222.0
CLCN6	529.0	1.0	412.0	80.0	118.0	159.0	72.0	1283.0	504.0	176.0
NPPA-AS1	27.0	0.0	66.0	12.0	16.0	19.0	4.0	20.0	16.0	4.0
NPPA	9.0	0.0	0.0	2.0	0.0	3.0	1.0	8.0	1.0	2.0
NPPB	0.0	0.0	0.0	0.0	3.0	10.0	0.0	20.0	0.0	0.0
KIAA2013	2330.0	19.0	2687.0	394.0	1029.0	1256.0	211.0	3037.0	2047.0	735.0
PLOD1	478.0	7.0	631.0	113.0	636.0	833.0	169.0	2527.0	1136.0	602.0
MFN2	1148.0	9.0	1606.0	271.0	338.0	612.0	138.0	3308.0	1109.0	402.0
MIIP	398.0	1.0	482.0	37.0	206.0	543.0	85.0	1350.0	655.0	271.0
TNFRSF8	5.0	0.0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	2.0
TNFRSF1B	396.0	8.0	833.0	152.0	160.0	138.0	31.0	698.0	177.0	143.0
VPS13D	1280.0	12.0	1222.0	217.0	316.0	220.0	48.0	715.0	421.0	247.0
AC243836.1	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0
DHRS3	1510.0	4.0	1502.0	274.0	615.0	911.0	207.0	1912.0	1174.0	397.0
AC254633.1	20.0	0.0	8.0	2.0	26.0	1.0	1.0	17.0	0.0	8.0
AADACL4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf158	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0
PRAMEF12	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
PRAMEF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HNRNPCL1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0
PRAMEF2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRAMEF27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
