	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
LINC00686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NTSR1	0.0	0.0	1.0	0.0	0.0	9.0	1.0	12.0	22.0	3.0
AL357033.2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00659	2.0	0.0	45.0	11.0	32.0	12.0	0.0	4.0	2.0	3.0
MRGBP	580.0	5.0	831.0	62.0	122.0	397.0	60.0	1363.0	800.0	125.0
OGFR-AS1	7.0	0.0	0.0	0.0	2.0	4.0	0.0	4.0	0.0	1.0
OGFR	658.0	6.0	1369.0	233.0	473.0	968.0	169.0	2744.0	1468.0	578.0
COL9A3	122.0	1.0	83.0	31.0	82.0	73.0	13.0	65.0	53.0	20.0
TCFL5	75.0	1.0	79.0	13.0	26.0	52.0	4.0	78.0	45.0	27.0
DIDO1	1470.0	7.0	1407.0	225.0	249.0	623.0	135.0	2102.0	1048.0	445.0
AL117379.1	62.0	1.0	74.0	4.0	18.0	43.0	11.0	128.0	57.0	21.0
GID8	1592.0	7.0	1702.0	175.0	326.0	1771.0	283.0	4268.0	2362.0	879.0
SLC17A9	59.0	0.0	320.0	6.0	28.0	151.0	26.0	589.0	163.0	84.0
BHLHE23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HAR1B	0.0	0.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0
HAR1A	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
AL096828.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL096828.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
YTHDF1	774.0	4.0	919.0	65.0	115.0	409.0	93.0	1194.0	563.0	164.0
AL096828.3	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
BIRC7	0.0	0.0	0.0	0.0	0.0	14.0	25.0	156.0	13.0	7.0
NKAIN4	1.0	0.0	0.0	0.0	0.0	66.0	17.0	35.0	50.0	6.0
AL121827.2	0.0	0.0	0.0	0.0	0.0	2.0	1.0	3.0	6.0	1.0
ARFGAP1	694.0	4.0	1285.0	99.0	410.0	550.0	95.0	2424.0	689.0	311.0
COL20A1	0.0	0.0	0.0	0.0	1.0	4.0	4.0	9.0	2.0	1.0
CHRNA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AL121827.1	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0
KCNQ2	0.0	0.0	0.0	0.0	0.0	3.0	0.0	16.0	17.0	2.0
AL353658.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL353658.1	1.0	0.0	1.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0
EEF1A2	2.0	0.0	1.0	0.0	4.0	3.0	1.0	16.0	24.0	1.0
AL121829.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PPDPF	25300.0	28.0	18255.0	2251.0	7018.0	18300.0	5533.0	70824.0	31604.0	9074.0
PTK6	696.0	5.0	1274.0	243.0	694.0	11.0	1.0	20.0	9.0	5.0
SRMS	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AL121829.2	3.0	0.0	1.0	0.0	0.0	6.0	0.0	8.0	0.0	1.0
FNDC11	0.0	0.0	1.0	0.0	5.0	8.0	0.0	34.0	3.0	0.0
HELZ2	191.0	3.0	354.0	16.0	203.0	232.0	21.0	391.0	101.0	82.0
GMEB2	286.0	3.0	290.0	26.0	92.0	104.0	18.0	707.0	181.0	98.0
MHENCR	301.0	0.0	324.0	14.0	27.0	199.0	60.0	499.0	363.0	163.0
STMN3	10.0	0.0	4.0	0.0	9.0	79.0	17.0	68.0	65.0	27.0
RTEL1	40.0	0.0	20.0	4.0	15.0	0.0	0.0	39.0	30.0	12.0
RTEL1-TNFRSF6B	17.0	0.0	8.0	1.0	6.0	1.0	0.0	11.0	4.0	1.0
TNFRSF6B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARFRP1	877.0	3.0	899.0	107.0	283.0	778.0	122.0	1141.0	1015.0	322.0
ZGPAT	291.0	0.0	284.0	58.0	146.0	10.0	0.0	712.0	456.0	168.0
AL121845.3	6.0	0.0	0.0	1.0	3.0	1.0	1.0	2.0	1.0	2.0
AL121845.4	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0
LIME1	127.0	0.0	60.0	7.0	25.0	0.0	0.0	29.0	22.0	18.0
AL121845.2	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0
SLC2A4RG	354.0	1.0	196.0	11.0	117.0	760.0	107.0	1803.0	953.0	266.0
ZBTB46	10.0	0.0	7.0	1.0	2.0	4.0	4.0	8.0	6.0	3.0
AL121845.1	3.0	0.0	0.0	0.0	0.0	4.0	1.0	4.0	0.0	1.0
ZBTB46-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL118506.1	51.0	0.0	141.0	15.0	51.0	23.0	7.0	129.0	82.0	43.0
ABHD16B	1.0	0.0	3.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
TPD52L2	952.0	15.0	1097.0	139.0	384.0	1226.0	137.0	2634.0	1126.0	478.0
DNAJC5	1167.0	5.0	1401.0	183.0	294.0	123.0	27.0	702.0	310.0	109.0
UCKL1	1169.0	5.0	2016.0	210.0	550.0	785.0	163.0	2886.0	1226.0	484.0
UCKL1-AS1	77.0	0.0	34.0	4.0	46.0	37.0	2.0	63.0	7.0	11.0
ZNF512B	73.0	0.0	93.0	21.0	15.0	48.0	6.0	98.0	29.0	19.0
SAMD10	82.0	2.0	176.0	26.0	21.0	75.0	10.0	171.0	88.0	26.0
PRPF6	2140.0	12.0	1636.0	228.0	654.0	1461.0	324.0	3871.0	2541.0	926.0
C20orf204	22.0	0.0	16.0	1.0	30.0	7.0	4.0	64.0	80.0	14.0
SOX18	11.0	0.0	11.0	0.0	0.0	2.0	1.0	79.0	40.0	8.0
TCEA2	102.0	0.0	116.0	10.0	15.0	409.0	101.0	1870.0	1587.0	151.0
AL355803.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RGS19	11.0	0.0	8.0	1.0	9.0	61.0	5.0	82.0	41.0	13.0
OPRL1	1.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0
LKAAEAR1	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	6.0	2.0
MYT1	4.0	0.0	3.0	0.0	6.0	56.0	7.0	39.0	33.0	8.0
NPBWR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PCMTD2	636.0	4.0	463.0	41.0	115.0	693.0	198.0	965.0	636.0	375.0
LINC00266-1	8.0	1.0	3.0	0.0	0.0	2.0	0.0	2.0	2.0	4.0
AC008993.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM138F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F17	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092192.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AC016588.2	19.0	0.0	25.0	1.0	4.0	41.0	10.0	50.0	22.0	6.0
PLPP2	3958.0	19.0	4045.0	479.0	1220.0	395.0	7.0	105.0	98.0	32.0
MIER2	238.0	4.0	271.0	19.0	65.0	280.0	38.0	597.0	310.0	120.0
AC016588.1	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
THEG	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
AC010641.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
C2CD4C	2.0	0.0	0.0	0.0	4.0	8.0	1.0	23.0	11.0	5.0
SHC2	81.0	0.0	160.0	8.0	33.0	140.0	66.0	496.0	289.0	118.0
ODF3L2	2.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0
MADCAM1	56.0	0.0	26.0	7.0	42.0	37.0	17.0	225.0	98.0	55.0
AC005775.1	4.0	0.0	5.0	3.0	4.0	1.0	0.0	7.0	6.0	1.0
TPGS1	1003.0	6.0	933.0	242.0	624.0	113.0	16.0	4700.0	2513.0	600.0
CDC34	530.0	2.0	1157.0	67.0	279.0	650.0	190.0	4516.0	2631.0	331.0
GZMM	2.0	0.0	1.0	0.0	3.0	13.0	0.0	32.0	46.0	3.0
AC009005.1	134.0	0.0	75.0	4.0	16.0	96.0	4.0	345.0	320.0	51.0
BSG	7396.0	38.0	7694.0	661.0	2267.0	18887.0	2929.0	28817.0	18011.0	6140.0
HCN2	0.0	0.0	0.0	0.0	17.0	2.0	0.0	14.0	4.0	1.0
POLRMT	647.0	1.0	949.0	106.0	319.0	227.0	58.0	1272.0	852.0	285.0
AC004449.1	2.0	0.0	0.0	0.0	0.0	1.0	2.0	6.0	0.0	1.0
FGF22	5.0	0.0	3.0	2.0	31.0	46.0	6.0	5.0	1.0	1.0
RNF126	1807.0	6.0	2295.0	193.0	355.0	1415.0	179.0	3984.0	2176.0	600.0
AC004156.1	21.0	0.0	1.0	0.0	5.0	39.0	1.0	66.0	2.0	18.0
FSTL3	40.0	0.0	37.0	0.0	38.0	194.0	39.0	1164.0	583.0	134.0
PRSS57	0.0	0.0	4.0	1.0	5.0	51.0	18.0	117.0	118.0	33.0
PALM	39.0	1.0	80.0	20.0	138.0	146.0	25.0	628.0	762.0	57.0
MISP	7215.0	48.0	10505.0	923.0	5014.0	6662.0	535.0	15421.0	5663.0	4421.0
AC006273.1	2.0	0.0	0.0	0.0	0.0	10.0	0.0	8.0	1.0	0.0
LINC01836	15.0	0.0	9.0	1.0	2.0	41.0	7.0	80.0	51.0	42.0
PTBP1	4049.0	20.0	3172.0	294.0	883.0	3617.0	610.0	9826.0	5242.0	1645.0
PLPPR3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
AZU1	6.0	0.0	0.0	0.0	0.0	25.0	0.0	25.0	7.0	1.0
PRTN3	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ELANE	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CFD	2249.0	3.0	169.0	18.0	74.0	904.0	117.0	1415.0	1066.0	450.0
MED16	1004.0	2.0	815.0	84.0	536.0	696.0	153.0	1875.0	983.0	507.0
R3HDM4	843.0	7.0	1190.0	97.0	184.0	596.0	85.0	1707.0	881.0	409.0
KISS1R	3.0	0.0	14.0	0.0	5.0	8.0	0.0	76.0	45.0	8.0
ARID3A	128.0	1.0	355.0	25.0	71.0	6750.0	680.0	12673.0	4018.0	3044.0
AC005379.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
WDR18	1353.0	1.0	803.0	85.0	231.0	1830.0	284.0	3409.0	2783.0	830.0
AC004528.1	3.0	0.0	0.0	0.0	3.0	5.0	2.0	1.0	0.0	2.0
GRIN3B	1.0	0.0	0.0	2.0	0.0	1.0	0.0	17.0	0.0	0.0
