	Fetal	Placenta	Adult	marker
ACLY	0.2851986824584206	0.042937838248065394	0.671863479293514	
ACO1	0.5899646860203699	0.22822939766328107	0.18180591631634913	
ACO2	0.29946382630827184	0.33338717810266033	0.3671489955890679	
ACOT1	0.01125184815945917	0.13707217189600193	0.8516759799445389	
ACOT11	0.9768544817469494	0.011572759126525249	0.011572759126525249	
ACOT13	0.9494995765749268	0.025250211712536597	0.025250211712536597	
ACOT2	0.018498316829543848	0.013125226338213674	0.9683764568322425	
ACOT7	0.25069041378763923	0.5884805617618108	0.1608290244505499	
ACOT8	0.035231182934142874	0.025619355993176343	0.9391494610726808	
ACOT9	0.93682142419043	0.018637752547470337	0.044540823262099696	
ACOX1	0.4882846112029808	0.48774773888932393	0.023967649907695343	
ACOX2	0.529924949755524	0.01668988183170004	0.453385168412776	
ACOX3	0.5530024178153634	0.43655855322902726	0.01043902895560931	
ACOXL	0.9766681209504572	0.01166593952477141	0.01166593952477141	
ACP1	0.01667999391773169	0.4520340988423224	0.5312859072399458	
ACP2	0.01602736785431164	0.01602736785431164	0.9679452642913767	
ACP5	0.012315409276283195	0.012315409276283195	0.9753691814474336	
ACP6	0.6136898207949709	0.37002076023428937	0.016289418970739714	
ACRBP	0.32420741352555	0.014916546394627226	0.6608760400798228	
ACSF2	0.45234996407088296	0.40282239551655247	0.14482764041256446	
ACSF3	0.9474078177948883	0.026296091102555836	0.026296091102555836	
ACSL1	0.46944725271318927	0.015213432202486702	0.5153393150843241	
ACSL3	0.9535869733906233	0.02320651330468833	0.02320651330468833	
ACSL4	0.5789810074876269	0.40074738270403865	0.020271609808334493	
ACSL5	0.22212283902797436	0.018345250547936166	0.7595319104240895	
ACSM1	0.828165255057149	0.012726109159294376	0.15910863578355663	
ACSM3	0.8789847397871621	0.009898529572176237	0.11111673064066162	
ACSM5	0.28525432731645245	0.013307969967959675	0.7014377027155878	
ACSS1	0.46836160643794844	0.39619402419979555	0.1354443693622561	
ACSS2	0.805504068555783	0.012452376392588062	0.18204355505162895	
ACSS3	0.9747768879760975	0.011657034042572546	0.013566077981329947	
ACTA2	0.016549970249856796	0.016549970249856796	0.9669000595002863	
ACTB	0.021420984391528404	0.021420984391528404	0.9571580312169432	
ACTG1	0.01615146482289859	0.01615146482289859	0.9676970703542028	
ACTG2	0.16952511927994784	0.01037558373186922	0.820099296988183	
ACTL6A	0.025738680029572126	0.3518096900403858	0.622451629930042	
ACTN1	0.3014896307693437	0.054853512130363075	0.6436568571002933	
ACTN2	0.8428585638916761	0.00834513429595719	0.14879630181236675	
ACTN4	0.5070737961380238	0.3543799045596711	0.13854629930230514	
ACTR10	0.8759699729228972	0.015432644051769022	0.10859738302533373	
ACTR1A	0.0298182149770821	0.0298182149770821	0.9403635700458357	
ACTR1B	0.018113805277283585	0.018113805277283585	0.9637723894454328	
ACTR2	0.04515563109511	0.04515563109511	0.9096887378097801	
ACTR3	0.24890012846402046	0.0771822670147548	0.6739176045212248	
ACTR3B	0.5893328264476896	0.39983318486340375	0.01083398868890657	
ACTR3C	0.5295479119379256	0.4615884584137127	0.008863629648361604	
ACTR5	0.8051884039156882	0.022720177090817372	0.1720914189934944	
ACTR6	0.2577254209320554	0.5640498954693719	0.17822468359857274	
ACTR8	0.9241763882274294	0.03791180588628529	0.03791180588628529	
ACVR1	0.965460566225663	0.01726971688716846	0.01726971688716846	
ACVR1B	0.6765683893066821	0.01676874880207607	0.30666286189124187	
ACVR1C	0.9672479898190326	0.016376005090483713	0.016376005090483713	
ACVR2A	0.9726503419385665	0.013674829030716724	0.013674829030716724	
ACVR2B	0.6292187771203046	0.36171018508058594	0.009071037799109534	
ACVRL1	0.1776479175566753	0.2093646987125383	0.6129873837307864	
ACYP1	0.3539492385056766	0.2529974852075191	0.39305327628680437	
ACYP2	0.9666710928260377	0.016664453586981143	0.016664453586981143	
ADA	0.3433243690453599	0.01718484307375862	0.6394907878808814	
ADA2	0.5377680276649611	0.020909473954870757	0.44132249838016807	
ADAL	0.9557974505369152	0.02210127473154237	0.02210127473154237	
ADAM10	0.9048064208901793	0.07718186643186754	0.018011712677953106	
ADAM12	0.49753694581280794	0.49753694581280794	0.004926108374384237	
ADAM15	0.06987799161532476	0.022032277856134038	0.9080897305285413	
ADAM17	0.8566975397398775	0.12995761419822152	0.013344846061900898	
ADAM19	0.514174409435916	0.4789587669862848	0.006866823577799289	
ADAM22	0.9803431970993509	0.009828401450324587	0.009828401450324587	
ADAM23	0.9761872132990717	0.011906393350464162	0.011906393350464162	
ADAM28	0.4958865114522417	0.011910222450574876	0.49220326609718346	
ADAM32	0.976952479829392	0.011523760085303973	0.011523760085303973	
ADAM33	0.5160869887174749	0.006930758670815908	0.47698225261170907	
ADAM8	0.22465907775994728	0.014060630073119713	0.7612802921669329	
ADAM9	0.9652333706964569	0.017383314651771526	0.017383314651771526	
ADAMTS1	0.08287184045659016	0.014803155057259256	0.9023250044861505	
ADAMTS10	0.8119037712646664	0.009936648073418434	0.17815958066191515	
ADAMTS12	0.9803900518997929	0.00980497405010358	0.00980497405010358	
ADAMTS13	0.7842989965960404	0.015541644489231609	0.20015935891472794	
ADAMTS14	0.976524625865205	0.011737687067397437	0.011737687067397437	
ADAMTS15	0.6522580669260197	0.013767059020657273	0.33397487405332293	
ADAMTS16	0.9724137064904496	0.01379314675477523	0.01379314675477523	
ADAMTS17	0.977871968417834	0.01106401579108299	0.01106401579108299	
ADAMTS18	0.9803518049014773	0.009824097549261319	0.009824097549261319	
ADAMTS19	0.809879867795356	0.18210151965221472	0.008018612552429267	
ADAMTS2	0.9776917365369753	0.011154131731512347	0.011154131731512347	
ADAMTS3	0.9773207387487106	0.011339630625644687	0.011339630625644687	
ADAMTS4	0.3295540964027442	0.009598395145579888	0.6608475084516758	
ADAMTS5	0.9701135099951431	0.014943245002428435	0.014943245002428435	
ADAMTS6	0.5882508507553112	0.4057255986907891	0.006023550553899736	
ADAMTS7	0.9683756821241019	0.015812158937949065	0.015812158937949065	
ADAMTS8	0.4775241039186513	0.013261110408242061	0.5092147856731066	
ADAMTS9	0.9797103118422751	0.010144844078862436	0.010144844078862436	
ADAMTS9-AS2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ADAMTSL1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ADAMTSL2	0.4202999203060252	0.006728536629130003	0.5729715430648447	
ADAMTSL3	0.9796652543593556	0.01016737282032219	0.01016737282032219	
ADAMTSL4	0.45013742166127174	0.3887042560635181	0.16115832227521013	
ADAMTSL5	0.38869686488050664	0.020790279548881657	0.5905128555706117	
ADAP1	0.012816597893004043	0.012816597893004043	0.9743668042139919	
ADAP2	0.9588555878401729	0.020572206079913516	0.020572206079913516	
ADAR	0.0799406797572692	0.0799406797572692	0.8401186404854616	
ADARB1	0.9702214581255794	0.0148892709372103	0.0148892709372103	
ADAT1	0.2687122035382658	0.2279446031616922	0.503343193300042	
ADAT2	0.9685781210024696	0.015710939498765144	0.015710939498765144	
ADCK1	0.769560032806566	0.21476462036793764	0.01567534682549625	
ADCK2	0.010492775165956019	0.41182074485151193	0.577686479982532	
ADCK5	0.7885979303920604	0.013506808101077043	0.19789526150686257	
ADCY1	0.8205560750955604	0.00858517777529929	0.1708587471291404	
ADCY10	0.4424500310670843	0.5499458579027392	0.00760411103017644	
ADCY2	0.6582200096278326	0.335121297339907	0.006658693032260449	
ADCY3	0.7206045193351214	0.023106911482782582	0.256288569182096	
ADCY4	0.5273558554990727	0.010653945481203617	0.4619901990197238	
ADCY5	0.9758604859272244	0.01206975703638778	0.01206975703638778	
ADCY6	0.7161165894199608	0.26162068029654373	0.022262730283495433	
ADCY7	0.9643900213928951	0.017804989303552447	0.017804989303552447	
ADCY9	0.9774821633318707	0.011258918334064658	0.011258918334064658	
ADD1	0.44190357936848224	0.10540178999057315	0.4526946306409446	
ADD2	0.9805000138454434	0.009749993077278314	0.009749993077278314	
ADD3	0.9022261654577466	0.048886917271126665	0.048886917271126665	
ADGRA2	0.7547802368670231	0.014212633967462699	0.2310071291655142	
ADGRA3	0.6843902726874731	0.3057524284138354	0.009857298898691498	
ADGRB2	0.8181039014843823	0.0176248903382483	0.16427120817736937	
ADGRB3	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ADGRD1	0.9758628195242058	0.012068590237897091	0.012068590237897091	
ADGRE1	0.4490862712783725	0.01972020367092709	0.5311935250507004	
ADGRE2	0.6955304486805883	0.013745287277590593	0.29072426404182106	
ADGRE5	0.11247976470091005	0.021794332658811214	0.8657259026402788	
ADGRF1	0.6162778850287562	0.01306535603893365	0.3706567589323101	
ADGRF3	0.9664257884460613	0.016787105776969343	0.016787105776969343	
ADGRF4	0.10992190630780291	0.548131966818236	0.34194612687396103	
ADGRF5	0.7732164292857987	0.015158893421179008	0.21162467729302223	
ADGRG1	0.015214172363272032	0.49919078463618494	0.485595043000543	
ADGRG2	0.9715625694266794	0.014218715286660294	0.014218715286660294	
ADGRG3	0.21522762887475827	0.00981427126838512	0.7749580998568566	
ADGRG5	0.9682272020545715	0.015886398972714242	0.015886398972714242	
ADGRG6	0.42173380631312196	0.5712123092352646	0.007053884451613425	
ADGRL1	0.9694982925762214	0.01525085371188928	0.01525085371188928	
ADGRL2	0.9665889394000524	0.0167055302999738	0.0167055302999738	
ADGRL3	0.770051318982537	0.22232441053248736	0.007624270484975614	
ADGRL4	0.9681734631633541	0.015913268418322975	0.015913268418322975	
ADGRV1	0.8427804002660091	0.06867293535773925	0.08854666437625162	
ADH1B	0.01038684111688349	0.01038684111688349	0.979226317766233	
ADH5	0.026686884572333897	0.026686884572333897	0.9466262308553322	
ADI1	0.015389630961005764	0.2612932540894688	0.7233171149495254	
ADIPOR1	0.014776291304273596	0.26872330024598534	0.7165004084497412	
ADIPOR2	0.7429661225896708	0.21176952583079212	0.04526435157953716	
ADIRF	0.006736714156887177	0.31285515599750796	0.6804081298456048	
ADK	0.46441391945917027	0.5255766813094719	0.010009399231357905	
ADM	0.0059259488935715175	0.453372352389025	0.5407016987174034	
ADNP	0.4905487040247015	0.4856884938509614	0.02376280212433697	
ADNP-AS1	0.38422291234437556	0.02555154979773219	0.5902255378578923	
ADNP2	0.5345148089402042	0.42205174761730585	0.04343344344248979	
ADO	0.014590363877440645	0.014590363877440645	0.9708192722451187	
ADORA1	0.9568156426056479	0.02159217869717604	0.02159217869717604	
ADORA2A-AS1	0.9680012375456348	0.015999381227182568	0.015999381227182568	
ADORA2B	0.48498231854438945	0.15956629231005107	0.35545138914555935	
ADPGK	0.3367901212187567	0.028502944077443446	0.6347069347037999	
ADPRH	0.013779736629438268	0.27377858913398445	0.7124416742365773	
ADPRHL1	0.9708896900120495	0.014555154993975226	0.014555154993975226	
ADPRM	0.35618791281705237	0.018511761566355547	0.625300325616592	
ADRA2A	0.14417824770120255	0.011985300560420594	0.8438364517383768	
ADRB1	0.8203776325348429	0.08981118373257863	0.08981118373257863	
ADRB2	0.01024491317330224	0.01024491317330224	0.9795101736533955	
ADRM1	0.010772103504231122	0.22598748086427378	0.763240415631495	
ADTRP	0.50821217958211	0.00995578574787724	0.4818320346700129	
AEBP1	0.009708737864077669	0.009708737864077669	0.9805825242718447	
AEBP2	0.4636226516126841	0.5224265660523965	0.013950782334919292	
AEN	0.01165683406944741	0.15722006955603016	0.8311230963745224	
AFAP1	0.7785320234241425	0.2116049960541432	0.009862980521714188	
AFAP1L1	0.9312939279513717	0.05526547745758587	0.013440594591042458	
AFAP1L2	0.8809371325511189	0.019382052027187503	0.09968081542169349	
AFDN	0.8493896057396175	0.13734404838528627	0.013266345875096088	
AFDN-DT	0.6738323554216389	0.027195974804746184	0.29897166977361495	
AFF1	0.935723865222701	0.03213806738864945	0.03213806738864945	
AFF2	0.9791512219568868	0.010424389021556617	0.010424389021556617	
AFF3	0.9805825242718447	0.009708737864077669	0.009708737864077669	
AFF4	0.9446019807493176	0.02769900962534121	0.02769900962534121	
AFG1L	0.9737848532032642	0.01508667120929895	0.01112847558743679	
AFG3L2	0.7114087429593217	0.26645393758758923	0.02213731945308908	
AFMID	0.6612773217204065	0.02425353536664118	0.3144691429129522	
AFTPH	0.8685081376813457	0.05952677657973644	0.07196508573891788	
AGA	0.014125552073074386	0.2902836837973418	0.6955907641295838	
AGAP1	0.7520082081173156	0.2404865346496872	0.007505257232997248	
AGAP2	0.7589287682970001	0.023082211204091898	0.21798902049890795	
AGAP3	0.8538779010344031	0.016524982277383186	0.12959711668821378	
AGAP4	0.8159983064742894	0.16552240329003043	0.018479290235680255	
AGAP9	0.4711007340949739	0.016037904806543168	0.5128613610984828	
AGBL2	0.9622910027154437	0.018854498642278176	0.018854498642278176	
AGBL3	0.9738770346757993	0.013061482662100306	0.013061482662100306	
AGBL5	0.09750053509402314	0.23856501587495554	0.6639344490310213	
AGER	0.426197534470375	0.009070437733378142	0.5647320277962468	
AGFG1	0.46688800954445697	0.5057489430463264	0.02736304740921652	
AGFG2	0.5341390230872923	0.011240490136513868	0.4546204867761937	
AGGF1	0.018262964528278358	0.018262964528278358	0.9634740709434433	
AGK	0.9578090821883151	0.021095458905842458	0.021095458905842458	
AGL	0.6207527983085588	0.3665937908999379	0.012653410791503382	
AGMAT	0.3737600243910309	0.016203202258770963	0.6100367733501982	
AGO1	0.9540387663443116	0.022980616827844146	0.022980616827844146	
AGO2	0.8167643289015274	0.16999074096480488	0.013244930133667643	
AGO3	0.9762644427424885	0.011867778628755748	0.011867778628755748	
AGO4	0.9605771638631804	0.019711418068409873	0.019711418068409873	
AGPAT1	0.014792260871600363	0.08666857936606845	0.8985391597623312	
AGPAT2	0.02569243640501766	0.012571696970655091	0.9617358666243272	
AGPAT3	0.9474468662165032	0.02627656689174837	0.02627656689174837	
AGPAT4	0.9773188089681258	0.01134059551593708	0.01134059551593708	
AGPAT5	0.9694656422502506	0.015267178874874724	0.015267178874874724	
AGPS	0.9655978526958661	0.01720107365206693	0.01720107365206693	
AGR2	0.283771303486386	0.00862620067281403	0.7076024958407999	
AGR3	0.2605662590934695	0.009818054586568203	0.7296156863199623	
AGRN	0.4626366315850265	0.010667136567353597	0.5266962318476198	
AGTPBP1	0.9661197684957576	0.016940115752121173	0.016940115752121173	
AGTR1	0.5143336609527097	0.015671501155894184	0.46999483789139596	
AGTRAP	0.01813503978074631	0.01813503978074631	0.9637299204385074	
AHCTF1	0.8255569471871581	0.15525389078949053	0.019189162023351344	
AHCY	0.017097100681369982	0.017097100681369982	0.96580579863726	
AHCYL1	0.03593776566242424	0.26160734290724286	0.702454891430333	
AHCYL2	0.6724378219650524	0.3153065395634466	0.012255638471500971	
AHDC1	0.9703626705881526	0.014818664705923653	0.014818664705923653	
AHI1	0.9761251629288398	0.011937418535580096	0.011937418535580096	
AHNAK	0.44888454634274466	0.22902687553868403	0.32208857811857144	
AHNAK2	0.6008065185003677	0.013558224941390152	0.3856352565582421	
AHR	0.5306598722955197	0.019290771997952674	0.45004935570652754	
AHSA1	0.02098799132432665	0.12568238851559543	0.8533296201600779	
AIDA	0.04059937919890685	0.04059937919890685	0.9188012416021863	
AIF1	0.01169950244810928	0.01169950244810928	0.9766009951037814	
AIF1L	0.24491529018242922	0.37952543271804334	0.37555927709952747	
AIFM1	0.3748128163335738	0.13031621663743717	0.49487096702898903	
AIFM2	0.6164552786536104	0.01930504145451546	0.3642396798918741	
AIFM3	0.264578561065645	0.4453181196000193	0.2901033193343358	
AIG1	0.9614505396455849	0.019274730177207523	0.019274730177207523	
AIM2	0.6814816083718859	0.011274485349370386	0.3072439062787438	
AIMP1	0.03585447295299867	0.22746423743197336	0.7366812896150279	
AIMP2	0.02779041455020348	0.13862076931616377	0.8335888161336327	
AIP	0.013258988378998342	0.013258988378998342	0.9734820232420033	
AJAP1	0.9700975758772221	0.014951212061388905	0.014951212061388905	
AJM1	0.24559870632673392	0.013136369810819537	0.7412649238624466	
AJUBA	0.01101311375491954	0.09070107992595786	0.8982858063191227	
AK1	0.05318496858344185	0.00939584423228184	0.9374191871842763	
AK2	0.029346522028491917	0.40950106075166054	0.5611524172198474	
AK3	0.3710194449738175	0.07781996405764922	0.5511605909685332	
AK4	0.8184545802008735	0.015558956274230155	0.16598646352489638	
AK5	0.9757624790589836	0.012118760470508203	0.012118760470508203	
AK6	0.04536016176626218	0.31129844736951917	0.6433413908642187	
AK7	0.9712157242448621	0.014392137877568933	0.014392137877568933	
AK8	0.9744264559567161	0.012786772021641976	0.012786772021641976	
AK9	0.9701013871776147	0.014949306411192593	0.014949306411192593	
AKAP1	0.2624747319666138	0.09371691713471163	0.6438083508986746	
AKAP10	0.95174998669506	0.024125006652469985	0.024125006652469985	
AKAP11	0.9462127524508367	0.02689362377458163	0.02689362377458163	
AKAP12	0.9698996661721929	0.015050166913903536	0.015050166913903536	
AKAP13	0.9391874826864413	0.03040625865677937	0.03040625865677937	
AKAP3	0.47972126947589566	0.506553859423384	0.01372487110072017	
AKAP5	0.9033633726043148	0.04831831369784257	0.04831831369784257	
AKAP6	0.9800690220886626	0.00996548895566874	0.00996548895566874	
AKAP7	0.8833416981576775	0.1031693156870542	0.013488986155268263	
AKAP8	0.7038883070784971	0.2859480969065913	0.010163596014911585	
AKAP8L	0.748828080408015	0.14066490650533842	0.1105070130866466	
AKAP9	0.7226889163278075	0.2649843131900101	0.012326770482182395	
AKIP1	0.2829456505894435	0.020294601853649948	0.6967597475569066	
AKIRIN1	0.014132678090035216	0.5866490233856743	0.3992182985242905	
AKIRIN2	0.0509088297341759	0.0509088297341759	0.8981823405316482	
AKNA	0.8467798754525404	0.01867008250180306	0.13455004204565651	
AKNAD1	0.6698053026524682	0.31722979920198147	0.01296489814555032	
AKR1A1	0.029776768960299762	0.029776768960299762	0.9404464620794004	
AKR1B1	0.008547634564375593	0.24030306706390317	0.7511492983717212	
AKR1C1	0.3364583497712254	0.011858537200352768	0.6516831130284219	
AKR1C2	0.34774915649691185	0.009126545719201658	0.6431242977838865	
AKR1C3	0.14637016739436712	0.010477547230728208	0.8431522853749047	
AKR1E2	0.9636677381451719	0.018166130927414013	0.018166130927414013	
AKR7A2	0.014968862112672112	0.15445239156914894	0.830578746318179	
AKT1	0.01375520473969217	0.3445468893298139	0.6416979059304939	
AKT2	0.6469137994443137	0.07271236353367218	0.28037383702201407	
AKT3	0.8457031208085687	0.14152430651306191	0.012772572678369424	
AKTIP	0.10772704069565152	0.5788543358811535	0.31341862342319493	
ALAD	0.019685130283931134	0.2570523586807384	0.7232625110353306	
ALAS1	0.17487760013994158	0.3888093487922036	0.43631305106785484	
ALAS2	0.9270099478821486	0.009178316315664839	0.06381173580218653	
ALCAM	0.9541636333583369	0.02291818332083157	0.02291818332083157	
ALDH16A1	0.16213904012672384	0.17526721644604273	0.6625937434272334	
ALDH18A1	0.053606158212539626	0.6258694885520617	0.32052435323539863	
ALDH1A1	0.026190464566640165	0.026190464566640165	0.9476190708667196	
ALDH1A2	0.9769951846709861	0.011502407664506933	0.011502407664506933	
ALDH1A3	0.3092883631607911	0.010258987930878352	0.6804526489083305	
ALDH1B1	0.009982823249677773	0.009982823249677773	0.9800343535006445	
ALDH1L2	0.9725341137594337	0.01373294312028314	0.01373294312028314	
